episode_id,gender,fs_pron_count,freq_fs_per_h
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,540,502.84531815830326
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,562,443.8428648837194
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,M,67,369.638177555055
20210413_episood_4_kas_vanasti_oli_muusika_parem,M,1207,633.4424738252334
20210416_aprill_epikojas__ro_puuetega_inimeste_komitee_arvamus_eesti_olukorrast,M,34,169.4234895148453
20201231_59_normaalse_elu_osa,M,501,498.3463059209708
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,71,293.85390080706355
20210404_episood_3_emoosekandid_ja_co2paraad,M,600,664.2025571798451
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,362,333.63030321649103
20210321_episood_2__prgitelevisioon,M,666,632.0984529722548
20190904_bipolaarne_vandenud_1,M,437,414.27909328389654
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,497,549.7838291282183
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,488,306.436420722135
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,84,314.94094857214276
20210422_episood_5_elu_surm_ja_kanade_lestus,M,477,342.20941494386193
20200505_episood_10__estpluatatsioon_november__malev,M,617,416.96858656434546
20220104_mehed_ei_nuta_kontaveidi_fnnid_liialdasid_vehklejate_rappimisega_spordiaasta_suured_ksimused,M,448,380.8444318503826
20200524_see_on_ikkagi_hiphopi_saade_056_24052020,M,198,231.46765038253213
20200105_saaga_jtkub_20__040_05012020,M,183,271.7664821338701
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,M,654,330.04975138326785
20200426_6__ndala_soovitus_mine_roostikulinde_kuulama,M,10,116.5086248745914
20210131_klas_mc_olldaraba_bastadz_daraba_mob08731012021,M,367,365.99554555830105
20200920_tt_terav_teema_068_20092020,M,139,163.1790567311361
20200408_kinnisvaraintervjuu_04_tnu_toompark_kinnisvarakool_ja_mart_saa_laam_kinnisvara,M,85,341.9452887537994
20210531_kuna_it_on_levinud_igasse_eluvaldkonda_siis_on_itekspertidele_rakendust_kikjal,M,200,420.6492019349863
20210912_jlle_see_lart_119_12092021,M,375,365.30322873935205
20210819_augustikuu_epikojas__tagasi_likooli,M,102,419.2307253193894
