lemma,group1,group2,meandiff,p_adj,lower,upper,reject
ajal,F_ajal,M_ajal,-0.1336,1.0,-4.2981,4.031,False
all,F_all,M_all,-0.5278,1.0,-4.5983,3.5426,False
alla,F_alla,M_alla,-1.2798,1.0,-5.1821,2.6225,False
alt,F_alt,M_alt,-0.2852,1.0,-6.6386,6.0682,False
arust,F_arust,M_arust,4.9035,0.0075,0.4689,9.3381,True
asemel,F_asemel,M_asemel,-0.8244,1.0,-6.4805,4.8317,False
ees,F_ees,M_ees,-0.3017,1.0,-4.8395,4.2362,False
eest,F_eest,M_eest,-2.3083,0.9431,-5.7117,1.0951,False
enne,F_enne,M_enne,0.1346,1.0,-3.3122,3.5813,False
ette,F_ette,M_ette,-0.3141,1.0,-5.6855,5.0573,False
ilma,F_ilma,M_ilma,-0.1968,1.0,-4.48,4.0864,False
jaoks,F_jaoks,M_jaoks,-1.2096,1.0,-4.3411,1.9218,False
jooksul,F_jooksul,M_jooksul,-0.8524,1.0,-4.615,2.9102,False
juurde,F_juurde,M_juurde,-2.5717,0.623,-5.8453,0.7018,False
juures,F_juures,M_juures,0.5079,1.0,-3.01,4.0257,False
järgi,F_järgi,M_järgi,-2.2712,0.9931,-5.9675,1.425,False
kaudu,F_kaudu,M_kaudu,-1.2829,1.0,-6.5844,4.0186,False
kohta,F_kohta,M_kohta,-1.4589,1.0,-4.7072,1.7894,False
koos,F_koos,M_koos,-0.2055,1.0,-4.0033,3.5924,False
kuni,F_kuni,M_kuni,-0.7636,1.0,-4.9047,3.3775,False
käest,F_käest,M_käest,-1.2498,1.0,-5.4037,2.9041,False
kõrval,F_kõrval,M_kõrval,-0.865,1.0,-5.6205,3.8905,False
läbi,F_läbi,M_läbi,-1.0095,1.0,-4.6025,2.5836,False
meelest,F_meelest,M_meelest,1.2586,1.0,-2.8189,5.3362,False
mööda,F_mööda,M_mööda,0.0799,1.0,-6.3875,6.5473,False
nimel,F_nimel,M_nimel,-1.2953,1.0,-7.509,4.9184,False
osas,F_osas,M_osas,-0.8826,1.0,-6.0302,4.2649,False
peal,F_peal,M_peal,-0.9647,1.0,-4.4217,2.4923,False
peale,F_peale,M_peale,0.0807,1.0,-2.9737,3.1351,False
pealt,F_pealt,M_pealt,-0.8324,1.0,-4.3711,2.7063,False
pool,F_pool,M_pool,-0.5288,1.0,-4.5474,3.4899,False
poole,F_poole,M_poole,0.1304,1.0,-3.3346,3.5954,False
poolest,F_poolest,M_poolest,-0.4713,1.0,-6.21,5.2674,False
poolt,F_poolt,M_poolt,0.116,1.0,-3.1879,3.4198,False
puhul,F_puhul,M_puhul,-0.3892,1.0,-3.8459,3.0675,False
pärast,F_pärast,M_pärast,0.6248,1.0,-2.4861,3.7357,False
põhjal,F_põhjal,M_põhjal,-0.9126,1.0,-6.874,5.0489,False
sees,F_sees,M_sees,-1.5857,1.0,-5.5631,2.3916,False
seoses,F_seoses,M_seoses,-1.0248,1.0,-6.6326,4.583,False
sisse,F_sisse,M_sisse,-0.807,1.0,-6.3148,4.7009,False
suhtes,F_suhtes,M_suhtes,1.7528,1.0,-1.887,5.3927,False
taga,F_taga,M_taga,-0.8386,1.0,-4.4545,2.7773,False
tagasi,F_tagasi,M_tagasi,-0.3333,1.0,-3.9208,3.2542,False
taha,F_taha,M_taha,0.6743,1.0,-4.1619,5.5105,False
tänu,F_tänu,M_tänu,-1.0163,1.0,-5.7188,3.6861,False
tõttu,F_tõttu,M_tõttu,-0.7658,1.0,-6.147,4.6155,False
vahel,F_vahel,M_vahel,-0.928,1.0,-4.7042,2.8482,False
vastu,F_vastu,M_vastu,-0.4748,1.0,-4.1399,3.1902,False
üle,F_üle,M_üle,0.2462,1.0,-3.1407,3.6331,False
ümber,F_ümber,M_ümber,-1.343,1.0,-6.1098,3.4239,False
