lemma,group1,group2,meandiff,p_adj,lower,upper,reject
aasta,F_aasta,M_aasta,2.4955,1.0,-7.392,12.3829,False
aeg,F_aeg,M_aeg,-1.6279,1.0,-11.4604,8.2046,False
algus,F_algus,M_algus,0.2425,1.0,-10.2742,10.7592,False
aru,F_aru,M_aru,1.4172,1.0,-8.8569,11.6913,False
asi,F_asi,M_asi,10.792,0.0142,0.7272,20.8568,True
elu,F_elu,M_elu,-3.4852,1.0,-13.9062,6.9357,False
hetk,F_hetk,M_hetk,-2.0059,1.0,-12.503,8.4912,False
hind,F_hind,M_hind,-24.7215,0.0,-42.0631,-7.3798,True
inimene,F_inimene,M_inimene,-24.2326,0.0,-34.1201,-14.3452,True
juht,F_juht,M_juht,-4.1449,1.0,-15.1128,6.8229,False
jutt,F_jutt,M_jutt,1.6637,1.0,-10.1608,13.4882,False
klient,F_klient,M_klient,-12.2443,0.9126,-29.8319,5.3434,False
kodu,F_kodu,M_kodu,-3.5629,1.0,-14.6046,7.4788,False
kogemus,F_kogemus,M_kogemus,-2.5687,1.0,-14.3418,9.2045,False
koht,F_koht,M_koht,0.3646,1.0,-10.2501,10.9794,False
kool,F_kool,M_kool,-7.9337,0.9934,-20.8599,4.9925,False
kord,F_kord,M_kord,0.6624,1.0,-9.4419,10.7667,False
korter,F_korter,M_korter,-18.8295,0.0818,-38.2694,0.6104,False
kuu,F_kuu,M_kuu,-0.0649,1.0,-11.4301,11.3003,False
käsi,F_käsi,M_käsi,0.1735,1.0,-10.9772,11.3241,False
küsimus,F_küsimus,M_küsimus,-4.4976,1.0,-15.0389,6.0437,False
laps,F_laps,M_laps,-5.8066,1.0,-17.8838,6.2706,False
lugu,F_lugu,M_lugu,16.4055,0.0,4.2419,28.5692,True
lõpp,F_lõpp,M_lõpp,-0.6508,1.0,-12.3327,11.0311,False
maailm,F_maailm,M_maailm,-0.1278,1.0,-11.9009,11.6454,False
maakler,F_maakler,M_maakler,-30.4313,0.1348,-63.0106,2.148,False
meel,F_meel,M_meel,-1.274,1.0,-12.4019,9.854,False
mees,F_mees,M_mees,-4.804,1.0,-18.7824,9.1744,False
mina,F_mina,M_mina,-1.6254,1.0,-12.5061,9.2552,False
muusika,F_muusika,M_muusika,9.2725,1.0,-12.5144,31.0594,False
mõte,F_mõte,M_mõte,4.2183,1.0,-5.7095,14.146,False
naine,F_naine,M_naine,-11.4416,0.8362,-27.1789,4.2957,False
nimi,F_nimi,M_nimi,4.0161,1.0,-8.2407,16.273,False
noor,F_noor,M_noor,-18.6246,0.0066,-35.3732,-1.876,True
nädal,F_nädal,M_nädal,-0.9412,1.0,-12.0414,10.1589,False
näide,F_näide,M_näide,-3.4004,1.0,-13.5951,6.7943,False
olukord,F_olukord,M_olukord,-0.7645,1.0,-12.3873,10.8583,False
osa,F_osa,M_osa,0.8368,1.0,-9.313,10.9866,False
pea,F_pea,M_pea,0.3969,1.0,-11.0049,11.7988,False
pilt,F_pilt,M_pilt,-4.3215,1.0,-17.2017,8.5588,False
probleem,F_probleem,M_probleem,-0.8652,1.0,-13.0186,11.2882,False
päev,F_päev,M_päev,-3.1423,1.0,-13.6132,7.3286,False
raha,F_raha,M_raha,-1.1451,1.0,-12.8021,10.5118,False
saade,F_saade,M_saade,7.2266,0.9988,-5.3073,19.7604,False
sõna,F_sõna,M_sõna,-1.9775,1.0,-12.8349,8.88,False
tee,F_tee,M_tee,1.1332,1.0,-10.2094,12.4759,False
teema,F_teema,M_teema,-1.1818,1.0,-11.2861,8.9225,False
tunne,F_tunne,M_tunne,0.4736,1.0,-11.5169,12.4641,False
töö,F_töö,M_töö,-5.4893,1.0,-15.9387,4.9601,False
võimalus,F_võimalus,M_võimalus,-2.865,1.0,-14.0396,8.3096,False
