lemma,group1,group2,meandiff,p_adj,lower,upper,reject
aa,F_aa,M_aa,-0.026,1.0,-9.3117,9.2597,False
aha,F_aha,M_aha,-0.2053,1.0,-32.8415,32.431,False
ahaa,F_ahaa,M_ahaa,-0.8292,1.0,-17.6825,16.0241,False
ahah,F_ahah,M_ahah,-1.4903,1.0,-18.1924,15.2119,False
ahhaa,F_ahhaa,M_ahhaa,-0.9328,1.0,-33.5691,31.7034,False
ai,F_ai,M_ai,-2.6411,1.0,-23.7077,18.4255,False
aitäh,F_aitäh,M_aitäh,-0.2935,1.0,-6.7284,6.1413,False
appi,F_appi,M_appi,-0.1343,1.0,-37.8194,37.5508,False
huu,F_huu,M_huu,-0.7695,1.0,-33.4057,31.8668,False
issand,F_issand,M_issand,-0.3866,1.0,-10.4337,9.6604,False
jah,F_jah,M_jah,-0.0146,1.0,-6.6797,6.6505,False
jee,F_jee,M_jee,-0.506,1.0,-30.2987,29.2866,False
jess,F_jess,M_jess,-0.8049,1.0,-27.4523,25.8425,False
kõll,F_kõll,M_kõll,0.2782,1.0,-37.4069,37.9633,False
mhm,F_mhm,M_mhm,-0.5891,1.0,-38.2743,37.096,False
no,F_no,M_no,6.1676,0.0024,0.8961,11.439,True
noh,F_noh,M_noh,3.1313,0.9977,-2.3668,8.6295,False
nojah,F_nojah,M_nojah,0.6077,1.0,-10.6528,11.8683,False
nägemiseni,F_nägemiseni,M_nägemiseni,1.7854,1.0,-25.9501,29.5209,False
oh,F_oh,M_oh,0.2793,1.0,-8.5634,9.122,False
oi,F_oi,M_oi,0.8695,1.0,-8.5702,10.3092,False
okei,F_okei,M_okei,0.5404,1.0,-5.4678,6.5486,False
oo,F_oo,M_oo,-0.607,1.0,-16.7428,15.5288,False
oot,F_oot,M_oot,-0.9321,1.0,-18.4736,16.6093,False
oot-oot-oot-oot,F_oot-oot-oot-oot,M_oot-oot-oot-oot,-0.118,1.0,-32.7542,32.5183,False
plaks,F_plaks,M_plaks,-0.1771,1.0,-32.8133,32.4592,False
raisk,F_raisk,M_raisk,-0.6639,1.0,-33.3001,31.9724,False
tere,F_tere,M_tere,0.4283,1.0,-5.1714,6.028,False
tervist,F_tervist,M_tervist,0.1178,1.0,-18.2706,18.5063,False
tšau,F_tšau,M_tšau,0.5319,1.0,-37.1532,38.217,False
vaat,F_vaat,M_vaat,-1.5533,1.0,-12.2898,9.1833,False
vabandust,F_vabandust,M_vabandust,-1.3614,1.0,-12.1033,9.3805,False
vot,F_vot,M_vot,0.8218,1.0,-5.7957,7.4392,False
