lemma,group1,group2,meandiff,p_adj,lower,upper,reject
aitama,F_aitama,M_aitama,-4.7659,1.0,-24.6403,15.1085,False
alustama,F_alustama,M_alustama,-3.3589,1.0,-24.3329,17.615,False
andma,F_andma,M_andma,0.5008,1.0,-18.7611,19.7627,False
arvama,F_arvama,M_arvama,7.8639,1.0,-11.2807,27.0085,False
ei,F_ei,M_ei,-12.3228,0.9713,-31.1402,6.4947,False
elama,F_elama,M_elama,-1.9627,1.0,-23.2433,19.3179,False
hakkama,F_hakkama,M_hakkama,0.6864,1.0,-18.131,19.5039,False
juhtuma,F_juhtuma,M_juhtuma,-0.2279,1.0,-21.1949,20.739,False
jääma,F_jääma,M_jääma,-0.3437,1.0,-19.4519,18.7644,False
jõudma,F_jõudma,M_jõudma,-0.6123,1.0,-19.9929,18.7683,False
kirjutama,F_kirjutama,M_kirjutama,-1.2884,1.0,-23.7786,21.2017,False
kuulama,F_kuulama,M_kuulama,4.8246,1.0,-16.5155,26.1646,False
kuulma,F_kuulma,M_kuulma,4.5635,1.0,-15.5965,24.7235,False
käima,F_käima,M_käima,3.6537,1.0,-15.6839,22.9914,False
küsima,F_küsima,M_küsima,-3.8599,1.0,-23.3967,15.6769,False
leidma,F_leidma,M_leidma,-4.8343,1.0,-24.4513,14.7827,False
lugema,F_lugema,M_lugema,0.7327,1.0,-20.7733,22.2387,False
meeldima,F_meeldima,M_meeldima,0.6544,1.0,-20.6422,21.9511,False
minema,F_minema,M_minema,-4.629,1.0,-23.4464,14.1885,False
muutuma,F_muutuma,M_muutuma,-0.2497,1.0,-21.5803,21.0808,False
mäletama,F_mäletama,M_mäletama,2.0805,1.0,-20.385,24.546,False
mängima,F_mängima,M_mängima,4.8983,1.0,-20.2664,30.0631,False
mõtlema,F_mõtlema,M_mõtlema,0.4512,1.0,-18.8865,19.7889,False
nägema,F_nägema,M_nägema,-2.0065,1.0,-20.9291,16.916,False
olema,F_olema,M_olema,-80.9975,0.0,-99.8149,-62.18,True
ootama,F_ootama,M_ootama,0.0636,1.0,-20.6823,20.8095,False
oskama,F_oskama,M_oskama,-1.4019,1.0,-22.8686,20.0647,False
ostma,F_ostma,M_ostma,-5.018,1.0,-29.958,19.9221,False
panema,F_panema,M_panema,2.1319,1.0,-17.6616,21.9254,False
pidama,F_pidama,M_pidama,-12.2555,0.9772,-31.1781,6.667,False
rääkima,F_rääkima,M_rääkima,-3.8775,1.0,-22.9091,15.154,False
saama,F_saama,M_saama,-11.0006,0.9983,-29.818,7.8169,False
sööma,F_sööma,M_sööma,-12.2234,1.0,-39.7427,15.296,False
tahtma,F_tahtma,M_tahtma,-8.7586,1.0,-28.0963,10.579,False
teadma,F_teadma,M_teadma,0.8056,1.0,-18.4563,20.0675,False
tegelema,F_tegelema,M_tegelema,-4.2278,1.0,-27.794,19.3383,False
tegema,F_tegema,M_tegema,-0.6128,1.0,-19.4303,18.2046,False
tekkima,F_tekkima,M_tekkima,-0.6657,1.0,-20.7555,19.4242,False
toimuma,F_toimuma,M_toimuma,0.6639,1.0,-19.815,21.1427,False
tooma,F_tooma,M_tooma,-0.59,1.0,-20.1754,18.9954,False
tulema,F_tulema,M_tulema,-9.2446,1.0,-28.1672,9.678,False
tundma,F_tundma,M_tundma,-4.6532,1.0,-24.8034,15.497,False
tunduma,F_tunduma,M_tunduma,0.709,1.0,-19.642,21.0601,False
tähendama,F_tähendama,M_tähendama,-2.7375,1.0,-23.3524,17.8774,False
töötama,F_töötama,M_töötama,-0.4056,1.0,-22.4615,21.6503,False
vaatama,F_vaatama,M_vaatama,10.6087,0.9996,-8.4229,29.6402,False
võima,F_võima,M_võima,-10.1029,0.9999,-29.0255,8.8197,False
võtma,F_võtma,M_võtma,-3.0673,1.0,-21.9898,15.8553,False
õppima,F_õppima,M_õppima,-3.1806,1.0,-27.0589,20.6977,False
ütlema,F_ütlema,M_ütlema,-4.5489,1.0,-23.4714,14.3737,False
