episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,eriti,siin,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,V,eriti,olema,"Aga aga see töö või oli ka ette teada , et on nii-öelda ajutine ja tuleb , tuleb mingi hetk see ametist loobuda ja ja eks tegelikult võib-olla noortele tänapäeva noortele eriti on ju ka see , et , et need töökohad ei olegi igavese ja , ja asjad muutuvad suhteliselt kiiresti , et et tuligi periood , kus tuli sealt asjad kokku pakkida ja siis juhtus midagi sellist ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,V,eriti,nägema,"Midagi Euroopa partnerid ja vot seda ma tahan veel eriti näha , mismoodi nad Trumpilt seda miljardit lähevad kätte saama ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,eriti,veel,"Ja , ja kusjuures jällegi , see on poliitiliselt väga tähtis , et see naiskond sedavõrd hästi mängib , eriti veel , kui ta finaalturniirile pääseks ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,eriti,tähtis,"Sellepärast et ma kujutan ette , et selle edu taustal ja , ja , ja see ongi , mis on üks eriti tähtis asi , on olemas , väikestel tüdrukutel on eeskujud ja kui nad näevad kui hästi , kui vägev asi see on , et kuidas võrkpalli mängitakse kõik nii , siis ma kujutan ette , et hakatakse tungima ka sinna võrkpallitrenni , nüüd on järgmine asi , eks , et need kõik tahtjad soodetakse vastu võtta , aga see jällegi paneb Eesti tüdrukut rohkem liikuma , kui ta tuleb võrkpallitrenni , et vaatab , et see on jumalast äge asi ja , ja , ja see ongi riik peabki seda võtma ühena ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,eriti,piisavalt,"Tarmo , sa ju tead ise ka seda , eks ole ja , ja ilmselgelt ta on ka selles selle kategooria mees komplekteerimisel ma ei tea , kas rahalisi vahendeid polnud eriti piisavalt noh , ei saadud ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,A,eriti,hea,"Aga veel üks hol moment on see , et mulle tundub , et need Venemaa need keskmised klubid ei ole nagu eriti head , see et seal ei ole nagu mingit mingit väga taseme vahet nendega ja nagu hooaja alguses näidanud , suudetakse tega mängida nii nii võõrsil kui kodus , et ainuke asi , mida ta vältida , neid lolle kaotusi , nagu see RI F-i kaotus oli ja mingit niisuguseid asju tuleb vältida , aga , aga , aga ma arvan ka , et see hooaeg , nad on võimelised seda saama , nii et paneme jah , et siis me Tarmoga seekord oleme siis optimistik ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,0,M,8.516166666666667,D,eriti,taas,Teadmatus turul eriti taas eriti nõudluse poolt .
20210413_episood_4_kas_vanasti_oli_muusika_parem,3,M,17.469833333333334,D,eriti,lihtsalt,"Et eriti lihtsalt näidata inimestele , et mul on päriselt nagu siin iva sees ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,4,M,12.370666666666663,A,eriti,hull,"Ja eriti hulluks läheb siis , kui näiteks teed džässmuusikat , kui sa improviseerid seda teed muusikat ja sa mõtled käigu pealt midagi välja , et see , see on nagu täiesti pilbast ehk siis niimoodi , et ma ja , ja sellel kaalus , mulle õudselt meeldis see uuring , see , seda saab Youtube'ist ilmselt ka leida ja kui ta täpselt guugeldate , see , see on , seda , seda näha , see on päris põnev ."
20210416_aprill_epikojas__ro_puuetega_inimeste_komitee_arvamus_eesti_olukorrast,2,M,11.751333333333331,V,eriti,olema,"Ja eriti on siis toonitatud , et tuleb keskenduda artiklile 12 ja 19 siis eestkoste teema ja iseseisva elu ja kogukonda kaasamise teema ."
20201231_59_normaalse_elu_osa,3,M,7.0729999999999995,A,eriti,passiivne,"Et kas see on mingi , kas su elus on mingi sugune raske aeg , et sa oled kuidagi eriti passiivne või sa lihtsalt mõtled , et ah , sa ei viitsi eriti mingit asju teha ?"
20201231_59_normaalse_elu_osa,3,M,7.0729999999999995,D,eriti,palju,"Aga siis me nagu kogu aeg arutame omavahel , et minu meelest meil ei ole mingit erilist stressi ja ärevust , et elu on suhteliselt nagu , nagu praegu näiteks pandeemia meid eriti palju ei ole otseselt isiklikult puudutanud ."
20210404_episood_3_emoosekandid_ja_co2paraad,0,M,52.372166666666665,A,eriti,praegune,"Nojah , eriti praeguses infoväljas , kus sa võid ära uppuda reaalselt võid ära uppuda nagu ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,A,eriti,hea,"Pallimängudes ei saa kunagi pead anda , nagu me oleme siin näinud , eks ole , igast idiootsusi juhtub ja tehakse , eks ole , aga Andrei olemets üle mul on ka eriti hea meel , sest mul on nagu ja ta on hästi segune , emotsionaalne ja , ja , ja ja inimene ja ta need ka ütleme , need pisarad on , on , on varemgi välja tulnud ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,V,eriti,ei,"Ei ohvi ja ma nüüd ma täpselt ei mäleta , kas see oli kas see oli äkki poolfinaal või oli see pronksiseene Viljandi vastu , mäletan Viljandi vanas võimlas veel siis ei olnud seda suur spordihoonet , seal mängiti ja ja ma olin seda mängu seal vaatamas ja , ja kajastamas ja ja , ja ega ma eriti ei teadnud Andrei enne seda ja siis nad võitsid selle mängu ära ja , ja siis siis ma mäletan , kui Andreil olid ka seal silmad määras vesi korda , vaatasin , oh , mis treener see selline on , eks ole ."
