episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,liiga,palju,Ja loodan ja kuulajad võib- olla ei pane ära liiga palju mingi lehma jutte .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,D,liiga,vähe,"Aga liiga vähe , et praegu ei jõua üldse , sõitsin kinni ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,D,liiga,palju,"No eks see ajastu võib-olla , et tulevad ja lähevad , et lõpuks praegu on selline ajastu ja võib olla viie aasta pärast räägime , et ma ei tea Poprocki on liiga palju , on ju , et kõik spotis või edetabelid on täis , et noh , me ei tea seda täpselt ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,liiga,vähe,"Jah , ma siin tegelikult kaalusin vahepeal autovahetust , aga see mul katki ja ränt kruisalu sellepärast sinna ma liiga vähe , liiga vähe inimesi sisse , mul on vaja vahepeal korvpallipoisse siin sõidutada , need kasvavad ka juba siit muidugi , aga Villem Soomest , ma rõhutan , on väga õige mees muidugi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,liiga,vähe,"Jah , ma siin tegelikult kaalusin vahepeal autovahetust , aga see mul katki ja ränt kruisalu sellepärast sinna ma liiga vähe , liiga vähe inimesi sisse , mul on vaja vahepeal korvpallipoisse siin sõidutada , need kasvavad ka juba siit muidugi , aga Villem Soomest , ma rõhutan , on väga õige mees muidugi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,liiga,vähe,"Jah , et noh , see , see väljub igasugustest nendest tava mingit juhendi raamistikust , et siin tuleb lihtsalt võtta vastu mingi otsus , et see karistus on selline minu arust isegi kolm mängu on liiga vähe mängude arv rohkem ja see rahatrahv ka ja , ja , ja ongi kõik ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,liiga,vaevalt,"On see , et üsna pretsedenditu oli ka Läti Korvpalliliidu avalik teade või avaldus pärast selle karistuse määramist , kus nad ikkagi avalikult ütlesid selle välja , et me olime Eesti korvpalliliiduga erineval meelel , et meie arust oli see absurdselt leebe karistus , mis omakorda mulle viitab , et ma ei tea , kas meil järgmine aasta on see liiga vaevalt nüüd selle ühe intsidendi pärast , aga see näitab , et asjad võib-olla seal liiga juhtimises ja kahe korvpalliliidu läbisaamises ei pruugi väga head olla ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,liiga,kaua,"Et , et probleem on minu arust pigem selles selles Rapla koosseisus , et esiteks seal need Eesti veteranid , aju on kaldre liiga kaua juba seal meeskonnas olnud oma oma , mingis mullis elavad seal ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,D,liiga,esmakordselt,"Küsimus number viis , kas BC Kalev Cramo korvpallimeeskond pääseb WTB liigas esmakordselt ajaloos play-off i ?"
20210413_episood_4_kas_vanasti_oli_muusika_parem,0,M,10.724166666666669,A,liiga,õnnelik,"No ma arvan , et naabrid oleks võib-olla mitte veel liiga õnnelikud olnud , kui niisugune asi oleks sündinud mul seal 50 ruutmeetrises korteris ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,2,M,24.133833333333335,D,liiga,palju,"Aga nüüd lihtsalt hästi valus küsimus on see , et okei , et kui muusikuna sa võtad selle teekonna ette ja hakkad ennast tegema , kui brändiks ja kõike niimoodi ja sa pead , võib-olla sul ei ole nagu liiga palju inimesi abiks ja pead kuidagi üksi nagu ujuma selles vees , eksole , kui palju sul tegelikult aega jääb sellele , et olla veel hea muusik , et harjutada selle kõrvalt sellepärast et nagu inimesed harjutavad nagu , no kui me toome võrdluseks , et mingid ERSO muusikud ja niisugused klassikalised muusikud nende jaoks on tavaline , et nad harjutavad päevas kaheksa tundi iga päev ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,4,M,12.370666666666663,A,liiga,halb,"Et see on ikkagi , see on kommunikatsioonivorm , eks ole , ja võib-olla kui sulle hakkab see meeldima ja keegi sind üles korjab ja aitab sul natukene , võib-olla sa saad kusagile niimoodi , et saad oma loo raadiosse , saad kunagi oma lastele öelda , et noh , ma ei olnud päris muusikaga , ma sain oma raadiosse , aga võib-olla võib juhtuda , et äkki keegi kuskilt kas raadiost või kuskilt stuudiost kuuleb seda ja sinust saab päris muusik nagu , mis oleks noh , see ei oleks liiga halb , eks ole ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,liiga,palju,"Ma arvan , et see ongi see ongi see põhjus ka , miks Eesti laulus läks Eesti laulu läks ka tasuliseks see esitamine , et lihtsalt neid lugusid oli liiga palju ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,liiga,hästi,"Ma arvan , et see on loomulik , et kui noh , tänapäeva noorele võib-olla anda kätte mingisugune John Cage , siis noh , ma arvan , et ta võib-olla ei võtaks seda liiga hästi vastu , eks ole ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,liiga,palju,T ja popmuusikas ka vist igal ajal ajahetkel neid superstaare tegelikult ei ole ju vist liiga palju .
20210416_aprill_epikojas__ro_puuetega_inimeste_komitee_arvamus_eesti_olukorrast,2,M,11.751333333333331,D,liiga,palju,"Aga murekohti on kõvasti ja kõiki neid loomulikult ei saa siin välja tuua , sest komitee nagu esitab terve paketi Aga ühe märkusena näiteks on öeldud seda , et Eestis tundub , et puuetega inimesed on liiga palju sotsiaalteenuste saajate staatuses , selle asemel , et olla oma elu aktiivsed kujundajad ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,D,liiga,palju,"Lihtsalt öelda ja eeldada , et teised inimesed saavad aru ja see on nagu , et võib-olla , kui sa liiga palju detaile seletad , siis sa oled lausa nagu natukene üle olev , et sa arvad , et inimene rumal , et sa pead nii palju detaile talle seletama ."
