episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,natukene,kahetsema,"Et see peab olema ikka mingi selline kirg , et sinna minna ja ma olen ise ka mõelnud selle peale , et et või natukene kahetsenud , et võib-olla oleks pidanud proovima , aga samas ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,natukene,muutuma,Ja see natukene muutus selliseks samuki jooksmiseks .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,D,natukene,teistmoodi,"Et ikkagi nii-öelda jääda samasse valdkonda , aga natukene teistmoodi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,V,natukene,panema,Aga mis mind nagu muretsema natukene paneb .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,natukene,üldse,"Aga kuidagi minu arust see Rapla küsimus on nagu laiem natukene üldse selle klubi identiteet ikkagi , et kuhu kuhu suunduda ja ja mis , missuguste eesmärkidega see klubi nagu üldse peaks aastast aastasse ringlema , et rohkem peaks võib-olla nende küsimuste poole vastama , et mul on tunne , et et need , need on ka muutunud võib-olla natukene liiga nagu selliseks ühe hooaja tulemuse keskseks ikkagi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,D,natukene,liiga,"Aga kuidagi minu arust see Rapla küsimus on nagu laiem natukene üldse selle klubi identiteet ikkagi , et kuhu kuhu suunduda ja ja mis , missuguste eesmärkidega see klubi nagu üldse peaks aastast aastasse ringlema , et rohkem peaks võib-olla nende küsimuste poole vastama , et mul on tunne , et et need , need on ka muutunud võib-olla natukene liiga nagu selliseks ühe hooaja tulemuse keskseks ikkagi ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,2,M,24.133833333333335,D,natukene,noh,"Nagu mulle tundubki , et just tänapäevase muster on nagu pigem see , et kui sa juba oled tipus siis sa liitud plaadifirmaga selleks , et siis kas enda mingisugust ajaressurssi kuidagi natukene noh , nii-öelda kokku tõmmata ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,V,natukene,andma,"Aga siis , kui tuleb rokkmuusika enda seest mingi artist , kes nagu natukene annab kompromisse , et sinna mainstreami saada selle muusika arvelt , siis ja nii-öelda toob selle nii öelda toob selle kõik žanrile kätte , siis nad on hullult pahased ja nad ei võta seda nagu omaks ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,D,natukene,üle,"Lihtsalt öelda ja eeldada , et teised inimesed saavad aru ja see on nagu , et võib-olla , kui sa liiga palju detaile seletad , siis sa oled lausa nagu natukene üle olev , et sa arvad , et inimene rumal , et sa pead nii palju detaile talle seletama ."
20210404_episood_3_emoosekandid_ja_co2paraad,0,M,52.372166666666665,V,natukene,liialdama,"Ma oleks vist okei , natukene liialdan , aga ma põhimõtteliselt poetasin , too õhtu ikka pisara ka ."
