episode_id;section_index;gender;minutes;absolut_freq;freq_per_100_lemmas
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;2;M;38.38016666666667;1;0.0002855951517367041
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;4;M;70.77066666666666;2;0.0005711903034734083
20190102_58_saade__ajurveeda_edendaja_kaja_keil;0;F;43.91566666666667;1;0.00034431586159879626
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666663;6;0.0017135709104202246
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;1;0.0002855951517367041
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;5;M;20.710666666666665;4;0.0011423806069468165
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju;1;F;41.34983333333333;2;0.0006886317231975925
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;2;M;14.613833333333332;1;0.0002855951517367041
20190307_67_saade_rgime_kogukonnast_kus_kik_mehed_on_naistele_truud;3;F;12.514666666666669;1;0.00034431586159879626
20190307_67_saade_rgime_kogukonnast_kus_kik_mehed_on_naistele_truud;6;F;6.178666666666663;1;0.00034431586159879626
20190408_68_saade__hingamisterapeudid_annavad_npuniteid_kuidas_end_terveks_ja_nnelikuks_hingata;0;F;39.77;1;0.00034431586159879626
20190904_bipolaarne_vandenud_1;5;M;1.8810000000000024;2;0.0005711903034734083
20190908_bipolaarne_armastus_2;2;M;20.148166666666665;3;0.0008567854552101123
20191223_arcopod_s1e1_leanika_2019;0;F;45.16716666666667;2;0.0006886317231975925
20200105_saaga_jtkub_20__040_05012020;22;M;1.850666666666666;1;0.0002855951517367041
20200112_kekkonenis_takeover__041_12012020;69;M;3.1498333333333375;1;0.0002855951517367041
20200112_kekkonenis_takeover__041_12012020;111;M;3.5673333333333326;2;0.0005711903034734083
20200330_1_lle_madise_intervjuus_eesti_inimeste_igusi_ei_tohi_ikka_grammigi_rohkem_piirata;1;F;10.887333333333336;2;0.0006886317231975925
20200505_episood_10__estpluatatsioon_november__malev;6;M;9.169000000000002;1;0.0002855951517367041
20200505_episood_10__estpluatatsioon_november__malev;12;M;2.129;1;0.0002855951517367041
20200505_episood_10__estpluatatsioon_november__malev;15;M;7.989833333333339;3;0.0008567854552101123
20200505_episood_10__estpluatatsioon_november__malev;18;M;10.637833333333331;2;0.0005711903034734083
20200505_episood_10__estpluatatsioon_november__malev;20;M;7.633000000000008;2;0.0005711903034734083
20200505_episood_10__estpluatatsioon_november__malev;24;M;3.3210000000000037;1;0.0002855951517367041
20200608_liisa_pakosta__naistele_ks_palk_ja_meestele_teine;0;F;24.0745;1;0.00034431586159879626
20200826_riina_solman_ja_liina_kersna_roosast_kleidist_ja_riigi_vrikusest;0;F;32.030833333333334;2;0.0006886317231975925
20200826_riina_solman_ja_liina_kersna_roosast_kleidist_ja_riigi_vrikusest;1;F;5.349499999999996;1;0.00034431586159879626
20210106_irja_lutsar_mina_ei_ole_selle_valitsuse_ema;0;F;24.734166666666667;2;0.0006886317231975925
20210131_klas_mc_olldaraba_bastadz_daraba_mob08731012021;4;M;0.2841666666666659;1;0.0002855951517367041
