episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,D,suhteliselt,kiiresti,"Aga aga see töö või oli ka ette teada , et on nii-öelda ajutine ja tuleb , tuleb mingi hetk see ametist loobuda ja ja eks tegelikult võib-olla noortele tänapäeva noortele eriti on ju ka see , et , et need töökohad ei olegi igavese ja , ja asjad muutuvad suhteliselt kiiresti , et et tuligi periood , kus tuli sealt asjad kokku pakkida ja siis juhtus midagi sellist ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,suhteliselt,segane,"On kahtlus , et seal olid siiski ka mingid kangemad kraamid , sest et järgmine hommik oli jutt alati suhteliselt segane ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,A,suhteliselt,erakordne,"Et et , et ei tule , see oli siiski suhteliselt erakordne ja , ja meil ei ole kõik need aastad ikka päris niimoodi kulgenud ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,A,suhteliselt,väike,"On see nagu võimalik , aga tõenäosus ikkagi , et ta ise kõik pihta , sa on jälle suhteliselt väike , vaadates tema laskmis statistikat ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,A,suhteliselt,hea,Ühesõnaga nimekirjas suhteliselt heade kohtade peal .
20210413_episood_4_kas_vanasti_oli_muusika_parem,1,M,3.460166666666667,D,suhteliselt,sinna,"No mina olen selline roki ja võib-olla isegi kohati metali austaja Et noh , see on selline žanr , mis on nüüd viimase , vähemalt 10 aasta jooksul , kui mitte rohkem vajunud , ikkagi suhteliselt sinna nii ."
20201231_59_normaalse_elu_osa,3,M,7.0729999999999995,A,suhteliselt,vaba,"Meil on mõlemal suhteliselt vaba aega , mida millegagi tegeleda , kui ka rahulikult lõõgastuda ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,A,suhteliselt,erinev,"Nad said niigi aru , miks on vaja kõike , sest rääkida Mitte niivõrd see , et nagu iga indiviid , vaid lihtsalt üldiselt on niisugune muster ja just ja Prantsusmaal on ka inimesi , kes mõned seletavad liiga palju , liiga vähe ja teised prantslased arvavad , et nad on lollid , lollid selles mõttes , et see ei ole nagu nii , et kõik prantslased , arva kõik , ameeriklased peavad neid lollideks vaid lihtsalt nagu pigem et nad on sellel sellel skaalal suhteliselt erinevates otsades ja selle tõttu suhteliselt tihti tekib selline , nagu pinge ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,D,suhteliselt,tihti,"Nad said niigi aru , miks on vaja kõike , sest rääkida Mitte niivõrd see , et nagu iga indiviid , vaid lihtsalt üldiselt on niisugune muster ja just ja Prantsusmaal on ka inimesi , kes mõned seletavad liiga palju , liiga vähe ja teised prantslased arvavad , et nad on lollid , lollid selles mõttes , et see ei ole nagu nii , et kõik prantslased , arva kõik , ameeriklased peavad neid lollideks vaid lihtsalt nagu pigem et nad on sellel sellel skaalal suhteliselt erinevates otsades ja selle tõttu suhteliselt tihti tekib selline , nagu pinge ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,D,suhteliselt,vähe,"Ei , ma ei ole seda täiesti läbi lugenud mal , kõigepealt ma nägin mingit kokkuvõtet kuskil ja see tundus mulle põnev ja nüüd ma hakkasin seda raamatut ennast lugema , aga raamatut ennast ma olen suhteliselt vähe lugenud ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,A,suhteliselt,intuitiivne,"Sest et selleks , et sa üldse sinna lameda maa gruppi sisse saaksid , siis sa pead olema suhteliselt intuitiivse mõtlemisega , et sulle tundub , et maakera on lapik , intuitsiooni sellest sellest piisab ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,suhteliselt,haruldane,"Võib olla kord päevasuud panema , et , et isegi sul ei pea ilmtingimata olema seda nagu seda hüper sügavkülmikusüsteemi , mida vist paljudel haiglatel ja ei ole , see on niisugune suhteliselt haruldane , et on miinus 40 kraadise külmikuid ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,D,suhteliselt,jah,"Suhteliselt jah , vist hea ja see samamoodi ühtegi ka selle puhul ei olnud kedagi , kes oleks haiglaravi vajanud ."
