episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,3,M,0.55783333333333,D,üsna,ootamatult,"Aga noh , jah , selles mõttes , et me jõuame ka selleni , et , et selle hirvede ja huntidega vist põtradega tuli pärast ka nagu tegeleda natukene , aga aga see Tallinna elu lõppeb , ma mäletan tuli teil ju üsna ootamatult ja , ja tegelikult Minu arust teie ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,A,üsna,leebe,"Minu arust on Eesti korvpalliliit ka aastate jooksul tegelikult olnud üsna leebe kõikide karistustega et , et ma kiidaks nagu lätlasi vähe ja niisuguse nagu asjakohasema ja kaasaegsema lähenemise eest kogu kogu sellele nagu maailmale , kui keegi on selliste rikkumistega hakkama saanud ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,A,üsna,pretsedenditu,"On see , et üsna pretsedenditu oli ka Läti Korvpalliliidu avalik teade või avaldus pärast selle karistuse määramist , kus nad ikkagi avalikult ütlesid selle välja , et me olime Eesti korvpalliliiduga erineval meelel , et meie arust oli see absurdselt leebe karistus , mis omakorda mulle viitab , et ma ei tea , kas meil järgmine aasta on see liiga vaevalt nüüd selle ühe intsidendi pärast , aga see näitab , et asjad võib-olla seal liiga juhtimises ja kahe korvpalliliidu läbisaamises ei pruugi väga head olla ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,4,M,5.474666666666667,A,üsna,veenev,"Paremaks teha ja , ja tundus üsna veenev ja , ja seal samas artiklis oli ka osjee sõnad , et , et eelmise aasta lõpus oli Ott Tänak kindlasti maailma parim rallisõitja Toyota autoga , eks noh , et kuna mees on kõva auto , oli kõva nii ja Ma arvan , et Toyota arendab autot kiiremini , kui sitröön seda teeb ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,1,M,2.3593333333333333,A,üsna,uus,"Aga ma usun üleüldiselt , meie jaoks see on , ütleme kaasaegses majanduses , see on üsna Uus olukord ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,2,M,24.133833333333335,A,üsna,kindel,"Mul on see tunne , et jah , see päris asi , see üks viraalne asi aitas tal jääda kellelgi silma , aga ma olen üsna kindel , et nad tegelikult tegid tema kohta veits taustauuringu ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,3,M,17.469833333333334,D,üsna,julgelt,"Noh , ma arvan , et mitte ainult Viljandi kultuur , aga igasugune , igasugune muusikakool , igasugune huviring , mis tegeleb muusikaga , on see on keeltega ja seal on nali , kusjuures sellepärast , et need inimesed , kes tulevad täpselt siin nendest Koolidest välja ja ka huviringidest välja on , noh ma võin üsna julgelt väita , et nad on väga head või palju paremad kommunikeerijad , kui nad olid sinna sisenedes ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,4,M,12.370666666666663,V,üsna,garanteerima,"Isegi kui see on jube halb , ma võin üsna garanteerida , et enamus emasid on sellised , kes on pisarateni liigutatud , kui niisugust asja teed ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,A,üsna,äge,"Kuna see huvitab mind , see mu music business , see selles pooles just ma jälgin hästi palju seda , mis on mainstreamis ja meil oli vahepeal nagu see seis , kus meil oli tõesti , ma ei räägi Eestist , ma räägin siis maailmast , kus meil oli see esiteks ladina rütm , onju , domineeris , teine osa oli see mõminaräpi osa , aga nüüd järjest rohkem hakkab selliseid asju tulema ja see on minu arust väike selline lootus , kiir , et see nii-öelda jutumärkides vana muusika ka hakkab nagu tulema tagasi sinna mainstreami just selles mõttes vanamuusika , et see on selline , see on teiste nagu motivatsioonidega tehtud ja teiste motiividega on see üsna äge , just aitäh ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,üsna,võrdväärselt,"Ja samas kui me hakkame mõtlema , et kui palju on neid väga tuntuid , rokkerid ja metalliartiste praegu , neid on üsna võrdväärselt ."
20201231_59_normaalse_elu_osa,5,M,37.325833333333335,A,üsna,segane,"Segune niisugune ma ei tea , üsna segane kokkuvõte oli vist , aga ühesõnaga Apple 'i uueti arvutid on väga kiired sest nad kasutasid enda protsessorid mitte intervjuu ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,D,üsna,üsna,"Aga üsna üsna hea , ikka päris kiire päris kiiresti ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,üsna,hea,"Aga üsna üsna hea , ikka päris kiire päris kiiresti ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,üsna,hea,Üsna hea vaktsiin .
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,üsna,hea,Kontekstis üsna hea protsent on 70.
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,üsna,rumal,"Segused frustreerivalt rumalad inimesed käivad ka oli ühes Mihkel Raua saates , kus Mihkel raud küsis neilt loogilisi küsimusi ja nad olid minu arust üsna rumalad ."
20201231_59_normaalse_elu_osa,6,M,13.087999999999996,A,üsna,väike,Üsna väike kogus .
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,0,M,14.496999999999998,D,üsna,üsna,"Maksevõime on A ja O tegelikult et et nii lihtne ta ongi , et , et see korter või maamaja või , või , või eramu , et , et , et ma arvan , et seda , seda vaadatakse üsna üsna alles kolmandas-neljandas järjekorras , kui esimesed nõuded on täidetud ."
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,0,M,14.496999999999998,D,üsna,alles,"Maksevõime on A ja O tegelikult et et nii lihtne ta ongi , et , et see korter või maamaja või , või , või eramu , et , et , et ma arvan , et seda , seda vaadatakse üsna üsna alles kolmandas-neljandas järjekorras , kui esimesed nõuded on täidetud ."
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,0,M,14.496999999999998,D,üsna,kiirelt,"Tugevam sa oled , seda kiiremini tullakse sulle ka järgmistes projektides appi ja ma arvan , et tinglikult võib seda ka eraisikutele üle kanda , et kui sa tulid sealt kriisiolukorrast läbi , siis järgmist otsust sulle tehakse üsna kiirelt ja rahuliku südamega , kui sa maksepuhkust tahtsid , noh , siis tahetakse veenduda , et , Töö on jätkusuutlik ja su tööandja on tubli ja sa saad oma asjadega hakkama ja eks kõige keerulisemas olukorras on need , kes noh , nagu päriselt täna võlgu jäävad , kas siis just nimelt koos või ilma makse puhkuseta polegi nii tähtis , et eks nemad hakkavad siis oma sellist kredibiilsust või krediidivõimelisust panga silmis taaskord uuesti üles ehitama ."
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,0,M,14.496999999999998,D,üsna,pikalt,"Sellest , mis , mis nüüd siis toimumas on meil eluasemelaenude keskmine intressimäär on olnud siin üsna pikalt kuskil 2,5 2,6 protsenti , see on õige pisut kõrgemal , kui ütleme kaks-kolm aastat tagasi , et kas me võiks nüüd oodata , et intressimäärad lähevad allapoole või , või lähevad hoopis ülespoole või , või siit mõju ei tule ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,1,M,4.868166666666666,A,üsna,libe,"Siin kõlas ikka väga palju huvitavaid seisukohti praegu Jaan muidugi läks kohe üsna libedale teele selle kohta , et kuidas , mida sina teinud oled ?"
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,1,M,4.868166666666666,A,üsna,ebaaus,"Aga noh , ühest küljest ma oleks ka nagu iseenesest suhteliselt leebe , et ma ei näeks nagu probleemi , kui nad saaks , see on kõige suurem probleem minu arust , et terve hulk inimesi on tegelikult nagu pingutanud selle nimel ikkagi nende suhtes tundub see nagu üsna ebaaus tegelikult aga suures plaanis mulle tundub , et see võib üldse nagu üsna pseudoprobleem olla , et kas , kas seda kas seda halli passi omanike osakaalu nagu suurus , et , et kas selle kas seda nagu üle ei tähtsustata seda , et mis seal siis on , kui nad ise on leppinud sellega ?"
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,A,üsna,uus,"Ja , ja vahepeal nüüd sel aastal või ütleme siis eelmises eelmisel suvel see Euroopa liiga sinna otsa , et see ongi üsna uus nähtus ikkagi , mille pealt see huvi on saanud tekkida ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,A,üsna,ühtlane,"Ütleme , 12-st või 16-st või sealt edasi , mulle tundub , vähemalt vaadates neid eelmiste aastate tulemusi ja valikturniiride tulemusi on see tase ikkagi pigem üsna ühtlane ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,A,üsna,ühtlane,Üsna ühtlane vist jah .
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,D,üsna,hiljuti,"Ja järgmine asi on see , et , et jalgpall okei , naiste jalgpalliga hakati üsnagi hiljuti tegelema , aga , aga ma arvan , et ega siin viis-kuus aastat tuleb neile armuaega anda siis ka nõudma hakata finaalturniiridele jõudmist või vähemalt nii-öelda Euroopas 24 sekka jõudmist , sest no jalgpallil on , mida panustada naistesse ja tegelikult see naiste jalgpall on , on päris laialt siin ette võetud , aga jällegi mis tasemel kõik need treeningud on , selgub , et meil on väga head noortetreenerid , väga head noortetööd , tehakse väga head treenerid , kes suudavad need võrkpallinaised Euroopasse välja viia ?"
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,D,üsna,lahjalt,"Ja absoluutselt , aga neid individuaalvõistlusi tuleb piisavalt ja ütleme niimoodi , et individuaalselt meie vehklemis naistel pole eriti hästi läinud , seega naiskonda vehelda , see on ühel MK-etapil , no umbes pool finaali jõuad ja oledki naiskonnas sees Eesti edetabeli järgi , et , et see ei ole eriti keeruline ja , ja see on selles mõttes kummaline , et , et individuaalselt on üsnagi lahjalt veheldud ."
