ngram;count;freq_per_60_min;KP_markerid
ei teadma;446;13.3108;
mina arvama;374;11.1620;1
see mõte;300;8.9534;
mina tahtma;291;8.6848;
olema tegelikult;229;6.8345;
mina ütlema;226;6.7449;1
mina rääkima;212;6.3271;
see inimene;209;6.2376;
olema hästi;201;5.9988;
olema vaja;180;5.3721;
ei tahtma;174;5.1930;
saama aru;174;5.1930;
et tegelikult;173;5.1632;
mina teadma;171;5.1035;
see asi;161;4.8050;
kogu aeg;159;4.7453;
olema võimalik;157;4.6856;
väga hea;148;4.4170;
et inimene;147;4.3872;
sina tahtma;136;4.0589;
sina ütlema;130;3.8798;
mina nägema;128;3.8201;
mina vaatama;116;3.4620;
mina mõtlema;105;3.1337;1
kui inimene;96;2.8651;
olema täna;95;2.8353;
selline asi;94;2.8054;
olema hea;91;2.7159;
see teema;90;2.6860;
olema lihtsalt;88;2.6263;
olema kindlasti;88;2.6263;
ja tegelikult;86;2.5667;
see aeg;84;2.5070;
siis tegelikult;80;2.3876;
tema tahtma;80;2.3876;
väga suur;78;2.3279;
see nii-öelda;77;2.2981;
see aasta;77;2.2981;
olema inimene;75;2.2384;
mina tegelikult;72;2.1488;
see tähendama;72;2.1488;
väga hästi;71;2.1190;
mina võtma;70;2.0891;
mina uskuma;67;1.9996;1
mina tundma;67;1.9996;1
ei oskama;67;1.9996;
üks asi;66;1.9698;
iga päev;66;1.9698;
vaimne tervis;66;1.9698;
aga tegelikult;65;1.9399;
ja vaatama;64;1.9101;
väga oluline;61;1.8205;
ei tohtima;60;1.7907;
mina lihtsalt;59;1.7608;
sina tundma;59;1.7608;
olema ütlema;58;1.7310;
hea meel;57;1.7012;
see koht;57;1.7012;
mina küsima;54;1.6116;1
oma elu;54;1.6116;
mina meeldima;53;1.5818;
palju inimene;52;1.5519;
ja ütlema;52;1.5519;
ei nägema;51;1.5221;
olema nii-öelda;51;1.5221;
sina nägema;50;1.4922;
see hetk;49;1.4624;
see tegelikult;49;1.4624;
väga raske;49;1.4624;
olema oluline;49;1.4624;
mis asi;49;1.4624;
siis nii-öelda;49;1.4624;
olema valmis;48;1.4326;
olema üldse;48;1.4326;
see võimalus;46;1.3729;
olema erinev;46;1.3729;
tema ütlema;46;1.3729;
see küsimus;46;1.3729;
mina panema;46;1.3729;
mina tunduma;45;1.3430;1
olema nägema;45;1.3430;
võima ütlema;44;1.3132;
teine inimene;44;1.3132;
ju tegelikult;44;1.3132;
eelmine aasta;44;1.3132;
siis ütlema;44;1.3132;
see õige;44;1.3132;
üks hetk;43;1.2833;
see ütlema;43;1.2833;
sina rääkima;43;1.2833;
see esimene;43;1.2833;
nii ütlema;43;1.2833;
olema õige;42;1.2535;
sina teadma;42;1.2535;
hästi oluline;41;1.2236;
mina käima;41;1.2236;
see otsus;41;1.2236;
just nimelt;40;1.1938;
et okei;40;1.1938;
mina jõudma;40;1.1938;
ei sobima;40;1.1938;
sama aeg;39;1.1639;
sina võtma;39;1.1639;
nii suur;39;1.1639;
olema täpselt;39;1.1639;
ei võtma;39;1.1639;
olema rääkima;39;1.1639;
ja kindlasti;38;1.1341;
ka ütlema;38;1.1341;
ei ütlema;37;1.1043;
et kindlasti;37;1.1043;
et vaatama;37;1.1043;
kõige suurem;37;1.1043;
see hind;37;1.1043;
see töö;37;1.1043;
mina mäletama;37;1.1043;
mina alustama;37;1.1043;
et eesti;36;1.0744;
see noor;36;1.0744;
sina arvama;36;1.0744;
olema seotud;36;1.0744;
mina arust;35;1.0446;1
noh ütlema;35;1.0446;
väga tore;34;1.0147;
ja rääkima;34;1.0147;
olema näiteks;34;1.0147;
ei jõudma;34;1.0147;
mis inimene;34;1.0147;
nagu hästi;34;1.0147;
olema näide;34;1.0147;
mina sööma;34;1.0147;
et kuulma;34;1.0147;
sina küsima;33;0.9849;
olema no;33;0.9849;
kes tahtma;33;0.9849;
ja tahtma;33;0.9849;
ja mõtlema;33;0.9849;
see olukord;33;0.9849;
teine asi;32;0.9550;
mina kindlasti;32;0.9550;
et näiteks;32;0.9550;
ei suutma;32;0.9550;
et noor;32;0.9550;
mina lootma;32;0.9550;1
väga erinev;32;0.9550;
iga inimene;31;0.9252;
ei rääkima;31;0.9252;
ei meeldima;31;0.9252;
kaks aasta;31;0.9252;
see andma;31;0.9252;
et ütlema;31;0.9252;
tänane päev;31;0.9252;
et äkki;31;0.9252;
saama ütlema;30;0.8953;
olema natuke;30;0.8953;
mina elu;30;0.8953;
ja inimene;30;0.8953;
kõige olulisem;30;0.8953;
ei julgema;30;0.8953;
ja no;30;0.8953;
vastu võtma;30;0.8953;
palju erinev;30;0.8953;
see protsess;30;0.8953;
mis tähendama;30;0.8953;
olema natukene;30;0.8953;
sina vaatama;30;0.8953;
ei pruukima;30;0.8953;
mõni mõte;30;0.8953;
esimene kord;29;0.8655;
et lihtsalt;29;0.8655;
see üldse;29;0.8655;
täpselt samamoodi;29;0.8655;
mina täna;29;0.8655;
ei jääma;29;0.8655;
see pilt;29;0.8655;
see lihtsalt;29;0.8655;
tahtma ütlema;29;0.8655;
hea sõber;29;0.8655;
olema nõus;29;0.8655;
see osa;28;0.8357;
aga rääkima;28;0.8357;
mõni inimene;28;0.8357;
iga juht;28;0.8357;
see raha;28;0.8357;
olema eesti;28;0.8357;
olema samamoodi;28;0.8357;
olema jõudma;28;0.8357;
või ütlema;27;0.8058;
mina soovitama;27;0.8058;1
oma aeg;27;0.8058;
tema tegelikult;27;0.8058;
see lugu;27;0.8058;
mingi hetk;27;0.8058;
ei panema;27;0.8058;
mina leidma;27;0.8058;
nagu ütlema;27;0.8058;
olema kuulma;26;0.7760;
üks inimene;26;0.7760;
vaba aeg;26;0.7760;
siis inimene;26;0.7760;
mingi asi;26;0.7760;
see elu;26;0.7760;
tema lihtsalt;26;0.7760;
olema jälle;26;0.7760;
olema noor;26;0.7760;
10 aasta;26;0.7760;
olema mõtlema;26;0.7760;
oma töö;26;0.7760;
mina üldse;26;0.7760;
see toit;26;0.7760;
et võtma;26;0.7760;
see tegevus;26;0.7760;
olema õppima;25;0.7461;
tema rääkima;25;0.7461;
see rääkima;25;0.7461;
olema kaks;25;0.7461;
hästi suur;25;0.7461;
ja küsima;25;0.7461;
et tahtma;25;0.7461;
mis toimuma;25;0.7461;
mina keha;25;0.7461;
olema suur;25;0.7461;
väga põnev;25;0.7461;
sina mõtlema;25;0.7461;
ka tegelikult;25;0.7461;
väga lihtne;25;0.7461;
kokku puutuma;25;0.7461;
sina lihtsalt;25;0.7461;
pidama teadma;25;0.7461;
see energia;25;0.7461;
esimene asi;24;0.7163;
välja tooma;24;0.7163;
ja panema;24;0.7163;
mina püüdma;24;0.7163;
see uus;24;0.7163;
jüri ratas;24;0.7163;
see suur;24;0.7163;
kõik asi;24;0.7163;
olema võimalus;24;0.7163;
sina panema;24;0.7163;
viljandi linn;24;0.7163;
mis tegelikult;23;0.6864;
tema tundma;23;0.6864;
olema esimene;23;0.6864;
aga lihtsalt;23;0.6864;
olema raske;23;0.6864;
ei mäletama;23;0.6864;
ei mõtlema;23;0.6864;
viimane aeg;23;0.6864;
olema terve;23;0.6864;
mis puudutama;23;0.6864;
no ütlema;23;0.6864;
siis täna;23;0.6864;
olema käima;23;0.6864;
kõige parem;23;0.6864;
see kaks;23;0.6864;
panema tähele;23;0.6864;
sina tegelikult;23;0.6864;
siis võtma;23;0.6864;
arko vara;23;0.6864;
see maakler;23;0.6864;
väga äge;22;0.6566;
sina meeldima;22;0.6566;
noorsootöö keskus;22;0.6566;
mina andma;22;0.6566;
aga ütlema;22;0.6566;
ja loomulikult;22;0.6566;
välja nägema;22;0.6566;
muu asi;22;0.6566;
ei tundma;22;0.6566;
ja võtma;22;0.6566;
kui vaatama;22;0.6566;
see korter;22;0.6566;
see valdkond;22;0.6566;
kõik inimene;22;0.6566;
et no;22;0.6566;
väga keeruline;22;0.6566;
olema väga-väga;22;0.6566;
mina suutma;22;0.6566;
noh tegelikult;22;0.6566;
aga kindlasti;21;0.6267;
sest tegelikult;21;0.6267;
olema aus;21;0.6267;
oma kogemus;21;0.6267;
olema vaatama;21;0.6267;
pidama silm;21;0.6267;
tema jääma;21;0.6267;
mina elama;21;0.6267;
ära võtma;21;0.6267;
20 aasta;21;0.6267;
