ngram;count;freq_per_1000_n-gramms
ei teadma;854;6.2488
mina arvama;656;4.8000
see mõte;531;3.8854
mina ütlema;346;2.5317
see asi;302;2.2098
saama aru;298;2.1805
mina tahtma;289;2.1146
mina arust;273;1.9976
kogu aeg;236;1.7268
mina rääkima;182;1.3317
olema lihtsalt;182;1.3317
mina teadma;181;1.3244
olema tegelikult;180;1.3171
mina mõtlema;177;1.2951
ei tahtma;160;1.1707
see lugu;159;1.1634
olema vaja;157;1.1488
väga hea;154;1.1268
olema hea;142;1.0390
see aasta;137;1.0024
mina vaatama;131;0.9585
see inimene;128;0.9366
ei oskama;122;0.8927
selline asi;122;0.8927
mina lihtsalt;111;0.8122
mina meeldima;107;0.7829
ei no;105;0.7683
olema hästi;103;0.7537
mina nägema;102;0.7463
et tegelikult;101;0.7390
sina tahtma;101;0.7390
sina ütlema;87;0.6366
eelmine aasta;86;0.6293
see teema;83;0.6073
tema ütlema;83;0.6073
et inimene;83;0.6073
väga hästi;79;0.5780
ja ütlema;79;0.5780
mina panema;78;0.5707
mina võtma;78;0.5707
mina mäletama;77;0.5634
olema võimalik;77;0.5634
olema vaatama;77;0.5634
olema üldse;76;0.5561
üks asi;76;0.5561
see aeg;75;0.5488
ei mäletama;75;0.5488
niisugune asi;75;0.5488
sina arvama;74;0.5415
ja vaatama;73;0.5341
olema ütlema;73;0.5341
olema nägema;72;0.5268
olema eesti;71;0.5195
mingi hetk;71;0.5195
mis asi;71;0.5195
ei nägema;71;0.5195
mingi asi;68;0.4976
see nii-öelda;68;0.4976
olema no;66;0.4829
see hetk;66;0.4829
mina uskuma;66;0.4829
nagu ütlema;65;0.4756
teine asi;65;0.4756
mõni mõte;64;0.4683
olema täpselt;63;0.4610
see saade;62;0.4537
mina käima;61;0.4463
sina nägema;61;0.4463
see ütlema;61;0.4463
iga juht;61;0.4463
olema natuke;60;0.4390
ei ütlema;60;0.4390
see lihtsalt;59;0.4317
ei suutma;59;0.4317
sina vaatama;58;0.4244
ja no;58;0.4244
ja tegelikult;57;0.4171
aga no;57;0.4171
ei jõudma;57;0.4171
sina mõtlema;57;0.4171
väga suur;56;0.4098
olema kaks;56;0.4098
ja asi;55;0.4024
tema tahtma;55;0.4024
mina tunduma;54;0.3951
see küsimus;54;0.3951
et vaatama;54;0.3951
tema lihtsalt;54;0.3951
iga päev;53;0.3878
olema kindlasti;53;0.3878
kõige parem;53;0.3878
sina teadma;53;0.3878
mina tegelikult;53;0.3878
võima ütlema;53;0.3878
ei tohtima;52;0.3805
olema kuulma;52;0.3805
see film;51;0.3732
aga tegelikult;51;0.3732
esimene kord;50;0.3659
sina rääkima;49;0.3585
sama aeg;49;0.3585
mina tundma;49;0.3585
olema täna;48;0.3512
no ütlema;48;0.3512
et lihtsalt;48;0.3512
et äkki;48;0.3512
ei meeldima;47;0.3439
aga lihtsalt;47;0.3439
et kuulma;47;0.3439
olema huvitav;46;0.3366
üks lugu;46;0.3366
see vaatama;46;0.3366
mina kuulama;45;0.3293
ei uskuma;45;0.3293
mina küsima;45;0.3293
tahtma ütlema;44;0.3220
et eesti;44;0.3220
olema nõus;44;0.3220
olema õige;44;0.3220
puue inimene;44;0.3220
et ütlema;43;0.3146
mina lootma;43;0.3146
et okei;43;0.3146
olema jälle;43;0.3146
nii ütlema;42;0.3073
see koht;42;0.3073
ei viitsima;41;0.3000
see osa;41;0.3000
sina võtma;41;0.3000
nii suur;40;0.2927
et no;40;0.2927
see vana;40;0.2927
see muusika;40;0.2927
mina jääma;39;0.2854
olema okei;39;0.2854
tema rääkima;39;0.2854
et võtma;39;0.2854
olema suur;39;0.2854
noh ütlema;39;0.2854
päris hea;39;0.2854
see tähendama;39;0.2854
vana kool;39;0.2854
ju tegelikult;38;0.2780
eesti keel;38;0.2780
kõik asi;38;0.2780
olema tehtud;38;0.2780
uus aasta;38;0.2780
üks hetk;38;0.2780
siis tegelikult;38;0.2780
eesti laul;38;0.2780
see kaks;37;0.2707
see maailm;37;0.2707
siis nii-öelda;37;0.2707
aga ütlema;37;0.2707
sina panema;37;0.2707
sama asi;37;0.2707
nagu hästi;37;0.2707
mingi mõte;37;0.2707
olema inimene;37;0.2707
ja panema;36;0.2634
ei võtma;36;0.2634
kui inimene;36;0.2634
see eesti;36;0.2634
sina lihtsalt;36;0.2634
mina saade;35;0.2561
nagu inimene;35;0.2561
olema halb;35;0.2561
kaks aasta;35;0.2561
see esimene;35;0.2561
mis tähendama;35;0.2561
mina kuulma;35;0.2561
ja lihtsalt;34;0.2488
kõige suurem;34;0.2488
väga huvitav;34;0.2488
ei andma;33;0.2415
see tunduma;33;0.2415
viimane aeg;33;0.2415
see mäng;33;0.2415
iga kord;33;0.2415
olema mõtlema;33;0.2415
kes tahtma;32;0.2341
olema nii-öelda;32;0.2341
