ngram;count;freq_per_1000_n-gramms
ei teadma;445;4.0181
mina arvama;374;3.3770
see mõte;300;2.7088
mina tahtma;291;2.6275
mina ütlema;226;2.0406
olema tegelikult;226;2.0406
mina rääkima;211;1.9052
see inimene;207;1.8691
olema hästi;201;1.8149
olema vaja;177;1.5982
saama aru;174;1.5711
et tegelikult;172;1.5530
ei tahtma;172;1.5530
mina teadma;171;1.5440
see asi;161;1.4537
kogu aeg;157;1.4176
olema võimalik;157;1.4176
väga hea;148;1.3363
et inimene;145;1.3093
sina tahtma;136;1.2280
sina ütlema;130;1.1738
mina nägema;127;1.1467
mina vaatama;115;1.0384
mina mõtlema;105;0.9481
kui inimene;96;0.8668
selline asi;93;0.8397
olema täna;91;0.8217
olema hea;90;0.8126
see teema;90;0.8126
olema lihtsalt;87;0.7856
olema kindlasti;86;0.7765
ja tegelikult;85;0.7675
see aeg;84;0.7585
tema tahtma;80;0.7223
siis tegelikult;79;0.7133
see nii-öelda;76;0.6862
see aasta;76;0.6862
väga suur;75;0.6772
olema inimene;75;0.6772
mina tegelikult;72;0.6501
see tähendama;72;0.6501
väga hästi;71;0.6411
mina võtma;70;0.6321
mina uskuma;67;0.6050
mina tundma;67;0.6050
ei oskama;67;0.6050
üks asi;66;0.5959
iga päev;66;0.5959
vaimne tervis;66;0.5959
aga tegelikult;65;0.5869
ja vaatama;63;0.5688
väga oluline;61;0.5508
mina lihtsalt;59;0.5327
ei tohtima;59;0.5327
sina tundma;59;0.5327
olema ütlema;58;0.5237
see koht;57;0.5147
hea meel;56;0.5056
mina küsima;54;0.4876
oma elu;54;0.4876
mina meeldima;53;0.4786
palju inimene;52;0.4695
ja ütlema;52;0.4695
ei nägema;51;0.4605
olema nii-öelda;51;0.4605
see hetk;49;0.4424
väga raske;49;0.4424
olema oluline;49;0.4424
sina nägema;49;0.4424
mis asi;49;0.4424
siis nii-öelda;49;0.4424
olema valmis;48;0.4334
see tegelikult;48;0.4334
olema üldse;48;0.4334
see võimalus;46;0.4153
olema erinev;46;0.4153
tema ütlema;46;0.4153
see küsimus;46;0.4153
mina panema;46;0.4153
mina tunduma;45;0.4063
teine inimene;44;0.3973
ju tegelikult;44;0.3973
see õige;44;0.3973
võima ütlema;43;0.3883
see ütlema;43;0.3883
sina rääkima;43;0.3883
see esimene;43;0.3883
nii ütlema;43;0.3883
olema nägema;43;0.3883
siis ütlema;43;0.3883
üks hetk;42;0.3792
olema õige;42;0.3792
sina teadma;42;0.3792
eelmine aasta;42;0.3792
hästi oluline;41;0.3702
mina käima;41;0.3702
see otsus;41;0.3702
just nimelt;40;0.3612
et okei;40;0.3612
mina jõudma;40;0.3612
ei sobima;40;0.3612
olema täpselt;39;0.3521
ei võtma;39;0.3521
olema rääkima;39;0.3521
sama aeg;38;0.3431
sina võtma;38;0.3431
ka ütlema;38;0.3431
ei ütlema;37;0.3341
et kindlasti;37;0.3341
nii suur;37;0.3341
ja kindlasti;37;0.3341
et vaatama;37;0.3341
see töö;37;0.3341
mina mäletama;37;0.3341
mina alustama;37;0.3341
et eesti;36;0.3251
see noor;36;0.3251
sina arvama;36;0.3251
olema seotud;36;0.3251
kõige suurem;35;0.3160
mina arust;35;0.3160
noh ütlema;35;0.3160
väga tore;34;0.3070
ei jõudma;34;0.3070
nagu hästi;34;0.3070
olema näide;34;0.3070
mina sööma;34;0.3070
et kuulma;34;0.3070
sina küsima;33;0.2980
olema no;33;0.2980
ja rääkima;33;0.2980
olema näiteks;33;0.2980
mis inimene;33;0.2980
ja mõtlema;33;0.2980
see olukord;33;0.2980
see hind;33;0.2980
teine asi;32;0.2889
mina kindlasti;32;0.2889
et näiteks;32;0.2889
ei suutma;32;0.2889
ja tahtma;32;0.2889
et noor;32;0.2889
mina lootma;32;0.2889
väga erinev;32;0.2889
iga inimene;31;0.2799
ei rääkima;31;0.2799
ei meeldima;31;0.2799
kaks aasta;31;0.2799
see andma;31;0.2799
