ngram;count;freq_per_60_min
ei teadma;854;19.7792
mina arvama;656;15.1934
see mõte;531;12.2983
mina ütlema;346;8.0136
see asi;302;6.9945
saama aru;298;6.9019
mina tahtma;289;6.6934
mina arust;273;6.3229
kogu aeg;236;5.4659
mina rääkima;182;4.2152
olema lihtsalt;182;4.2152
mina teadma;181;4.1921
olema tegelikult;180;4.1689
mina mõtlema;177;4.0994
ei tahtma;160;3.7057
see lugu;159;3.6825
olema vaja;157;3.6362
väga hea;154;3.5667
olema hea;142;3.2888
see aasta;137;3.1730
mina vaatama;131;3.0340
see inimene;128;2.9646
ei oskama;122;2.8256
selline asi;122;2.8256
mina lihtsalt;111;2.5708
mina meeldima;107;2.4782
ei no;105;2.4319
olema hästi;103;2.3855
mina nägema;102;2.3624
et tegelikult;101;2.3392
sina tahtma;101;2.3392
sina ütlema;87;2.0150
eelmine aasta;86;1.9918
see teema;83;1.9223
tema ütlema;83;1.9223
et inimene;83;1.9223
väga hästi;79;1.8297
ja ütlema;79;1.8297
mina panema;78;1.8065
mina võtma;78;1.8065
mina mäletama;77;1.7834
olema võimalik;77;1.7834
olema vaatama;77;1.7834
olema üldse;76;1.7602
üks asi;76;1.7602
see aeg;75;1.7371
ei mäletama;75;1.7371
niisugune asi;75;1.7371
sina arvama;74;1.7139
ja vaatama;73;1.6907
olema ütlema;73;1.6907
olema nägema;72;1.6676
olema eesti;71;1.6444
mingi hetk;71;1.6444
mis asi;71;1.6444
ei nägema;71;1.6444
mingi asi;68;1.5749
see nii-öelda;68;1.5749
olema no;66;1.5286
see hetk;66;1.5286
mina uskuma;66;1.5286
nagu ütlema;65;1.5054
teine asi;65;1.5054
mõni mõte;64;1.4823
olema täpselt;63;1.4591
see saade;62;1.4360
mina käima;61;1.4128
sina nägema;61;1.4128
see ütlema;61;1.4128
iga juht;61;1.4128
olema natuke;60;1.3896
ei ütlema;60;1.3896
see lihtsalt;59;1.3665
ei suutma;59;1.3665
sina vaatama;58;1.3433
ja no;58;1.3433
ja tegelikult;57;1.3202
aga no;57;1.3202
ei jõudma;57;1.3202
sina mõtlema;57;1.3202
väga suur;56;1.2970
olema kaks;56;1.2970
ja asi;55;1.2738
tema tahtma;55;1.2738
mina tunduma;54;1.2507
