ngram;count;freq_per_100_n-gramms
ei tea;793;0.5780
ma arvan;597;0.4351
selles mõttes;467;0.3404
minu arust;272;0.1983
kogu aeg;234;0.1706
ma ütlen;145;0.1057
see ongi;127;0.0926
väga hea;122;0.0889
ma tean;122;0.0889
saan aru;118;0.0860
on lihtsalt;118;0.0860
on tegelikult;115;0.0838
ei no;105;0.0765
et tegelikult;101;0.0736
on vaja;99;0.0722
ma lihtsalt;89;0.0649
ei oska;88;0.0641
see asi;83;0.0605
ma mõtlen;81;0.0590
on hea;79;0.0576
väga hästi;79;0.0576
ma tahan;79;0.0576
on hästi;77;0.0561
ma tahtsin;73;0.0532
ma ütlesin;71;0.0517
sa tahad;71;0.0517
ei mäleta;66;0.0481
me räägime;66;0.0481
ma mäletan;65;0.0474
mõnes mõttes;63;0.0459
ma mõtlesin;62;0.0452
ma vaatasin;59;0.0430
ma räägin;59;0.0430
see aasta;59;0.0430
ja no;58;0.0423
ja tegelikult;57;0.0415
aga no;57;0.0415
mulle meeldib;57;0.0415
saad aru;57;0.0415
üks asi;57;0.0415
ei olegi;56;0.0408
see lugu;56;0.0408
ma tahaks;55;0.0401
ei näe;53;0.0386
ma usun;52;0.0379
iga päev;51;0.0372
aga tegelikult;51;0.0372
teine asi;51;0.0372
on võimalik;51;0.0372
samal ajal;49;0.0357
neid asju;49;0.0357
mingi hetk;49;0.0357
ma ütleks;49;0.0357
et lihtsalt;48;0.0350
et äkki;48;0.0350
aga lihtsalt;47;0.0343
et inimesed;45;0.0328
sa mõtled;45;0.0328
saa aru;45;0.0328
on täpselt;44;0.0321
ja ütleme;44;0.0321
on natuke;43;0.0313
sa ütlesid;43;0.0313
see lihtsalt;43;0.0313
et okei;43;0.0313
selle asja;43;0.0313
ei suuda;43;0.0313
ei usu;42;0.0306
mis asi;41;0.0299
no ütleme;41;0.0299
et kuule;41;0.0299
sa vaatad;40;0.0292
et no;40;0.0292
ei meeldi;40;0.0292
väga suur;39;0.0284
see inimene;39;0.0284
nii öelda;39;0.0284
mulle tundub;39;0.0284
need asjad;39;0.0284
esimest korda;38;0.0277
ju tegelikult;38;0.0277
ei jõua;38;0.0277
noh ütleme;38;0.0277
ei tohi;38;0.0277
seda asja;38;0.0277
sa arvad;38;0.0277
siis tegelikult;38;0.0277
on kindlasti;37;0.0270
siis nii-öelda;37;0.0270
sa näed;37;0.0270
kõige parem;37;0.0270
ma loodan;37;0.0270
nagu hästi;37;0.0270
ma käisin;36;0.0262
eelmine aasta;36;0.0262
need inimesed;36;0.0262
puuetega inimeste;36;0.0262
ma nägin;35;0.0255
ole üldse;35;0.0255
ei ütle;35;0.0255
selline asi;35;0.0255
ja lihtsalt;34;0.0248
ma vaatan;34;0.0248
ta ütles;34;0.0248
on täna;33;0.0241
ma näen;33;0.0241
päris hea;33;0.0241
ei saagi;33;0.0241
iga kord;33;0.0241
see tähendab;33;0.0241
et vaata;33;0.0241
selle aasta;32;0.0233
mis tähendab;32;0.0233
sa lihtsalt;32;0.0233
seda lugu;32;0.0233
vana kooli;32;0.0233
ka tegelikult;31;0.0226
see nii-öelda;31;0.0226
me võtame;31;0.0226
on okei;30;0.0219
ei teagi;30;0.0219
ma tunnen;30;0.0219
aga ütleme;30;0.0219
et ütleme;30;0.0219
ei viitsi;30;0.0219
ühel hetkel;30;0.0219
selles osas;30;0.0219
nagu lihtsalt;30;0.0219
me tahame;30;0.0219
on kaks;29;0.0211
või no;29;0.0211
on no;29;0.0211
väga huvitav;29;0.0211
viimasel ajal;29;0.0211
sa võtad;29;0.0211
kõik asjad;29;0.0211
on vaata;29;0.0211
et eesti;28;0.0204
on eesti;28;0.0204
et näiteks;28;0.0204
sellist asja;28;0.0204
sa paned;28;0.0204
on jälle;28;0.0204
nagu tegelikult;28;0.0204
on huvitav;28;0.0204
väga kõva;28;0.0204
sa tead;27;0.0197
kõige suurem;27;0.0197
ma küsin;27;0.0197
kaks aastat;27;0.0197
niisugune asi;27;0.0197
ja täpselt;27;0.0197
just nimelt;27;0.0197
ma kujutan;26;0.0190
eelmise aasta;26;0.0190
ma tegelikult;26;0.0190
võib öelda;26;0.0190
mingis mõttes;26;0.0190
ma panen;26;0.0190
selle loo;25;0.0182
nii kaua;25;0.0182
olen nõus;25;0.0182
nad tahavad;25;0.0182
ausalt öeldes;24;0.0175
ja asju;24;0.0175
väga lihtne;24;0.0175
mingeid asju;24;0.0175
see kõlab;24;0.0175
eesti puuetega;24;0.0175
et täna;24;0.0175
sellel ajal;24;0.0175
nii suur;23;0.0168
täpselt samamoodi;23;0.0168
et inimene;23;0.0168
see oligi;23;0.0168
siis ongi;23;0.0168
väga head;23;0.0168
nagu hea;23;0.0168
sel aastal;23;0.0168
ei kujuta;23;0.0168
nagu nii-öelda;23;0.0168
ei teadnud;22;0.0160
mis toimub;22;0.0160
hea meel;22;0.0160
ja lõpuks;22;0.0160
on tunne;22;0.0160
on õige;22;0.0160
noh tegelikult;22;0.0160
nad lihtsalt;22;0.0160
nagu no;22;0.0160
ta lihtsalt;22;0.0160
on üldse;22;0.0160
sain aru;22;0.0160
ma võtan;22;0.0160
et kurat;22;0.0160
mulle meeldis;21;0.0153
olen näinud;21;0.0153
ja hästi;21;0.0153
see tundub;21;0.0153
palju asju;21;0.0153
nagu ütleme;21;0.0153
sa ütled;21;0.0153
see küsimus;21;0.0153
ott tänak;21;0.0153
ei pruugi;21;0.0153
kui näiteks;21;0.0153
see mõte;21;0.0153
mina arvan;21;0.0153
jah täpselt;21;0.0153
koht number;21;0.0153
ja täna;20;0.0146
nii hästi;20;0.0146
väga paljud;20;0.0146
iga aasta;20;0.0146
me vaatame;20;0.0146
ja ongi;20;0.0146
ei võta;20;0.0146
eesti laulu;20;0.0146
niisugust asja;20;0.0146
see teema;20;0.0146
loo nimi;20;0.0146
ei anna;19;0.0138
et ongi;19;0.0138
sa tegelikult;19;0.0138
olgem ausad;19;0.0138
me teame;19;0.0138
ja kindlasti;19;0.0138
oli lihtsalt;19;0.0138
me rääkisime;19;0.0138
see käib;19;0.0138
mingil määral;19;0.0138
sellised asjad;19;0.0138
ei tähenda;19;0.0138
igaks juhuks;19;0.0138
kaks tundi;19;0.0138
ei pane;18;0.0131
see tegelikult;18;0.0131
mina ütlen;18;0.0131
hästi huvitav;18;0.0131
tol hetkel;18;0.0131
ma kuulasin;18;0.0131
jah no;18;0.0131
ei nuta;18;0.0131
on suur;18;0.0131
ei huvita;18;0.0131
ta tegelikult;18;0.0131
ei räägi;18;0.0131
ma ütleksin;18;0.0131
ma rääkisin;18;0.0131
siis lihtsalt;18;0.0131
tükk aega;18;0.0131
midagi öelda;18;0.0131
on näiteks;18;0.0131
sa räägid;18;0.0131
mitte ühtegi;18;0.0131
sellest aru;18;0.0131
me tegelikult;18;0.0131
tahtsin öelda;18;0.0131
ja põhimõtteliselt;18;0.0131
ei käinud;17;0.0124
ei tahaks;17;0.0124
tol ajal;17;0.0124
on jäänud;17;0.0124
nüüd ongi;17;0.0124
sel hetkel;17;0.0124
on halb;17;0.0124
ma kuulan;17;0.0124
seda öelda;17;0.0124
on täitsa;17;0.0124
sama asi;17;0.0124
nii ongi;17;0.0124
eelmisel aastal;17;0.0124
oska öelda;17;0.0124
oli vaja;17;0.0124
nagu natuke;17;0.0124
ka näiteks;17;0.0124
niisugused asjad;17;0.0124
ühe loo;17;0.0124
seda muusikat;17;0.0124
üks lugu;17;0.0124
sa suudad;17;0.0124
ja vaata;17;0.0124
see vana;17;0.0124
välja tuua;17;0.0124
eesti keeles;17;0.0124
olen kuulnud;17;0.0124
mis asja;17;0.0124
ma panin;17;0.0124
see esimene;17;0.0124
see koht;17;0.0124
nagu okei;17;0.0124
väga meeldis;16;0.0117
on näha;16;0.0117
oli tegelikult;16;0.0117
nagu inimesed;16;0.0117
nagu päriselt;16;0.0117
saa öelda;16;0.0117
ei oskagi;16;0.0117
selliseid asju;16;0.0117
on nii-öelda;16;0.0117
väga raske;16;0.0117
et eestis;16;0.0117
see probleem;16;0.0117
ei vaata;16;0.0117
ta ütleb;16;0.0117
see ütleme;16;0.0117
aga vaata;16;0.0117
ei tahtnud;16;0.0117
ka natuke;16;0.0117
läbi aegade;16;0.0117
ma kardan;16;0.0117
nagu öeldakse;16;0.0117
ja loomulikult;16;0.0117
ole vaja;16;0.0117
neid lugusid;16;0.0117
mingi asi;16;0.0117
ei mõtle;16;0.0117
see film;16;0.0117
mitu korda;16;0.0117
ma kuulsin;16;0.0117
ei eksi;16;0.0117
päris suur;16;0.0117
inglise keeles;16;0.0117
see saade;16;0.0117
see vaata;16;0.0117
väga ilus;16;0.0117
minu arvates;16;0.0117
ja asjad;15;0.0109
selle aja;15;0.0109
kui inimene;15;0.0109
nagu üldse;15;0.0109
okei no;15;0.0109
siis eesti;15;0.0109
selle koha;15;0.0109
ole kindel;15;0.0109
oma olemuselt;15;0.0109
väga tore;15;0.0109
üks küsimus;15;0.0109
me näeme;15;0.0109
see muusika;15;0.0109
mingil hetkel;15;0.0109
ei soovi;15;0.0109
ei julge;15;0.0109
issand jumal;15;0.0109
siin ongi;15;0.0109
mingi aeg;15;0.0109
selline tunne;15;0.0109
nagu vaata;15;0.0109
esimene asi;15;0.0109
on ilmselt;14;0.0102
ei osanud;14;0.0102
me jõuame;14;0.0102
mis juhtus;14;0.0102
ja eesti;14;0.0102
kaks null;14;0.0102
kuu aega;14;0.0102
on ütleme;14;0.0102
mitu aastat;14;0.0102
kas eesti;14;0.0102
on muutunud;14;0.0102
ma võtsin;14;0.0102
ka hästi;14;0.0102
ole tegelikult;14;0.0102
omal ajal;14;0.0102
et hea;14;0.0102
sa üldse;14;0.0102
sa tunned;14;0.0102
on raske;14;0.0102
oleks hea;14;0.0102
on väike;14;0.0102
kolm aastat;14;0.0102
ei tunne;14;0.0102
väga äge;13;0.0095
sa rääkisid;13;0.0095
suur osa;13;0.0095
see annab;13;0.0095
ühe korra;13;0.0095
hea näide;13;0.0095
siis no;13;0.0095
üks suur;13;0.0095
