ngram;count;freq_per_100_n-gramms
ei tea;415;0.3680
ma arvan;337;0.2988
selles mõttes;274;0.2430
et tegelikult;173;0.1534
kogu aeg;159;0.1410
on tegelikult;158;0.1401
on hästi;144;0.1277
ma tahan;136;0.1206
on vaja;128;0.1135
me räägime;117;0.1038
on võimalik;113;0.1002
väga hea;112;0.0993
ma tean;98;0.0869
see ongi;88;0.0780
ja tegelikult;86;0.0763
saan aru;81;0.0718
siis tegelikult;80;0.0709
sa tahad;77;0.0683
ma ütlen;72;0.0638
väga hästi;71;0.0630
see tähendab;67;0.0594
need inimesed;65;0.0576
aga tegelikult;65;0.0576
ma usun;63;0.0559
on kindlasti;62;0.0550
on täna;61;0.0541
iga päev;61;0.0541
sa ütlesid;61;0.0541
et inimesed;60;0.0532
kui inimene;58;0.0514
ei oska;54;0.0479
me vaatame;54;0.0479
et näiteks;52;0.0461
ei olegi;51;0.0452
ma mõtlen;50;0.0443
ma ütleks;49;0.0435
ma näen;49;0.0435
sa tunned;49;0.0435
siis nii-öelda;49;0.0435
et inimene;48;0.0426
on hea;47;0.0417
ei tohi;47;0.0417
üks asi;46;0.0408
väga suur;46;0.0408
on lihtsalt;46;0.0408
väga oluline;46;0.0408
väga raske;45;0.0399
on näiteks;45;0.0399
ma ütlesin;45;0.0399
väga paljud;44;0.0390
ju tegelikult;44;0.0390
ei näe;43;0.0381
nii öelda;42;0.0372
just nimelt;40;0.0355
et okei;40;0.0355
ühel hetkel;40;0.0355
need asjad;39;0.0346
mulle meeldib;38;0.0337
ma vaatan;38;0.0337
samal ajal;38;0.0337
ja kindlasti;38;0.0337
ma lihtsalt;38;0.0337
see inimene;38;0.0337
et kindlasti;37;0.0328
ma räägin;37;0.0328
me näeme;37;0.0328
ma tahaks;37;0.0328
vaimse tervise;36;0.0319
hästi oluline;36;0.0319
mis asi;36;0.0319
hea meel;35;0.0310
me tahame;35;0.0310
minu arust;35;0.0310
mulle tundub;35;0.0310
see tegelikult;34;0.0302
ma tunnen;34;0.0302
nagu hästi;34;0.0302
ei sobi;34;0.0302
me teame;33;0.0293
on nii-öelda;33;0.0293
ta tahab;33;0.0293
neid asju;32;0.0284
sa tead;32;0.0284
ma mäletan;32;0.0284
ma loodan;32;0.0284
ma küsin;31;0.0275
sa näed;31;0.0275
neid inimesi;31;0.0275
et äkki;31;0.0275
väga tore;30;0.0266
ja no;30;0.0266
noh ütleme;30;0.0266
et lihtsalt;29;0.0257
täpselt samamoodi;29;0.0257
mõnes mõttes;29;0.0257
me rääkisime;28;0.0248
ei pruugi;28;0.0248
see asi;28;0.0248
me tegelikult;27;0.0239
see esimene;27;0.0239
head sõbrad;27;0.0239
see nii-öelda;27;0.0239
teine asi;26;0.0231
ei meeldi;26;0.0231
on täpselt;26;0.0231
nii suur;26;0.0231
ei suuda;26;0.0231
ei julge;26;0.0231
ei jõua;26;0.0231
ma tegelikult;26;0.0231
et kuule;26;0.0231
kõige suurem;25;0.0222
ei võta;25;0.0222
on oluline;25;0.0222
palju erinevaid;25;0.0222
ka tegelikult;25;0.0222
sellel aastal;25;0.0222
ei ütle;25;0.0222
ei räägi;24;0.0213
kaks aastat;24;0.0213
ma võtan;24;0.0213
oma elu;24;0.0213
mis tähendab;24;0.0213
on seotud;24;0.0213
on erinevad;24;0.0213
see õige;24;0.0213
sellised asjad;23;0.0204
aga lihtsalt;23;0.0204
kõige olulisem;23;0.0204
ei mäleta;23;0.0204
nad tahavad;23;0.0204
ma mõtlesin;23;0.0204
see lihtsalt;23;0.0204
siis täna;23;0.0204
siis ongi;23;0.0204
sa lihtsalt;23;0.0204
ei saagi;22;0.0195
ja loomulikult;22;0.0195
on natuke;22;0.0195
ma tundsin;22;0.0195
või ütleme;22;0.0195
noh näiteks;22;0.0195
see aasta;22;0.0195
hea meelega;22;0.0195
et eesti;22;0.0195
kui inimesed;22;0.0195
et no;22;0.0195
tänasel päeval;22;0.0195
selline asi;22;0.0195
ole vaja;22;0.0195
noh tegelikult;22;0.0195
arko vara;22;0.0195
aga kindlasti;21;0.0186
esimest korda;21;0.0186
paljud inimesed;21;0.0186
sest tegelikult;21;0.0186
on õige;21;0.0186
et hästi;21;0.0186
mis puudutab;21;0.0186
no ütleme;21;0.0186
siis kindlasti;21;0.0186
kõige parem;21;0.0186
ei pane;21;0.0186
sa tahaksid;21;0.0186
väga head;21;0.0186
selle aja;20;0.0177
tartu noorsootöö;20;0.0177
mis toimub;20;0.0177
kui näiteks;20;0.0177
üle eesti;20;0.0177
väga tihti;20;0.0177
sain aru;20;0.0177
siis näiteks;20;0.0177
sa mainisid;20;0.0177
väga lihtne;20;0.0177
on samamoodi;20;0.0177
nagu nii-öelda;20;0.0177
ja üldse;20;0.0177
ma tahtsin;19;0.0168
sa võtad;19;0.0168
ma kindlasti;19;0.0168
ka hästi;19;0.0168
hästi suur;19;0.0168
mitu korda;19;0.0168
ei mõtle;19;0.0168
see annab;19;0.0168
või tegelikult;19;0.0168
siis ütleme;19;0.0168
ja samamoodi;19;0.0168
ka näiteks;19;0.0168
see koht;19;0.0168
veel kord;19;0.0168
ei tähenda;19;0.0168
ma käisin;19;0.0168
oleme rääkinud;19;0.0168
sa vaatad;19;0.0168
sellel hetkel;19;0.0168
sa paned;19;0.0168
ka nii-öelda;19;0.0168
nii tore;18;0.0160
oma elus;18;0.0160
viis aastat;18;0.0160
et ühesõnaga;18;0.0160
me mõtleme;18;0.0160
ei jää;18;0.0160
ole tegelikult;18;0.0160
väga põnev;18;0.0160
selliseid asju;18;0.0160
ta ütles;18;0.0160
väga suure;18;0.0160
seda tööd;18;0.0160
sa ütled;18;0.0160
ma üldse;18;0.0160
on väga-väga;18;0.0160
ole võimalik;18;0.0160
saa öelda;18;0.0160
me võtame;18;0.0160
nagu tegelikult;18;0.0160
mingil hetkel;18;0.0160
mis tegelikult;17;0.0151
üks inimene;17;0.0151
iga inimene;17;0.0151
te tahate;17;0.0151
on no;17;0.0151
aga ütleme;17;0.0151
on üldse;17;0.0151
väga huvitav;17;0.0151
viimasel ajal;17;0.0151
kui vaadata;17;0.0151
selles osas;17;0.0151
selle koha;17;0.0151
nii hästi;17;0.0151
ma panen;17;0.0151
oli hästi;17;0.0151
on jälle;17;0.0151
ma söön;17;0.0151
et ütleme;17;0.0151
midagi viga;17;0.0151
see aeg;16;0.0142
ei teadnud;16;0.0142
palju inimesi;16;0.0142
ta tunneb;16;0.0142
ole üldse;16;0.0142
saa aru;16;0.0142
ei tahtnud;16;0.0142
on suur;16;0.0142
ma tahaksin;16;0.0142
ei tunne;16;0.0142
ja inimesed;16;0.0142
see hind;16;0.0142
ma kujutan;16;0.0142
on inimesed;16;0.0142
seda asja;16;0.0142
seda nii-öelda;16;0.0142
on natukene;16;0.0142
on õigus;16;0.0142
et täna;16;0.0142
ja nii-öelda;16;0.0142
kõik asjad;16;0.0142
ei käi;16;0.0142
sellist asja;16;0.0142
on võimalus;16;0.0142
sa tegelikult;16;0.0142
väga keeruline;16;0.0142
on öelnud;16;0.0142
sa küsid;16;0.0142
ka kindlasti;16;0.0142
eelmine aasta;16;0.0142
aktiivne noor;16;0.0142
esimene asi;15;0.0133
ja lihtsalt;15;0.0133
on jäänud;15;0.0133
võib öelda;15;0.0133
kaks korda;15;0.0133
see teema;15;0.0133
et ongi;15;0.0133
ära võtta;15;0.0133
mina arvan;15;0.0133
ei söö;15;0.0133
on selge;15;0.0133
kõik inimesed;15;0.0133
ka öelda;15;0.0133
sa arvad;15;0.0133
räägime täna;15;0.0133
ja hästi;15;0.0133
on tore;15;0.0133
ole mõtet;15;0.0133
ma nägin;14;0.0124
ja täpselt;14;0.0124
vaba aega;14;0.0124
et tahaks;14;0.0124
nii põnev;14;0.0124
siis lihtsalt;14;0.0124
et eestis;14;0.0124
on toimunud;14;0.0124
ausalt öeldes;14;0.0124
noh nii-öelda;14;0.0124
selle asja;14;0.0124
mina tahan;14;0.0124
see vahe;14;0.0124
on näha;14;0.0124
siis loomulikult;14;0.0124
ma soovitan;14;0.0124
nagu lihtsalt;14;0.0124
mida inimesed;14;0.0124
hästi hea;14;0.0124
saad aru;14;0.0124
ka natukene;14;0.0124
tere head;14;0.0124
selle nimel;14;0.0124
ta tegelikult;14;0.0124
ja ütleme;14;0.0124
et nii-öelda;14;0.0124
on valmis;14;0.0124
mis mõttes;14;0.0124
on ütleme;14;0.0124
sa mõtled;14;0.0124
nii äge;13;0.0115
on kaks;13;0.0115
et paljud;13;0.0115
ei juhtu;13;0.0115
kolm aastat;13;0.0115
aga räägime;13;0.0115
on muutunud;13;0.0115
ei leia;13;0.0115
20 aastat;13;0.0115
selle otsuse;13;0.0115
eelmise aasta;13;0.0115
et noored;13;0.0115
on jällegi;13;0.0115
väga meeldib;13;0.0115
oma tööd;13;0.0115
see raha;13;0.0115
seda teemat;13;0.0115
nagu väga-väga;13;0.0115
see võtab;13;0.0115
väga selgelt;13;0.0115
sellel ajal;13;0.0115
aga loomulikult;13;0.0115
ja ongi;13;0.0115
ma toon;13;0.0115
mingil määral;13;0.0115
aga no;13;0.0115
on raske;13;0.0115
või üldse;13;0.0115
pannud tähele;13;0.0115
üks hästi;13;0.0115
ei tegele;13;0.0115
ei anna;13;0.0115
nii hea;13;0.0115
kokku puutunud;13;0.0115
üks osa;13;0.0115
et maakler;13;0.0115
suur osa;13;0.0115
et inimestel;13;0.0115
selle nii-öelda;13;0.0115
neli kuud;13;0.0115
mina ütlen;12;0.0106
kõige lihtsam;12;0.0106
välja tuua;12;0.0106
väga äge;12;0.0106
tere õhtust;12;0.0106
nii lihtne;12;0.0106
ei tahaks;12;0.0106
ta lihtsalt;12;0.0106
me jõuame;12;0.0106
ma võtsin;12;0.0106
10 aasta;12;0.0106
me elame;12;0.0106
või lihtsalt;12;0.0106
aga räägi;12;0.0106
väga kiiresti;12;0.0106
ja täna;12;0.0106
eelmisel aastal;12;0.0106
see kindlasti;12;0.0106
ei usu;12;0.0106
kaks nädalat;12;0.0106
ma vaatasin;12;0.0106
see töö;12;0.0106
riina solman;12;0.0106
teie hinnangul;12;0.0106
suur rõõm;12;0.0106
mõne sõnaga;12;0.0106
jüri ratas;12;0.0106
selline hästi;12;0.0106
me tegeleme;12;0.0106
kes tegelikult;12;0.0106
sulle meeldib;12;0.0106
kes täna;12;0.0106
noorsootöö keskuse;12;0.0106
ta ütleb;12;0.0106
siis tekib;12;0.0106
on esimene;12;0.0106
kersti kaljulaid;12;0.0106
väga erinevad;12;0.0106
üks küsimus;12;0.0106
mõni inimene;12;0.0106
võib tekkida;12;0.0106
mida maakler;12;0.0106
väga paljudel;12;0.0106
teise inimese;12;0.0106
on täis;12;0.0106
viljandi linnas;12;0.0106
see sõltub;12;0.0106
olen õppinud;11;0.0098
et natuke;11;0.0098
see üldse;11;0.0098
need teemad;11;0.0098
edasi liikuda;11;0.0098
olen hästi;11;0.0098
kui kaua;11;0.0098
15 aastat;11;0.0098
saavad aru;11;0.0098
ei muutu;11;0.0098
välja näeb;11;0.0098
nii kiiresti;11;0.0098
pean silmas;11;0.0098
ole õige;11;0.0098
ei no;11;0.0098
on täitsa;11;0.0098
hästi huvitav;11;0.0098
neid erinevaid;11;0.0098
kes tahab;11;0.0098
ka natuke;11;0.0098
kõige paremini;11;0.0098
need võimalused;11;0.0098
on inimesi;11;0.0098
palju küsimusi;11;0.0098
ja tahavad;11;0.0098
tegelikult ongi;11;0.0098
euroopa liidu;11;0.0098
palju lihtsam;11;0.0098
väga ilus;11;0.0098
sellest aru;11;0.0098
ei tohiks;11;0.0098
ja ütleb;11;0.0098
rohkem infot;11;0.0098
ja vaadata;11;0.0098
väga sageli;11;0.0098
nii raske;11;0.0098
või no;11;0.0098
et esiteks;11;0.0098
viimane küsimus;11;0.0098
mina näiteks;11;0.0098
aga näiteks;11;0.0098
läheb hästi;11;0.0098
see olukord;11;0.0098
siis üldse;11;0.0098
ei viitsi;11;0.0098
ma ütleksin;11;0.0098
kui inimesel;11;0.0098
on eesti;11;0.0098
me suudame;11;0.0098
ei maksa;11;0.0098
väga erinev;11;0.0098
mina tean;11;0.0098
oma aega;11;0.0098
peab teadma;11;0.0098
hästi tore;11;0.0098
see energia;11;0.0098
see tundub;11;0.0098
ma leian;11;0.0098
sellele küsimusele;11;0.0098
eluks valmis;11;0.0098
mikk pärnits;11;0.0098
tulemast kuulama;10;0.0089
saatejuht grete;10;0.0089
kõige tähtsam;10;0.0089
ja asjad;10;0.0089
kõik noored;10;0.0089
palju asju;10;0.0089
õige aeg;10;0.0089
ma püüan;10;0.0089
hästi lihtne;10;0.0089
on tavaliselt;10;0.0089
siin maailmas;10;0.0089
me anname;10;0.0089
pikka aega;10;0.0089
inimesed tahavad;10;0.0089
võib juhtuda;10;0.0089
on suhteliselt;10;0.0089
võib-olla natuke;10;0.0089
see protsess;10;0.0089
päris hästi;10;0.0089
seda tunnet;10;0.0089
ette kujutada;10;0.0089
see süsteem;10;0.0089
kui suur;10;0.0089
kaks asja;10;0.0089
vaatasite vaadake;10;0.0089
vaadake teinekord;10;0.0089
ikka jälle;10;0.0089
me alustasime;10;0.0089
mina tahaks;10;0.0089
nagu üldse;10;0.0089
võiks öelda;10;0.0089
selles asjas;10;0.0089
ja näiteks;10;0.0089
olgem ausad;10;0.0089
nagu ütleme;10;0.0089
üks põhjus;10;0.0089
seda infot;10;0.0089
ja vaata;10;0.0089
sellepärast ongi;10;0.0089
sa oskad;10;0.0089
et tead;10;0.0089
väga lahe;10;0.0089
tuleb lihtsalt;10;0.0089
on suurepärane;10;0.0089
olen valmis;10;0.0089
väga õige;10;0.0089
tegelikult hästi;10;0.0089
me paneme;10;0.0089
nad lihtsalt;10;0.0089
nii kaua;10;0.0089
aga üldiselt;10;0.0089
10 aastat;10;0.0089
neid võimalusi;10;0.0089
mis ongi;10;0.0089
selle aasta;10;0.0089
tol hetkel;10;0.0089
on aktiivne;10;0.0089
kolm korda;10;0.0089
selline tunne;10;0.0089
ma alustasin;10;0.0089
hästi kiiresti;10;0.0089
või näiteks;10;0.0089
sellisel kujul;10;0.0089
traditsiooniline perekond;10;0.0089
olen saatejuht;9;0.0080
mina näen;9;0.0080
on okei;9;0.0080
et esimene;9;0.0080
ta annab;9;0.0080
et issand;9;0.0080
see põhjus;9;0.0080
et lapsed;9;0.0080
oleks vaja;9;0.0080
ole piisavalt;9;0.0080
ta jääb;9;0.0080
mitu aastat;9;0.0080
see mõte;9;0.0080
inglise keeles;9;0.0080
on kindel;9;0.0080
ei lase;9;0.0080
sellest nii-öelda;9;0.0080
ma täna;9;0.0080
see otsus;9;0.0080
nagu päriselt;9;0.0080
kõik hästi;9;0.0080
arko akadeemia;9;0.0080
pärnu linna;9;0.0080
ja räägime;9;0.0080
ei eksi;9;0.0080
aasta aega;9;0.0080
on ilmselt;9;0.0080
nad tegelikult;9;0.0080
et natukene;9;0.0080
kaks tundi;9;0.0080
me pakume;9;0.0080
väga paljude;9;0.0080
sa jõuad;9;0.0080
tollel hetkel;9;0.0080
on tõepoolest;9;0.0080
oli vaja;9;0.0080
kuulmiseni nägemiseni;9;0.0080
