ngram;count;freq_per_60_min
ei tea;793;18.3664
ma arvan;597;13.8269
selles mõttes;467;10.8160
minu arust;272;6.2997
kogu aeg;234;5.4196
ma ütlen;145;3.3583
see ongi;127;2.9414
väga hea;122;2.8256
ma tean;122;2.8256
saan aru;118;2.7330
on lihtsalt;118;2.7330
on tegelikult;115;2.6635
ei no;105;2.4319
et tegelikult;101;2.3392
on vaja;99;2.2929
ma lihtsalt;89;2.0613
ei oska;88;2.0381
see asi;83;1.9223
ma mõtlen;81;1.8760
on hea;79;1.8297
väga hästi;79;1.8297
ma tahan;79;1.8297
on hästi;77;1.7834
ma tahtsin;73;1.6907
ma ütlesin;71;1.6444
sa tahad;71;1.6444
ei mäleta;66;1.5286
me räägime;66;1.5286
ma mäletan;65;1.5054
mõnes mõttes;63;1.4591
ma mõtlesin;62;1.4360
ma vaatasin;59;1.3665
ma räägin;59;1.3665
see aasta;59;1.3665
ja no;58;1.3433
ja tegelikult;57;1.3202
aga no;57;1.3202
mulle meeldib;57;1.3202
saad aru;57;1.3202
üks asi;57;1.3202
ei olegi;56;1.2970
see lugu;56;1.2970
ma tahaks;55;1.2738
ei näe;53;1.2275
ma usun;52;1.2044
iga päev;51;1.1812
aga tegelikult;51;1.1812
teine asi;51;1.1812
on võimalik;51;1.1812
samal ajal;49;1.1349
neid asju;49;1.1349
mingi hetk;49;1.1349
ma ütleks;49;1.1349
et lihtsalt;48;1.1117
et äkki;48;1.1117
aga lihtsalt;47;1.0886
et inimesed;45;1.0422
sa mõtled;45;1.0422
saa aru;45;1.0422
on täpselt;44;1.0191
ja ütleme;44;1.0191
on natuke;43;0.9959
sa ütlesid;43;0.9959
see lihtsalt;43;0.9959
et okei;43;0.9959
selle asja;43;0.9959
ei suuda;43;0.9959
ei usu;42;0.9727
mis asi;41;0.9496
no ütleme;41;0.9496
et kuule;41;0.9496
sa vaatad;40;0.9264
et no;40;0.9264
ei meeldi;40;0.9264
väga suur;39;0.9033
see inimene;39;0.9033
nii öelda;39;0.9033
mulle tundub;39;0.9033
need asjad;39;0.9033
esimest korda;38;0.8801
ju tegelikult;38;0.8801
ei jõua;38;0.8801
noh ütleme;38;0.8801
ei tohi;38;0.8801
seda asja;38;0.8801
sa arvad;38;0.8801
siis tegelikult;38;0.8801
on kindlasti;37;0.8569
siis nii-öelda;37;0.8569
sa näed;37;0.8569
kõige parem;37;0.8569
ma loodan;37;0.8569
nagu hästi;37;0.8569
ma käisin;36;0.8338
eelmine aasta;36;0.8338
need inimesed;36;0.8338
puuetega inimeste;36;0.8338
ma nägin;35;0.8106
ole üldse;35;0.8106
ei ütle;35;0.8106
selline asi;35;0.8106
ja lihtsalt;34;0.7875
ma vaatan;34;0.7875
ta ütles;34;0.7875
on täna;33;0.7643
ma näen;33;0.7643
päris hea;33;0.7643
ei saagi;33;0.7643
iga kord;33;0.7643
see tähendab;33;0.7643
et vaata;33;0.7643
selle aasta;32;0.7411
mis tähendab;32;0.7411
sa lihtsalt;32;0.7411
seda lugu;32;0.7411
vana kooli;32;0.7411
ka tegelikult;31;0.7180
see nii-öelda;31;0.7180
me võtame;31;0.7180
on okei;30;0.6948
ei teagi;30;0.6948
ma tunnen;30;0.6948
aga ütleme;30;0.6948
et ütleme;30;0.6948
ei viitsi;30;0.6948
ühel hetkel;30;0.6948
selles osas;30;0.6948
nagu lihtsalt;30;0.6948
me tahame;30;0.6948
on kaks;29;0.6717
või no;29;0.6717
on no;29;0.6717
väga huvitav;29;0.6717
viimasel ajal;29;0.6717
sa võtad;29;0.6717
kõik asjad;29;0.6717
on vaata;29;0.6717
et eesti;28;0.6485
on eesti;28;0.6485
et näiteks;28;0.6485
sellist asja;28;0.6485
sa paned;28;0.6485
on jälle;28;0.6485
nagu tegelikult;28;0.6485
on huvitav;28;0.6485
väga kõva;28;0.6485
sa tead;27;0.6253
kõige suurem;27;0.6253
ma küsin;27;0.6253
kaks aastat;27;0.6253
niisugune asi;27;0.6253
ja täpselt;27;0.6253
just nimelt;27;0.6253
ma kujutan;26;0.6022
eelmise aasta;26;0.6022
ma tegelikult;26;0.6022
võib öelda;26;0.6022
mingis mõttes;26;0.6022
ma panen;26;0.6022
selle loo;25;0.5790
nii kaua;25;0.5790
olen nõus;25;0.5790
nad tahavad;25;0.5790
ausalt öeldes;24;0.5559
ja asju;24;0.5559
väga lihtne;24;0.5559
mingeid asju;24;0.5559
see kõlab;24;0.5559
eesti puuetega;24;0.5559
et täna;24;0.5559
sellel ajal;24;0.5559
nii suur;23;0.5327
täpselt samamoodi;23;0.5327
et inimene;23;0.5327
see oligi;23;0.5327
siis ongi;23;0.5327
väga head;23;0.5327
nagu hea;23;0.5327
sel aastal;23;0.5327
ei kujuta;23;0.5327
nagu nii-öelda;23;0.5327
ei teadnud;22;0.5095
mis toimub;22;0.5095
hea meel;22;0.5095
ja lõpuks;22;0.5095
on tunne;22;0.5095
on õige;22;0.5095
noh tegelikult;22;0.5095
nad lihtsalt;22;0.5095
nagu no;22;0.5095
ta lihtsalt;22;0.5095
on üldse;22;0.5095
sain aru;22;0.5095
ma võtan;22;0.5095
et kurat;22;0.5095
mulle meeldis;21;0.4864
olen näinud;21;0.4864
ja hästi;21;0.4864
see tundub;21;0.4864
palju asju;21;0.4864
nagu ütleme;21;0.4864
sa ütled;21;0.4864
see küsimus;21;0.4864
ott tänak;21;0.4864
ei pruugi;21;0.4864
kui näiteks;21;0.4864
see mõte;21;0.4864
mina arvan;21;0.4864
jah täpselt;21;0.4864
koht number;21;0.4864
ja täna;20;0.4632
nii hästi;20;0.4632
väga paljud;20;0.4632
iga aasta;20;0.4632
me vaatame;20;0.4632
ja ongi;20;0.4632
ei võta;20;0.4632
eesti laulu;20;0.4632
niisugust asja;20;0.4632
see teema;20;0.4632
loo nimi;20;0.4632
ei anna;19;0.4401
et ongi;19;0.4401
sa tegelikult;19;0.4401
olgem ausad;19;0.4401
me teame;19;0.4401
ja kindlasti;19;0.4401
oli lihtsalt;19;0.4401
me rääkisime;19;0.4401
see käib;19;0.4401
mingil määral;19;0.4401
sellised asjad;19;0.4401
ei tähenda;19;0.4401
igaks juhuks;19;0.4401
kaks tundi;19;0.4401
ei pane;18;0.4169
see tegelikult;18;0.4169
mina ütlen;18;0.4169
hästi huvitav;18;0.4169
tol hetkel;18;0.4169
ma kuulasin;18;0.4169
jah no;18;0.4169
ei nuta;18;0.4169
on suur;18;0.4169
ei huvita;18;0.4169
ta tegelikult;18;0.4169
ei räägi;18;0.4169
ma ütleksin;18;0.4169
ma rääkisin;18;0.4169
siis lihtsalt;18;0.4169
tükk aega;18;0.4169
midagi öelda;18;0.4169
on näiteks;18;0.4169
sa räägid;18;0.4169
mitte ühtegi;18;0.4169
sellest aru;18;0.4169
me tegelikult;18;0.4169
tahtsin öelda;18;0.4169
ja põhimõtteliselt;18;0.4169
ei käinud;17;0.3937
