ngram;count;freq_per_60_min
ei tea;415;12.3856
ma arvan;337;10.0577
selles mõttes;274;8.1775
et tegelikult;173;5.1632
kogu aeg;159;4.7453
on tegelikult;158;4.7155
on hästi;144;4.2977
ma tahan;136;4.0589
on vaja;128;3.8201
me räägime;117;3.4918
on võimalik;113;3.3725
väga hea;112;3.3426
ma tean;98;2.9248
see ongi;88;2.6263
ja tegelikult;86;2.5667
saan aru;81;2.4174
siis tegelikult;80;2.3876
sa tahad;77;2.2981
ma ütlen;72;2.1488
väga hästi;71;2.1190
see tähendab;67;1.9996
need inimesed;65;1.9399
aga tegelikult;65;1.9399
ma usun;63;1.8802
on kindlasti;62;1.8504
on täna;61;1.8205
iga päev;61;1.8205
sa ütlesid;61;1.8205
et inimesed;60;1.7907
kui inimene;58;1.7310
ei oska;54;1.6116
me vaatame;54;1.6116
et näiteks;52;1.5519
ei olegi;51;1.5221
ma mõtlen;50;1.4922
ma ütleks;49;1.4624
ma näen;49;1.4624
sa tunned;49;1.4624
siis nii-öelda;49;1.4624
et inimene;48;1.4326
on hea;47;1.4027
ei tohi;47;1.4027
üks asi;46;1.3729
väga suur;46;1.3729
on lihtsalt;46;1.3729
väga oluline;46;1.3729
väga raske;45;1.3430
on näiteks;45;1.3430
ma ütlesin;45;1.3430
väga paljud;44;1.3132
ju tegelikult;44;1.3132
ei näe;43;1.2833
nii öelda;42;1.2535
just nimelt;40;1.1938
et okei;40;1.1938
ühel hetkel;40;1.1938
need asjad;39;1.1639
mulle meeldib;38;1.1341
ma vaatan;38;1.1341
samal ajal;38;1.1341
ja kindlasti;38;1.1341
ma lihtsalt;38;1.1341
see inimene;38;1.1341
et kindlasti;37;1.1043
ma räägin;37;1.1043
me näeme;37;1.1043
ma tahaks;37;1.1043
vaimse tervise;36;1.0744
hästi oluline;36;1.0744
mis asi;36;1.0744
hea meel;35;1.0446
me tahame;35;1.0446
minu arust;35;1.0446
mulle tundub;35;1.0446
see tegelikult;34;1.0147
ma tunnen;34;1.0147
nagu hästi;34;1.0147
ei sobi;34;1.0147
me teame;33;0.9849
on nii-öelda;33;0.9849
ta tahab;33;0.9849
neid asju;32;0.9550
sa tead;32;0.9550
ma mäletan;32;0.9550
ma loodan;32;0.9550
ma küsin;31;0.9252
sa näed;31;0.9252
neid inimesi;31;0.9252
et äkki;31;0.9252
väga tore;30;0.8953
ja no;30;0.8953
noh ütleme;30;0.8953
et lihtsalt;29;0.8655
täpselt samamoodi;29;0.8655
mõnes mõttes;29;0.8655
me rääkisime;28;0.8357
ei pruugi;28;0.8357
see asi;28;0.8357
me tegelikult;27;0.8058
see esimene;27;0.8058
head sõbrad;27;0.8058
see nii-öelda;27;0.8058
teine asi;26;0.7760
ei meeldi;26;0.7760
on täpselt;26;0.7760
nii suur;26;0.7760
ei suuda;26;0.7760
ei julge;26;0.7760
ei jõua;26;0.7760
ma tegelikult;26;0.7760
et kuule;26;0.7760
kõige suurem;25;0.7461
