lemma;raw_count;freq_per_100_lemmas
inimene;1909;14.583
ütlema;1778;13.582
tegelikult;1553;11.863
tahtma;1153;8.808
asi;1068;8.158
teadma;1052;8.036
rääkima;1000;7.639
vaatama;866;6.615
hästi;832;6.356
aeg;819;6.256
võtma;756;5.775
aasta;701;5.355
nii-öelda;676;5.164
lihtsalt;656;5.011
nägema;653;4.988
hea;632;4.828
no;598;4.568
mõte;579;4.423
noor;564;4.308
kindlasti;555;4.240
panema;534;4.079
mõtlema;523;3.995
arvama;516;3.942
näide;494;3.774
üldse;494;3.774
suur;469;3.583
täna;463;3.537
käima;429;3.277
andma;415;3.170
küsima;411;3.140
elu;407;3.109
teema;398;3.040
erinev;387;2.956
töö;383;2.926
eesti;381;2.910
tundma;371;2.834
jääma;365;2.788
uus;359;2.742
küsimus;358;2.735
päev;353;2.697
leidma;326;2.490
näiteks;315;2.406
aru;312;2.383
maakler;311;2.376
kord;307;2.345
jõudma;298;2.276
kaks;295;2.253
kool;287;2.192
esimene;283;2.162
oluline;283;2.162
hetk;282;2.154
vaja;279;2.131
natukene;277;2.116
võimalik;274;2.093
laps;263;2.009
täpselt;261;1.994
võimalus;261;1.994
aitama;255;1.948
hind;250;1.910
natuke;244;1.864
kodu;242;1.849
tooma;238;1.818
koht;233;1.780
tähendama;233;1.780
okei;232;1.772
õppima;232;1.772
tegelema;229;1.749
jälle;223;1.703
sööma;221;1.688
meeldima;217;1.658
elama;217;1.658
alustama;214;1.635
klient;212;1.619
juht;202;1.543
tekkima;202;1.543
õige;200;1.528
korter;199;1.520
ostma;195;1.490
kuulma;193;1.474
osa;192;1.467
suurem;186;1.421
väike;183;1.398
mees;178;1.360
kogemus;172;1.314
tunduma;172;1.314
toimuma;171;1.306
naine;171;1.306
oskama;170;1.299
kinnisvara;169;1.291
valitsus;169;1.291
olukord;167;1.276
viimane;166;1.268
pakkuma;166;1.268
kolm;163;1.245
algus;163;1.245
maailm;160;1.222
kuu;160;1.222
raha;159;1.215
otsus;159;1.215
kuulama;156;1.192
sõna;156;1.192
riik;155;1.184
müüma;155;1.184
loomulikult;152;1.161
kirjutama;152;1.161
samamoodi;151;1.153
raske;151;1.153
tartu;151;1.153
käsi;151;1.153
tore;150;1.146
keha;150;1.146
meel;148;1.131
energia;147;1.123
töötama;146;1.115
viljandi;144;1.100
juhtuma;143;1.092
muutuma;142;1.085
otsima;142;1.085
toit;141;1.077
parem;140;1.069
nädal;140;1.069
kasutama;139;1.062
probleem;138;1.054
tegevus;136;1.039
uskuma;132;1.008
ootama;130;0.993
lugema;130;0.993
kaasa;129;0.985
selge;128;0.978
pilt;128;0.978
õpetaja;127;0.970
linn;126;0.962
liikuma;126;0.962
ettevõte;126;0.962
valmis;125;0.955
sobima;124;0.947
pea;124;0.947
hunt;124;0.947
tervis;122;0.932
maja;122;0.932
ostja;120;0.917
onju;119;0.909
vaimne;118;0.901
seotud;118;0.901
tunne;116;0.886
viis;114;0.871
näitama;114;0.871
toetama;113;0.863
lihtne;113;0.863
eesmärk;113;0.863
suutma;113;0.863
põnev;112;0.856
jällegi;110;0.840
valima;109;0.833
erakond;109;0.833
ilus;107;0.817
päriselt;106;0.810
hoidma;106;0.810
paar;106;0.810
vana;105;0.802
huvitav;105;0.802
lõpp;104;0.794
protsent;104;0.794
tavaliselt;101;0.772
silm;101;0.772
maa;101;0.772
lõpuks;101;0.772
pärnu;101;0.772
eriti;100;0.764
abi;100;0.764
lugu;99;0.756
tee;99;0.756
tänane;98;0.749
kasvama;98;0.749
sõber;98;0.749
looma;98;0.749
põhjus;98;0.749
mure;98;0.749
jätma;98;0.749
maha;97;0.741
ühesõnaga;96;0.733
turg;96;0.733
täis;95;0.726
soovima;94;0.718
püüdma;94;0.718
äge;93;0.710
pakkumine;93;0.710
vastama;93;0.710
muutma;93;0.710
tehtud;93;0.710
projekt;93;0.710
noortekeskus;93;0.710
info;92;0.703
hommik;92;0.703
mäletama;92;0.703
viima;92;0.703
äkki;91;0.695
soovitama;91;0.695
ilmselt;90;0.687
tund;90;0.687
objekt;90;0.687
keeruline;89;0.680
ema;89;0.680
paluma;89;0.680
valdkond;89;0.680
kaart;89;0.680
äri;89;0.680
hingama;89;0.680
saade;87;0.665
organisatsioon;87;0.665
suhe;84;0.642
vajama;84;0.642
tihti;84;0.642
aktiivne;84;0.642
kiri;84;0.642
piirang;83;0.634
10;83;0.634
samm;83;0.634
puudutama;82;0.626
vaba;82;0.626
kiiresti;82;0.626
maksma;82;0.626
kinni;81;0.619
vastus;79;0.603
kujutama;79;0.603
neli;79;0.603
protsess;78;0.596
ühendus;78;0.596
absoluutselt;78;0.596
kindel;78;0.596
suvi;77;0.588
noorsootöö;77;0.588
kutsuma;77;0.588
vähem;77;0.588
tehing;77;0.588
teadmine;76;0.581
tallinn;75;0.573
terve;74;0.565
istuma;74;0.565
nimi;74;0.565
lahti;74;0.565
väga-väga;74;0.565
tohtima;74;0.565
saatma;74;0.565
varem;74;0.565
mainima;74;0.565
proovima;73;0.558
vara;73;0.558
tegemine;73;0.558
pikk;72;0.550
tähelepanu;72;0.550
otsustama;72;0.550
õhtu;72;0.550
lahendus;72;0.550
toimima;72;0.550
huvi;71;0.542
täitsa;70;0.535
vahe;70;0.535
väärtus;70;0.535
vajadus;70;0.535
müüja;70;0.535
soov;70;0.535
jutt;69;0.527
suhtlema;69;0.527
vabatahtlik;69;0.527
pank;69;0.527
kuulaja;68;0.519
lõpetama;68;0.519
nõus;68;0.519
roll;68;0.519
julgema;67;0.512
kala;67;0.512
paik;66;0.504
number;66;0.504
ühiskond;66;0.504
mõjutama;66;0.504
vanem;66;0.504
lubama;66;0.504
lootma;66;0.504
episood;65;0.497
programm;65;0.497
toitumine;65;0.497
euro;65;0.497
keel;65;0.497
igapäevaselt;65;0.497
pöörduma;64;0.489
õpetama;63;0.481
noortekas;63;0.481
nimetama;63;0.481
laskma;63;0.481
keskmine;63;0.481
teatud;63;0.481
perekond;63;0.481
valik;63;0.481
vastutus;62;0.474
piir;62;0.474
tõusma;62;0.474
müük;62;0.474
koolitus;62;0.474
hingamine;62;0.474
lihtsam;61;0.466
jaa;61;0.466
tugev;61;0.466
astuma;61;0.466
jälgima;61;0.466
tekitama;61;0.466
sageli;61;0.466
üldiselt;61;0.466
president;61;0.466
halb;60;0.458
20;60;0.458
sündima;60;0.458
põhimõtteliselt;60;0.458
vähe;60;0.458
palk;60;0.458
noorsootöötaja;59;0.451
tõmbama;59;0.451
plaan;59;0.451
tegutsema;59;0.451
idee;58;0.443
paremini;58;0.443
jagama;58;0.443
armastus;58;0.443
valimine;58;0.443
võimalikult;57;0.435
korraks;57;0.435
sattuma;56;0.428
keskkond;56;0.428
kartma;56;0.428
õpilane;56;0.428
õigus;56;0.428
raamat;55;0.420
hiljem;55;0.420
konkreetne;55;0.420
tänapäev;55;0.420
arvestama;55;0.420
poliitika;55;0.420
liige;54;0.412
koroona;54;0.412
nimelt;54;0.412
tulevik;54;0.412
ruum;54;0.412
tööandja;54;0.412
emotsioon;54;0.412
positiivne;53;0.405
kõrgem;53;0.405
arutama;53;0.405
õnnelik;53;0.405
muutus;53;0.405
suund;53;0.405
piirkond;53;0.405
esiteks;53;0.405
trenn;53;0.405
vesi;53;0.405
hing;52;0.397
märkama;52;0.397
ajal;52;0.397
tulemus;52;0.397
tõepoolest;52;0.397
uks;52;0.397
kriis;51;0.390
nõudlus;51;0.390
lahendama;51;0.390
lisa;51;0.390
järjest;51;0.390
reformierakond;51;0.390
märk;51;0.390
kuskilt;50;0.382
klass;50;0.382
lööma;50;0.382
töötaja;50;0.382
seisma;50;0.382
tõstma;49;0.374
puhas;49;0.374
väiksem;49;0.374
kevad;49;0.374
facebook;49;0.374
malev;49;0.374
kolmas;48;0.367
motivatsioon;48;0.367
teistmoodi;48;0.367
mängima;48;0.367
euroopa;48;0.367
sõltuma;48;0.367
soovitus;48;0.367
tõenäoliselt;48;0.367
seisukoht;48;0.367
riigikogu;48;0.367
huvitama;47;0.359
mõistma;47;0.359
täitma;47;0.359
vajalik;47;0.359
isa;47;0.359
kuskile;46;0.351
kogema;46;0.351
kaua;46;0.351
viga;46;0.351
kuuluma;46;0.351
algama;46;0.351
ehitama;46;0.351
tasuma;46;0.351
amet;46;0.351
seadus;46;0.351
liis;46;0.351
kõne;45;0.344
liikumine;45;0.344
tasand;45;0.344
olulisem;45;0.344
minut;45;0.344
uudis;45;0.344
pere;45;0.344
koer;45;0.344
avalik;45;0.344
anne;45;0.344
keskerakond;45;0.344
nipp;45;0.344
olenema;44;0.336
seis;44;0.336
piisavalt;44;0.336
suhteliselt;44;0.336
süsteem;44;0.336
eraldi;44;0.336
mõnus;44;0.336
arko;44;0.336
suurepärane;44;0.336
uuring;44;0.336
tähtis;43;0.328
üritama;43;0.328
uuesti;43;0.328
jõud;43;0.328
sisemine;43;0.328
seitse;43;0.328
kandma;43;0.328
tavaline;43;0.328
edukas;43;0.328
tähele;43;0.328
vale;43;0.328
laen;43;0.328
tänav;43;0.328
minister;43;0.328
büroo;43;0.328
kaasama;43;0.328
trauma;43;0.328
külaline;42;0.321
armastama;42;0.321
kell;42;0.321
kaduma;42;0.321
pluss;42;0.321
laud;42;0.321
sisuliselt;42;0.321
liha;42;0.321
kursus;42;0.321
keskus;41;0.313
talv;41;0.313
kujunema;41;0.313
enamasti;41;0.313
ga;41;0.313
haigus;41;0.313
anu;40;0.306
arust;40;0.306
ülikool;40;0.306
marge;40;0.306
kinnisvaramaakler;40;0.306
tervislik;39;0.298
teadlik;39;0.298
vaataja;39;0.298
mõju;39;0.298
abielu;39;0.298
usaldama;39;0.298
puutuma;39;0.298
kohtuma;39;0.298
kinnisvaraturg;39;0.298
süda;39;0.298
toetus;39;0.298
nõu;39;0.298
kohalik;39;0.298
osalema;39;0.298
mentor;39;0.298
meeskond;39;0.298
juhtima;39;0.298
kohustus;39;0.298
haridus;39;0.298
päike;39;0.298
rahvas;39;0.298
tühi;38;0.290
sündmus;38;0.290
