lemma;raw_count;freq_per_100_lemmas
ütlema;2303;11.777
asi;1927;9.854
vaatama;1677;8.576
teadma;1501;7.676
inimene;1272;6.505
lihtsalt;1266;6.474
tegelikult;1264;6.464
no;1169;5.978
rääkima;1105;5.651
tahtma;1097;5.610
aeg;995;5.088
aasta;981;5.017
mõte;946;4.838
arvama;914;4.674
võtma;860;4.398
panema;838;4.285
lugu;822;4.204
hea;807;4.127
eesti;779;3.984
nägema;736;3.764
mõtlema;723;3.697
käima;702;3.590
hästi;613;3.135
kaks;536;2.741
nii-öelda;535;2.736
andma;524;2.680
aru;513;2.623
suur;509;2.603
jääma;475;2.429
kuulama;451;2.306
kuulma;451;2.306
teema;444;2.271
esimene;441;2.255
üldse;438;2.240
näide;415;2.122
kord;412;2.107
elu;407;2.081
uus;407;2.081
täna;406;2.076
okei;396;2.025
natuke;375;1.918
küsimus;371;1.897
täpselt;366;1.872
kindlasti;365;1.867
jõudma;352;1.800
saade;349;1.785
vana;346;1.769
hetk;342;1.749
päev;337;1.723
muusika;332;1.698
mees;325;1.662
meeldima;324;1.657
koht;322;1.647
küsima;316;1.616
mängima;312;1.595
onju;299;1.529
osa;298;1.524
maailm;298;1.524
kurat;295;1.509
töö;287;1.468
arust;282;1.442
jälle;277;1.417
väike;273;1.396
käsi;265;1.355
põhimõtteliselt;262;1.340
vaja;260;1.330
tunduma;256;1.309
erinev;255;1.304
äkki;253;1.294
tooma;252;1.289
mäletama;251;1.284
tekkima;243;1.243
huvitav;239;1.222
nimi;236;1.207
parem;235;1.202
kolm;233;1.192
tunne;228;1.166
oskama;227;1.161
näiteks;224;1.145
elama;223;1.140
tundma;223;1.140
kirjutama;213;1.089
laskma;211;1.079
film;209;1.069
õige;209;1.069
toimuma;209;1.069
raha;208;1.064
tähendama;206;1.053
natukene;204;1.043
ootama;204;1.043
viis;200;1.023
mäng;200;1.023
lugema;198;1.013
tee;191;0.977
juhtuma;187;0.956
leidma;186;0.951
suutma;184;0.941
pea;183;0.936
ühesõnaga;183;0.936
jutt;181;0.926
lõpuks;180;0.920
täis;177;0.905
viimane;176;0.900
kool;175;0.895
algus;173;0.885
kodu;170;0.869
vend;170;0.869
suurem;167;0.854
meel;167;0.854
lõpp;166;0.849
näitama;166;0.849
uskuma;164;0.839
samamoodi;162;0.828
töötama;161;0.823
keel;160;0.818
probleem;159;0.813
kuu;159;0.813
võimalus;158;0.808
sõna;158;0.808
võitma;157;0.803
kasutama;156;0.798
muutuma;155;0.793
kõva;155;0.793
proovima;153;0.782
maha;152;0.777
tehtud;151;0.772
ostma;148;0.757
võimalik;148;0.757
halb;147;0.752
juht;144;0.736
ilmselt;143;0.731
10;143;0.731
raske;143;0.731
aitama;142;0.726
hoidma;142;0.726
naine;141;0.721
number;141;0.721
pilt;140;0.716
tõmbama;140;0.716
õppima;139;0.711
absoluutselt;138;0.706
laps;136;0.695
sõber;134;0.685
nädal;134;0.685
eriti;133;0.680
tore;133;0.680
värk;132;0.675
tund;131;0.670
tegelema;131;0.670
armastus;131;0.670
lõpetama;130;0.665
olukord;129;0.660
viima;128;0.655
sõitma;128;0.655
sööma;127;0.649
noor;127;0.649
kaasa;127;0.649
saatma;124;0.634
terve;124;0.634
maa;123;0.629
pakkuma;122;0.624
paar;122;0.624
ilus;121;0.619
laul;120;0.614
eestlane;120;0.614
pikk;120;0.614
kinni;118;0.603
lahti;117;0.598
kogemus;117;0.598
vahe;115;0.588
täitsa;113;0.578
kindel;113;0.578
parim;111;0.568
kuulaja;110;0.563
valima;110;0.563
äge;109;0.557
alustama;109;0.557
jätma;109;0.557
neli;108;0.552
räpp;108;0.552
silm;108;0.552
lootma;107;0.547
kujutama;106;0.542
lihtne;105;0.537
ajama;104;0.532
loomulikult;103;0.527
liikuma;102;0.522
istuma;102;0.522
vähe;102;0.522
poiss;101;0.516
bakter;101;0.516
auto;99;0.506
klubi;99;0.506
tallinn;98;0.501
varem;98;0.501
raamat;98;0.501
tase;98;0.501
pärnu;98;0.501
muutma;97;0.496
tänane;96;0.491
üritama;96;0.491
lööma;95;0.486
kiri;95;0.486
korralik;95;0.486
muusik;95;0.486
idee;94;0.481
vanem;94;0.481
selge;94;0.481
kell;93;0.476
punkt;93;0.476
kutsuma;92;0.470
valmis;92;0.470
toode;92;0.470
otsima;91;0.465
protsent;91;0.465
päriselt;91;0.465
vastama;90;0.460
nõus;90;0.460
jumal;90;0.460
jaa;89;0.455
kaua;89;0.455
rahvas;88;0.450
oluline;88;0.450
kõlama;88;0.450
soovima;87;0.445
onu;87;0.445
positiivne;87;0.445
süda;87;0.445
riik;86;0.440
õhtu;85;0.435
maksma;85;0.435
tüüp;85;0.435
põhjus;84;0.430
vene;84;0.430
stuudio;83;0.424
tänapäev;83;0.424
tervis;83;0.424
pluss;83;0.424
kuskilt;82;0.419
tekitama;82;0.419
puhas;82;0.419
soome;82;0.419
keha;82;0.419
video;81;0.414
jaan;80;0.409
uuesti;80;0.409
tegemine;79;0.404
paluma;79;0.404
internet;79;0.404
viskama;77;0.394
peep;77;0.394
nägu;77;0.394
jagama;77;0.394
turg;76;0.389
ala;76;0.389
bänd;76;0.389
linn;75;0.384
vastus;75;0.384
nojah;75;0.384
plaan;75;0.384
kolmas;75;0.384
hiljem;75;0.384
ema;74;0.378
kuus;74;0.378
album;74;0.378
arst;74;0.378
veits;73;0.373
hooaeg;72;0.368
vesi;71;0.363
otsustama;71;0.363
huvi;71;0.363
paremini;71;0.363
venelane;71;0.363
ööklubi;71;0.363
näitleja;70;0.358
vale;70;0.358
artist;70;0.358
plaat;70;0.358
õnn;69;0.353
telefon;69;0.353
tartu;68;0.348
kartma;68;0.348
toit;68;0.348
järjest;67;0.343
naljakas;67;0.343
ülikool;67;0.343
magama;67;0.343
müüma;66;0.338
siiamaani;65;0.332
tükk;65;0.332
hull;65;0.332
jätkama;65;0.332
kuskile;64;0.327
vähem;64;0.327
valik;64;0.327
arvamus;64;0.327
suhteliselt;63;0.322
toimima;63;0.322
tudeng;63;0.322
null;62;0.317
suhtlema;61;0.312
tohtima;61;0.312
tähtis;61;0.312
hind;61;0.312
teistmoodi;61;0.312
seisma;61;0.312
mängija;61;0.312
tulevik;61;0.312
kukkuma;60;0.307
variant;60;0.307
mõistma;60;0.307
algama;59;0.302
väga-väga;59;0.302
kokkuvõte;59;0.302
otsus;59;0.302
jällegi;59;0.302
huvitama;59;0.302
minut;59;0.302
eesmärk;59;0.302
pidu;59;0.302
küla;58;0.297
kasvama;58;0.297
hääl;58;0.297
ettevõte;58;0.297
100;58;0.297
euroopa;58;0.297
tavaline;58;0.297
emotsioon;57;0.291
korraks;57;0.291
suvi;57;0.291
loll;57;0.291
hommik;57;0.291
klass;57;0.291
astuma;57;0.291
info;57;0.291
kandma;57;0.291
lahe;57;0.291
normaalne;57;0.291
mainima;57;0.291
jooksma;56;0.286
nautima;56;0.286
tähelepanu;56;0.286
projekt;56;0.286
tõenäoliselt;56;0.286
ensüüm;56;0.286
roll;55;0.281
mõnus;55;0.281
surema;55;0.281
maja;55;0.281
20;55;0.281
uudis;55;0.281
võrdlema;55;0.281
jälgima;55;0.281
enamus;55;0.281
arvuti;54;0.276
julgema;54;0.276
laud;54;0.276
samm;54;0.276
piir;54;0.276
tugev;54;0.276
medal;54;0.276
miljon;54;0.276
euro;53;0.271
koostöö;53;0.271
põnev;53;0.271
seltskond;53;0.271
valesti;53;0.271
kaheksa;53;0.271
pääsema;53;0.271
ehitama;53;0.271
kriis;53;0.271
tulemus;52;0.266
üldiselt;52;0.266
üritus;52;0.266
raadio;51;0.261
õigus;51;0.261
kaduma;51;0.261
facebook;51;0.261
lahendus;51;0.261
lahendama;51;0.261
korter;51;0.261
isa;51;0.261
tüdruk;51;0.261
kiire;51;0.261
vahetama;51;0.261
koroona;51;0.261
pank;51;0.261
kultuur;51;0.261
vinüül;51;0.261
keeruline;50;0.256
võit;50;0.256
vaikselt;50;0.256
sarnane;50;0.256
puue;50;0.256
kõvasti;49;0.251
ausalt;49;0.251
kahjuks;49;0.251
lubama;49;0.251
soovitus;49;0.251
looma;49;0.251
nimelt;49;0.251
lava;48;0.245
helistama;48;0.245
nali;48;0.245
vorm;48;0.245
ruum;48;0.245
nutma;48;0.245
lisa;48;0.245
ott;48;0.245
top;48;0.245
eksima;48;0.245
viitsima;48;0.245
süsteem;48;0.245
ajal;47;0.240
telekas;47;0.240
sattuma;47;0.240
ainuke;47;0.240
unustama;47;0.240
sobima;47;0.240
eile;47;0.240
kiiresti;47;0.240
tavaliselt;47;0.240
suu;47;0.240
sportlane;47;0.240
lood;47;0.240
paistma;47;0.240
jooma;47;0.240
sitt;47;0.240
lihtsam;46;0.235
kaotama;46;0.235
abi;46;0.235
kõrv;46;0.235
suund;46;0.235
häda;46;0.235
aus;46;0.235
uurima;46;0.235
tootma;46;0.235
live;46;0.235
soovitama;45;0.230
hüppama;45;0.230
seis;45;0.230
tubli;45;0.230
külg;45;0.230
point;45;0.230
eraldi;45;0.230
antud;45;0.230
tõusma;45;0.230
lendama;45;0.230
viga;44;0.225
valitsus;44;0.225
üheksa;44;0.225
episood;44;0.225
kestma;44;0.225
kõne;44;0.225
mets;43;0.220
seotud;43;0.220
esiteks;43;0.220
teatud;43;0.220
tihti;43;0.220
hirm;43;0.220
soov;43;0.220
mure;43;0.220
laen;43;0.220
50;43;0.220
aju;43;0.220
suhe;43;0.220
tipp;43;0.220
mask;43;0.220
alus;42;0.215
pood;42;0.215
laulma;42;0.215
leht;42;0.215
30;42;0.215
varsti;42;0.215
ots;42;0.215
surm;42;0.215
konkreetne;42;0.215
ameerika;42;0.215
puu;42;0.215
meedia;42;0.215
muutus;41;0.210
väiksem;41;0.210
lõppema;41;0.210
pull;41;0.210
energia;41;0.210
ammu;41;0.210
vanasti;41;0.210
õigesti;41;0.210
otseselt;41;0.210
sport;41;0.210
meeskond;41;0.210
korvpall;41;0.210
kontsert;41;0.210
välismaa;41;0.210
kogema;41;0.210
vaba;40;0.205
seitse;40;0.205
halvasti;40;0.205
tarmo;40;0.205
lükkama;40;0.205
reklaam;40;0.205
mood;40;0.205
võistlus;40;0.205
piisavalt;40;0.205
keerama;40;0.205
tegevus;40;0.205
november;40;0.205
tänav;39;0.199
selg;39;0.199
auk;39;0.199
sõltuma;39;0.199
tiim;39;0.199
toetama;39;0.199
ralli;39;0.199
lause;39;0.199
ilmselgelt;39;0.199
korraga;39;0.199
ühiskond;39;0.199
armastama;38;0.194
arutama;38;0.194
enam-vähem;38;0.194
kasu;38;0.194
segama;38;0.194
nagunii;38;0.194
pöörama;38;0.194
värv;38;0.194
kallis;38;0.194
salvestama;38;0.194
seisukoht;38;0.194
heli;38;0.194
tõsine;38;0.194
mõjutama;37;0.189
pere;37;0.189
vajama;37;0.189
valdkond;37;0.189
vägev;37;0.189
tühi;37;0.189
kommentaar;37;0.189
külm;37;0.189
treener;37;0.189
soe;37;0.189
jube;37;0.189
protsess;37;0.189
paik;37;0.189
seletama;37;0.189
kassett;37;0.189
taust;36;0.184
esitama;36;0.184
must;36;0.184
tasuma;36;0.184
jalgpall;36;0.184
sisuliselt;36;0.184
küllaltki;36;0.184
kohalik;36;0.184
klient;36;0.184
sound;36;0.184
