ngram;count;freq_per_1000_n-gramms
tartu noorsootöö keskus;19;0.4745
mees ja naine;13;0.3247
noor vaimne tervis;11;0.2747
ütlema et kuulma;10;0.2497
hästi palju erinev;9;0.2248
ema ja isa;8;0.1998
teinekord ikka jälle;8;0.1998
no mina arvama;8;0.1998
no mina ütlema;8;0.1998
puudutama mina saade;7;0.1748
hea uus aasta;7;0.1748
arko vara kinnisvarabüroo;7;0.1748
grete ning tänane;6;0.1498
eesti noor vaimne;6;0.1498
no see mõte;6;0.1498
ütlema et inimene;6;0.1498
aru et okei;6;0.1498
tahtma see asi;6;0.1498
varem või hiljem;6;0.1498
inimene kes täna;6;0.1498
täpselt ei teadma;6;0.1498
mõtlema et okei;6;0.1498
turg olema aktiivne;6;0.1498
tartu noor töömalev;6;0.1498
sõna otsene mõte;6;0.1498
vaimne tervis teema;6;0.1498
vaimne tervis mure;6;0.1498
vaimne tervis liikumine;5;0.1249
inimene kes elama;5;0.1249
inimene kes oskama;5;0.1249
hea sõber suur;5;0.1249
viimane paar aasta;5;0.1249
inimene kes tegelikult;5;0.1249
ütlema et teadma;5;0.1249
hästi kuulmine nägemiseni;5;0.1249
kuulaja ja vaataja;5;0.1249
mõtlema et tahtma;5;0.1249
teadma mis asi;5;0.1249
rääkima natuke lähemalt;5;0.1249
tegelikult mina ütlema;5;0.1249
elama oma elu;5;0.1249
ots kokku tõmbama;5;0.1249
rääkima oma kogemus;5;0.1249
leidma see aeg;4;0.0999
võtma mina ühendus;4;0.0999
hea või halb;4;0.0999
stuudio hea sõber;4;0.0999
hästi palju inimene;4;0.0999
sõber suur rõõm;4;0.0999
hea meel tervitama;4;0.0999
haridus ja teadusministeerium;4;0.0999
rääkima mõni sõna;4;0.0999
hea sõber täna;4;0.0999
ütlema et nägema;4;0.0999
tegelikult ei teadma;4;0.0999
kindlasti mina arvama;4;0.0999
2000 seitsmeteistkümnes aasta;4;0.0999
küsima sina käsi;4;0.0999
leidma see õige;4;0.0999
inimene ei tahtma;4;0.0999
tahtma saama maakler;4;0.0999
nii-öelda see esimene;4;0.0999
