ngram;count;freq_per_100_n-gramms
eesti puue inimene;28;0.0545
puue inimene koda;27;0.0526
mees ei nutma;20;0.0390
no see mõte;17;0.0331
teadma mis asi;13;0.0253
no mina ütlema;12;0.0234
jutt roheline stuudio;10;0.0195
ütlema et kuulma;10;0.0195
tõde ja õigus;9;0.0175
no mina arvama;9;0.0175
täpselt sama asi;9;0.0175
tahtma see ütlema;8;0.0156
mõtlema et äkki;8;0.0156
mõtlema et kurat;8;0.0156
vana kool rubriik;8;0.0156
tegelikult ei teadma;7;0.0136
tegelikult mina arvama;7;0.0136
kuulama see lugu;7;0.0136
rääkima väga oluline;7;0.0136
konsultant ja koolitaja;6;0.0117
tegelikult see mõte;6;0.0117
teadma mina arvama;6;0.0117
sõna otsene mõte;6;0.0117
tundma ise hästi;6;0.0117
varem või hiljem;6;0.0117
ütlema et okei;6;0.0117
pluss miinus kaks;6;0.0117
aeg terve päev;6;0.0117
terve päev vaev;6;0.0117
vaev teine laenama;6;0.0117
ütlema mina arvama;5;0.0097
rääkima kogu aeg;5;0.0097
küsimus kas eesti;5;0.0097
koolitaja tõnu toomberg;5;0.0097
arvama et tegelikult;5;0.0097
lihtsalt ei teadma;5;0.0097
kolm või neli;5;0.0097
panema see lugu;5;0.0097
intervjueerima ja monteerima;5;0.0097
öö ja päev;5;0.0097
avalik elu tegelane;5;0.0097
vaatama see saade;5;0.0097
maa olema ümmargune;5;0.0097
vaatama see asi;5;0.0097
eesti mälu instituut;5;0.0097
häda ja viletsus;5;0.0097
siim sander vene;5;0.0097
hea ja halb;5;0.0097
kuus neli seitse;5;0.0097
neli seitse kaheksa;5;0.0097
seitse kaheksa null;5;0.0097
kaheksa null viis;5;0.0097
vaatama see film;4;0.0078
ütlema et nägema;4;0.0078
mäletama mina käima;4;0.0078
inimene kes ütlema;4;0.0078
delfi eesti päevaleht;4;0.0078
ütlema kogu aeg;4;0.0078
soome ralli võit;4;0.0078
parim sportlane valimine;4;0.0078
inimene olema vaja;4;0.0078
tõnu toompark kinnisvaraanalüütik;4;0.0078
jõudma nii kaugele;4;0.0078
küsima et kuulma;4;0.0078
mõte olema hästi;4;0.0078
ots kokku tõmbama;4;0.0078
puue inimene organisatsioon;4;0.0078
no see kõlama;4;0.0078
asi mis inimene;4;0.0078
inimene saama aru;4;0.0078
asi mina arvama;4;0.0078
puu ja punane;4;0.0078
lihtsalt ei viitsima;4;0.0078
aru et okei;4;0.0078
kindlasti mina arvama;4;0.0078
inimene olema tegelikult;4;0.0078
ütlema mina tahtma;4;0.0078
mõte olema hea;4;0.0078
tahtma see asi;4;0.0078
monteerima jakob rosi;4;0.0078
ütlema et no;4;0.0078
neli või viis;4;0.0078
kolm kuni viis;4;0.0078
oluline asi nimelt;4;0.0078
kogumik osa kaks;4;0.0078
kasum mina eesmärk;4;0.0078
andma mina andeks;4;0.0078
koht juurde number;4;0.0078
meister liiga finaal;4;0.0078
ütlema see lugu;4;0.0078
onu jopska tasku;4;0.0078
95 pluss miinus;4;0.0078
kinnisvaraanalüütik ja kinnisvarakool;4;0.0078
teadma mina lihtsalt;4;0.0078
erivajadus tudeng nõustaja;4;0.0078
kohalik omavalitsus sotsiaalvaldkond;4;0.0078
aasta pärast uuesti;4;0.0078
rääkima eesti keel;4;0.0078
nägema tallinn kõrgeim;4;0.0078
tallinn kõrgeim mägi;4;0.0078
sõna olema rahu;4;0.0078
armastus olema rahu;4;0.0078
teadma kes tahtma;4;0.0078
tahtma saama armastus;4;0.0078
hea vana aasta;4;0.0078
rääkima mingi asi;3;0.0058
mets võtma maha;3;0.0058
pluss ja miinus;3;0.0058
rääkima see lugu;3;0.0058
tegelikult mina arust;3;0.0058
