ngram;count;freq_per_60_min
eesti puue inimene;28;0.6485
puue inimene koda;27;0.6253
mees ei nutma;20;0.4632
no see mõte;17;0.3937
teadma mis asi;13;0.3011
no mina ütlema;12;0.2779
jutt roheline stuudio;10;0.2316
ütlema et kuulma;10;0.2316
tõde ja õigus;9;0.2084
no mina arvama;9;0.2084
täpselt sama asi;9;0.2084
tahtma see ütlema;8;0.1853
mõtlema et äkki;8;0.1853
mõtlema et kurat;8;0.1853
vana kool rubriik;8;0.1853
tegelikult ei teadma;7;0.1621
tegelikult mina arvama;7;0.1621
kuulama see lugu;7;0.1621
rääkima väga oluline;7;0.1621
konsultant ja koolitaja;6;0.1390
tegelikult see mõte;6;0.1390
teadma mina arvama;6;0.1390
sõna otsene mõte;6;0.1390
tundma ise hästi;6;0.1390
varem või hiljem;6;0.1390
ütlema et okei;6;0.1390
pluss miinus kaks;6;0.1390
aeg terve päev;6;0.1390
terve päev vaev;6;0.1390
vaev teine laenama;6;0.1390
ütlema mina arvama;5;0.1158
rääkima kogu aeg;5;0.1158
küsimus kas eesti;5;0.1158
koolitaja tõnu toomberg;5;0.1158
arvama et tegelikult;5;0.1158
lihtsalt ei teadma;5;0.1158
kolm või neli;5;0.1158
panema see lugu;5;0.1158
intervjueerima ja monteerima;5;0.1158
öö ja päev;5;0.1158
avalik elu tegelane;5;0.1158
vaatama see saade;5;0.1158
maa olema ümmargune;5;0.1158
vaatama see asi;5;0.1158
eesti mälu instituut;5;0.1158
häda ja viletsus;5;0.1158
siim sander vene;5;0.1158
hea ja halb;5;0.1158
kuus neli seitse;5;0.1158
neli seitse kaheksa;5;0.1158
seitse kaheksa null;5;0.1158
kaheksa null viis;5;0.1158
vaatama see film;4;0.0926
ütlema et nägema;4;0.0926
mäletama mina käima;4;0.0926
inimene kes ütlema;4;0.0926
delfi eesti päevaleht;4;0.0926
ütlema kogu aeg;4;0.0926
soome ralli võit;4;0.0926
parim sportlane valimine;4;0.0926
inimene olema vaja;4;0.0926
tõnu toompark kinnisvaraanalüütik;4;0.0926
jõudma nii kaugele;4;0.0926
küsima et kuulma;4;0.0926
mõte olema hästi;4;0.0926
ots kokku tõmbama;4;0.0926
puue inimene organisatsioon;4;0.0926
no see kõlama;4;0.0926
asi mis inimene;4;0.0926
inimene saama aru;4;0.0926
asi mina arvama;4;0.0926
puu ja punane;4;0.0926
lihtsalt ei viitsima;4;0.0926
aru et okei;4;0.0926
kindlasti mina arvama;4;0.0926
inimene olema tegelikult;4;0.0926
ütlema mina tahtma;4;0.0926
mõte olema hea;4;0.0926
tahtma see asi;4;0.0926
monteerima jakob rosi;4;0.0926
ütlema et no;4;0.0926
neli või viis;4;0.0926
kolm kuni viis;4;0.0926
oluline asi nimelt;4;0.0926
kogumik osa kaks;4;0.0926
kasum mina eesmärk;4;0.0926
andma mina andeks;4;0.0926
koht juurde number;4;0.0926
meister liiga finaal;4;0.0926
