ngram;count;freq_per_60_min
tartu noorsootöö keskus;19;0.5671
mees ja naine;13;0.3880
noor vaimne tervis;11;0.3283
ütlema et kuulma;10;0.2984
hästi palju erinev;9;0.2686
ema ja isa;8;0.2388
teinekord ikka jälle;8;0.2388
no mina arvama;8;0.2388
no mina ütlema;8;0.2388
puudutama mina saade;7;0.2089
hea uus aasta;7;0.2089
arko vara kinnisvarabüroo;7;0.2089
grete ning tänane;6;0.1791
eesti noor vaimne;6;0.1791
no see mõte;6;0.1791
ütlema et inimene;6;0.1791
kuulaja ja vaataja;6;0.1791
aru et okei;6;0.1791
tahtma see asi;6;0.1791
varem või hiljem;6;0.1791
inimene kes täna;6;0.1791
täpselt ei teadma;6;0.1791
mõtlema et okei;6;0.1791
turg olema aktiivne;6;0.1791
tartu noor töömalev;6;0.1791
sõna otsene mõte;6;0.1791
vaimne tervis teema;6;0.1791
vaimne tervis mure;6;0.1791
vaimne tervis liikumine;5;0.1492
inimene kes elama;5;0.1492
inimene kes oskama;5;0.1492
hea sõber suur;5;0.1492
viimane paar aasta;5;0.1492
inimene kes tegelikult;5;0.1492
ütlema et teadma;5;0.1492
hästi kuulmine nägemiseni;5;0.1492
mõtlema et tahtma;5;0.1492
teadma mis asi;5;0.1492
rääkima natuke lähemalt;5;0.1492
tegelikult mina ütlema;5;0.1492
elama oma elu;5;0.1492
ots kokku tõmbama;5;0.1492
rääkima oma kogemus;5;0.1492
leidma see aeg;4;0.1194
võtma mina ühendus;4;0.1194
tallinn ja tartu;4;0.1194
hea või halb;4;0.1194
stuudio hea sõber;4;0.1194
hästi palju inimene;4;0.1194
sõber suur rõõm;4;0.1194
hea meel tervitama;4;0.1194
haridus ja teadusministeerium;4;0.1194
rääkima mõni sõna;4;0.1194
hea sõber täna;4;0.1194
ütlema et nägema;4;0.1194
tegelikult ei teadma;4;0.1194
kindlasti mina arvama;4;0.1194
2000 seitsmeteistkümnes aasta;4;0.1194
küsima sina käsi;4;0.1194
leidma see õige;4;0.1194
inimene ei tahtma;4;0.1194
tahtma saama maakler;4;0.1194
nii-öelda see esimene;4;0.1194
aitama inimene kodu;4;0.1194
null mina arvama;4;0.1194
esimene neli kuu;4;0.1194
eesti keskmine palk;4;0.1194
andma oma panus;4;0.1194
saatma oma cv;4;0.1194
tahtma tegema äri;4;0.1194
inimene olema muutuma;4;0.1194
kuulama ja vaatama;4;0.1194
müüma vahetama üürima;4;0.1194
tänane saade rääkima;4;0.1194
aeg maha võtma;4;0.1194
ütlema et elari;4;0.1194
järjekordne noor aken;4;0.1194
noor aken episood;4;0.1194
aru et tegelikult;4;0.1194
päike ja veenus;4;0.1194
rääkima vaimne tervis;4;0.1194
nägema et tegelikult;4;0.1194
võtma see aeg;4;0.1194
hästi palju rääkima;4;0.1194
mõtlema et issand;4;0.1194
eesti elu parem;4;0.1194
tegelikult mina nägema;4;0.1194
erakorraline meditsiin osakond;4;0.1194
tunne et okei;4;0.1194
justiitsminister raivo aeg;4;0.1194
panema selg roosa;4;0.1194
selg roosa kleit;4;0.1194
aasta ema tiitel;4;0.1194
kolm kord päev;4;0.1194
püüdma kogu aeg;3;0.0895
otsus vastu võtma;3;0.0895
keskmine ruutmeeter hind;3;0.0895
korter ruutmeeter hind;3;0.0895
inimene kes otsima;3;0.0895
ostja ja müüja;3;0.0895
suur tänu kuulama;3;0.0895
õppima saama aru;3;0.0895
teadma et tegelikult;3;0.0895
inimene kes aitama;3;0.0895
leidma see lahendus;3;0.0895
inimene kes töötama;3;0.0895
teadma väga hästi;3;0.0895
laps olema väärtus;3;0.0895
aeg olema piiratud;3;0.0895
tervislik tasakaalustatud toitumine;3;0.0895
ütlema et eesti;3;0.0895
ütlema et esimene;3;0.0895
suurim hea meel;3;0.0895
rääkima paar sõna;3;0.0895
õpetaja keskmine palk;3;0.0895
töötama see aeg;3;0.0895
suur osa inimene;3;0.0895
jälle olema terve;3;0.0895
tartu noorsoot keskus;3;0.0895
ütlema et lihtsalt;3;0.0895
noor kes tahtma;3;0.0895
tahtma kool käima;3;0.0895
sobima üks tüüp;3;0.0895
tartu noorsootöökeskus koduleht;3;0.0895
leidma rohkem info;3;0.0895
kuulma ja nägema;3;0.0895
tundma ise halvasti;3;0.0895
asi ära klaarima;3;0.0895
rõõm sina jälle;3;0.0895
inimene kes vajama;3;0.0895
hommik või õhtu;3;0.0895
üldse ei meeldima;3;0.0895
viis kuni 10;3;0.0895
no kõige olulisem;3;0.0895
müüma see hind;3;0.0895
marge ja soovima;3;0.0895
inimene see mõte;3;0.0895
mõtlema et tegelikult;3;0.0895
mäletama oma esimene;3;0.0895
loomulikult ka klient;3;0.0895
100 kuni 150000;3;0.0895
arvama et küsimus;3;0.0895
äri see suur;3;0.0895
täna arko vara;3;0.0895
maakler ka õpetama;3;0.0895
tahtma see töö;3;0.0895
arko vara talent;3;0.0895
inimene ei tundma;3;0.0895
leidma oma kodu;3;0.0895
ütlema et tartu;3;0.0895
vaatama hea aeg;3;0.0895
õhtune armas vaataja;3;0.0895
no aga rääkima;3;0.0895
rõõmus ja õnnelik;3;0.0895
muutma oma elu;3;0.0895
võtma see tegevus;3;0.0895
nimi olema elari;3;0.0895
arko akadeemia järjekordne;3;0.0895
tahtma seal elama;3;0.0895
aasta teine kvartal;3;0.0895
ostma müüma vahetama;3;0.0895
ilus päev jätkuma;3;0.0895
kuulama mina järjekordne;3;0.0895
täpselt sama hästi;3;0.0895
erinev muu asi;3;0.0895
täna ei jõudma;3;0.0895
inimene kes ütlema;3;0.0895
käima ja vaatama;3;0.0895
tegelikult väga oluline;3;0.0895
naine ja mees;3;0.0895
60 minut tööaeg;3;0.0895
arutama see teema;3;0.0895
kuulama järjekordne noor;3;0.0895
no sina ütlema;3;0.0895
noor olema hukas;3;0.0895
vaba aeg veetma;3;0.0895
anne noortekeskus hoov;3;0.0895
kuulama arko akadeemia;3;0.0895
kersti kaljulaid eesti;3;0.0895
eesmärk elu viima;3;0.0895
no mis asi;3;0.0895
ütlema et jaa;3;0.0895
vaimne tervis probleem;3;0.0895
vaimne tervis hoidma;3;0.0895
tegelikult väga hea;3;0.0895
vaba ja tegevus;3;0.0895
vaimne ise areng;3;0.0895
inimene kes tegelema;3;0.0895
arvama et inimene;3;0.0895
tundma ise hästi;3;0.0895
arvama et tegelikult;3;0.0895
elu valmis projekt;3;0.0895
tegelikult päris suur;3;0.0895
arvama et maakler;3;0.0895
ütlema et okei;3;0.0895
pakkumine olema turg;3;0.0895
tartu ja viljandi;3;0.0895
ütlema et tahtma;3;0.0895
rahulolu uuring tulemus;3;0.0895
libe ja mõnus;3;0.0895
kinnisvara väärtus tõstma;3;0.0895
võimalikult palju mineraalaine;3;0.0895
sööma kolm kord;3;0.0895
tiim et tegelikult;2;0.0597
hästi-hästi tore inimene;2;0.0597
tervis liikumine liige;2;0.0597
liikumine liige mirjam;2;0.0597
mirjam ja merle;2;0.0597
hästi-hästi meel jääma;2;0.0597
mõtlema see teema;2;0.0597
tuletama et kindlasti;2;0.0597
hea edasi liikuma;2;0.0597
viimane kaks aasta;2;0.0597
silm peal hoidma;2;0.0597
leidma mina tartu;2;0.0597
hea meel ütlema;2;0.0597
ühendus ja küsima;2;0.0597
informatsioon edasi andma;2;0.0597
hästi selline lühike;2;0.0597
20 30 aasta;2;0.0597
tegelikult ka aasta;2;0.0597
mõte ja tunne;2;0.0597
aeg mina nägema;2;0.0597
võtma see teema;2;0.0597
teatud tüüp inimene;2;0.0597
elu olema hästi;2;0.0597
inimene mina teadma;2;0.0597
vaatama et tegelikult;2;0.0597
tegelikult iga inimene;2;0.0597
vaatama tema häälestus;2;0.0597
lõpuks ümber häälestama;2;0.0597
ütlema see esimene;2;0.0597
inimene saama aru;2;0.0597
rääkima mina lihtsalt;2;0.0597
andma see asi;2;0.0597
ütlema mina tahtma;2;0.0597
70 80 protsent;2;0.0597
sõna ja tegu;2;0.0597
rääkima üle maailm;2;0.0597
vahe nii suur;2;0.0597
looma oma elu;2;0.0597
nägema ja teadma;2;0.0597
võtma oma asi;2;0.0597
väljapääs mina tahtma;2;0.0597
ütlema et panema;2;0.0597
hästi aga rääkima;2;0.0597
teema mina teadma;2;0.0597
mees või naine;2;0.0597
rääkima et inimene;2;0.0597
mõtlema tema tahtma;2;0.0597
tegelikult olema vaja;2;0.0597
tahtma ja vajama;2;0.0597
toimuma ja vaatama;2;0.0597
aasta neljas kvartal;2;0.0597
aasta sama aeg;2;0.0597
inimene olema harjuma;2;0.0597
viimane kümne-viisteist aasta;2;0.0597
inimene kes tahtma;2;0.0597
no mina kujutama;2;0.0597
paar 1000 ruut;2;0.0597
inimene kes kuulama;2;0.0597
pärnu ja pärnumaa;2;0.0597
nägema et hind;2;0.0597
uus korter hind;2;0.0597
vabatahtlik töö võimalus;2;0.0597
natukene see jutt;2;0.0597
inimene ja kolmas;2;0.0597
vastama väga hästi;2;0.0597
tekkima küll tunne;2;0.0597
noor vanus 18;2;0.0597
18 kuni 30;2;0.0597
tekkima kohe küsimus;2;0.0597
kaks tund töö;2;0.0597
abi ja tugi;2;0.0597
tahtma see lõpp;2;0.0597
võtma see otsus;2;0.0597
tegelikult see küsimus;2;0.0597
noor oma algatus;2;0.0597
vaatama ja kuulama;2;0.0597
õppima viljandi kultuuriakadeemia;2;0.0597
vaatama see inimene;2;0.0597
euroopa liit riik;2;0.0597
kuuluma eelmine valitsus;2;0.0597
palk olema kõrgem;2;0.0597
võimalikult kiiresti tegelema;2;0.0597
lihtne kaks asi;2;0.0597
keskmine pension tulumaksuvabastus;2;0.0597
aasta olema tõepoolest;2;0.0597
maks ei tõstma;2;0.0597
suitsetamine maha jätma;2;0.0597
mõtlema et no;2;0.0597
sööma see toit;2;0.0597
no tänane päev;2;0.0597
esimene kord elu;2;0.0597
pood valmis toit;2;0.0597
aitama väga hästi;2;0.0597
viis kord päev;2;0.0597
tekkima üks hetk;2;0.0597
jälgima kogu aeg;2;0.0597
kapsas ja porgand;2;0.0597
asi jõudma kohus;2;0.0597
tulemus olema tegelikult;2;0.0597
lapsevanem andma nõusolek;2;0.0597
õpetaja olema vaktsineerima;2;0.0597
keelduma oma laps;2;0.0597
inimene tulema võtma;2;0.0597
tegutsema see nimel;2;0.0597
elu ja tervis;2;0.0597
tahtma see küsima;2;0.0597
näide see inimene;2;0.0597
laps olema kodu;2;0.0597
20 protsent õpilane;2;0.0597
tõstma õpetaja palk;2;0.0597
protsent riik keskmine;2;0.0597
olukord kus õpetaja;2;0.0597
rääkima see mõte;2;0.0597
mõte mina arvama;2;0.0597
sotsiaaldemokraatlik erakond fraktsioon;2;0.0597
erakond fraktsioon lakkama;2;0.0597
kontekst välja rebitud;2;0.0597
kaks aasta hiljem;2;0.0597
aasta tagasi rääkima;2;0.0597
terve kuulmiseni nägemiseni;2;0.0597
rääkima noor kaasamine;2;0.0597
nii-öelda noor kaasamine;2;0.0597
noor kaasamine teema;2;0.0597
näide mina alustama;2;0.0597
tegelikult ei tahtma;2;0.0597
tahtma noortekas käima;2;0.0597
piirang ja asi;2;0.0597
asi välja mõtlema;2;0.0597
kaasama erinev tegevus;2;0.0597
vaatama et äkki;2;0.0597
kord mina rääkima;2;0.0597
panema ise kiri;2;0.0597
kuulma mina vaatama;2;0.0597
noor iga päev;2;0.0597
kevad olema huvitav;2;0.0597
hästi ei teadma;2;0.0597
teema tema tahtma;2;0.0597
keeruline olema inimene;2;0.0597
võimalus et näide;2;0.0597
asi olema võimalik;2;0.0597
võimalik see mõte;2;0.0597
lahendus ja võimalus;2;0.0597
ütlema siis parem;2;0.0597
vaatama kui hästi;2;0.0597
elama mingi aeg;2;0.0597
ütlema et laps;2;0.0597
külmkapp uks lahti;2;0.0597
24 tund seadus;2;0.0597
mees naine vaheline;2;0.0597
inimene olema erinev;2;0.0597
mismoodi tema rääkima;2;0.0597
hästi ei tundma;2;0.0597
samm see suund;2;0.0597
kutsuma see naine;2;0.0597
kaks väike laps;2;0.0597
oskama nagu ütlema;2;0.0597
ütlema et võtma;2;0.0597
jälle järgmine neljapäev;2;0.0597
seniks kõik hea;2;0.0597
avalikkus ei teadma;2;0.0597
valmis kersti kaljulaid;2;0.0597
kersti kaljulaid toetama;2;0.0597
nimelt jüri ratas;2;0.0597
leppima see tähendama;2;0.0597
asi et esiteks;2;0.0597
riik kinnisvara aktsiaselts;2;0.0597
tehtud 2000 seitsmeteistkümnes;2;0.0597
signe kivi samm;2;0.0597
asi mis toimuma;2;0.0597
ekre mis tähendama;2;0.0597
moodustama valitsus ekre;2;0.0597
tegelikult see pilt;2;0.0597
hea meel rääkima;2;0.0597
vedama see asi;2;0.0597
inimene saama aitama;2;0.0597
tahtma minema ajalugu;2;0.0597
mõtlema mina tahtma;2;0.0597
süda see jutuajamine;2;0.0597
aasta lõpp viimane;2;0.0597
lõpp viimane saade;2;0.0597
täna mina rääkima;2;0.0597
okei sina küsima;2;0.0597
kellaaeg ja sünnikoht;2;0.0597
õhtu kell 11;2;0.0597
tegelikult olema inimene;2;0.0597
inimene ei panema;2;0.0597
mõtlema kogu aeg;2;0.0597
puu ja punane;2;0.0597
hästi oluline asi;2;0.0597
asi mis inimene;2;0.0597
inimene olema hästi;2;0.0597
aeg laps saamine;2;0.0597
nägema et inimene;2;0.0597
astroloog liit leht;2;0.0597
lugema ja mõtlema;2;0.0597
hea kui halb;2;0.0597
ütlema et no;2;0.0597
olukord ei tohtima;2;0.0597
kindlasti väga oluline;2;0.0597
hind mina arvama;2;0.0597
hind ja tegelikult;2;0.0597
hind olema tegelikult;2;0.0597
venima hästi pikk;2;0.0597
tegelikult see õige;2;0.0597
hind olema paik;2;0.0597
tegelikult päris hea;2;0.0597
kuu või aasta;2;0.0597
hind olema õige;2;0.0597
eesmärk olema paik;2;0.0597
panema hind vale;2;0.0597
panema raadio käima;2;0.0597
tegemine olema tegelikult;2;0.0597
tahtma see hind;2;0.0597
tekkima rohkem huviline;2;0.0597
okei mina mõtlema;2;0.0597
ilus suvi jätkuma;2;0.0597
võimalus olema loomulikult;2;0.0597
pöörduma ja küsima;2;0.0597
sobima sinna ettevõte;2;0.0597
inimene olema väga-väga;2;0.0597
asi olema tehtud;2;0.0597
kindlasti olema oluline;2;0.0597
teema ja inimene;2;0.0597
tamm ja arko;2;0.0597
vaatama või kuulma;2;0.0597
kuulma see vebinari;2;0.0597
panema üks väike;2;0.0597
e-raamat selline nipp;2;0.0597
täna mitu erinev;2;0.0597
inimene vaid erinev;2;0.0597
lõik mis puudutama;2;0.0597
puudutama kinnisvaramaakleritöö inimene;2;0.0597
andma sina täna;2;0.0597
tahtma sina inspireerima;2;0.0597
inspireerima siis mõtlema;2;0.0597
mõtlema eriti aeg;2;0.0597
teadma 50000 töötu;2;0.0597
50000 töötu inimene;2;0.0597
tahtma olema koondatud;2;0.0597
tegelikult tahtma täna;2;0.0597
täna justkui esitama;2;0.0597
link olema siinsamas;2;0.0597
siinsamas siis facebook;2;0.0597
facebook see kommentaarium;2;0.0597
kommentaarium ja lisama;2;0.0597
lisama oma email;2;0.0597
email mina saatma;2;0.0597
saatma see tasu;2;0.0597
ütlema siis nipp;2;0.0597
e-raamat sina otse;2;0.0597
lubama mina tervitama;2;0.0597
täna kõigepealt kristel;2;0.0597
kristel leanika järve;2;0.0597
leanika järve arko;2;0.0597
tartu kinnisvarabüroo vanemmaakler;2;0.0597
kinnisvarabüroo vanemmaakler marge;2;0.0597
luik alustama tegelikult;2;0.0597
alustama tegelikult algus;2;0.0597
kinnisvara juurde jõudma;2;0.0597
jõudma mina küsima;2;0.0597
küsima ki leanika;2;0.0597
teistmoodi ei unistus;2;0.0597
kindlasti kunagi lapsepõlv;2;0.0597
tegelikult isegi natukene;2;0.0597
natukene võib-olla juhuslikult;2;0.0597
sattuma üks mess;2;0.0597
kaubamärk nagu remax;2;0.0597
nii-öelda lähemalt uurima;2;0.0597
lähemalt uurima sõitma;2;0.0597
sõitma isegi tenver;2;0.0597
inspireerima ja motiveerima;2;0.0597
motiveerima oluliselt kiiremini;2;0.0597
kiiremini see samm;2;0.0597
frantsiis täiesti kinnisvarakriis;2;0.0597
kinnisvarakriis ajal eesti;2;0.0597
ajal eesti turg;2;0.0597
eesti turg marge;2;0.0597
20 aasta rääkima;2;0.0597
rääkima see algus;2;0.0597
mäletama lausa esimene;2;0.0597
lausa esimene päev;2;0.0597
esimene päev kinnisvaramaakler;2;0.0597
kinnisvaramaakler mina teadma;2;0.0597
tegutsema see ala;2;0.0597
aeg otepää hotell;2;0.0597
hotell see graafik;2;0.0597
ütlema et proovima;2;0.0597
käima tema paar;2;0.0597
20 aasta esiteks;2;0.0597
professionaal ja ekspert;2;0.0597
huvitav jah esimene;2;0.0597
jälle koroona okei;2;0.0597
okei võib-olla kriis;2;0.0597
maakler siis kriisiolukord;2;0.0597
kinnisvarabüroo küll maakler;2;0.0597
otsima maakler paar;2;0.0597
maakler paar sõna;2;0.0597
tunnistama et lapsepõlv;2;0.0597
lapsepõlv mina kinnisvara;2;0.0597
arengupool see õppimine;2;0.0597
õppimine pool sed;2;0.0597
toetama edukas inimene;2;0.0597
soovima ja tahtma;2;0.0597
tahtma see võimalus;2;0.0597
võimalus olema tooma;2;0.0597
tooma mina täna;2;0.0597
aasta tagasi saabuma;2;0.0597
kinnisvarabüroo noorem maakler;2;0.0597
maakler ja üheksa;2;0.0597
tegelikult mitu kord;2;0.0597
loobuma sest tegelikult;2;0.0597
tegelikult mina tunduma;2;0.0597
juht võtma lihtsalt;2;0.0597
allaandmine siis hallandja;2;0.0597
tänulik see tark;2;0.0597
nägema üle 17;2;0.0597
äri ja üldse;2;0.0597
tegelikult mina kindlasti;2;0.0597
kuulama mina inimene;2;0.0597
maakleriäri väga mõtlema;2;0.0597
sõna sina lihtsalt;2;0.0597
infovahetus võib-olla lihtne;2;0.0597
lihtne sõna kuulaja;2;0.0597
sõna kuulaja selge;2;0.0597
asi mis maakler;2;0.0597
juht muidugi inimene;2;0.0597
mõtlema esialgu nii-öelda;2;0.0597
nii-öelda see maakler;2;0.0597
natukene ja näitama;2;0.0597
näitama ka paar;2;0.0597
esitlus aga tegelikkus;2;0.0597
tegelikkus olema maakleritöö;2;0.0597
inimene tulema kinnisvaraäri;2;0.0597
töö nii põnev;2;0.0597
areng olema tohutu;2;0.0597
silmaring laiendamine täpselt;2;0.0597
laiendamine täpselt samamoodi;2;0.0597
maakler pidama ühtepidi;2;0.0597
õppima ju nii-öelda;2;0.0597
nii-öelda klient leidmine;2;0.0597
õppima ise turundamine;2;0.0597
