ngram;count;freq_per_100_n-gramms
eesti puuetega inimeste;22;0.0423
mehed ei nuta;18;0.0346
no selles mõttes;17;0.0327
jutud rohelises stuudios;10;0.0192
no ma arvan;9;0.0173
puuetega inimeste kojas;8;0.0154
puuetega inimeste koja;8;0.0154
no ma ütlen;8;0.0154
konsultant ja koolitaja;6;0.0115
tegelikult ma arvan;6;0.0115
tegelikult selles mõttes;6;0.0115
täpselt sama asi;6;0.0115
tegelikult ei tea;6;0.0115
sõna otseses mõttes;6;0.0115
tahtsin seda öelda;6;0.0115
varem või hiljem;6;0.0115
aega terve päeva;6;0.0115
terve päeva vaeva;6;0.0115
küsimus kas eesti;5;0.0096
koolitaja tõnu toomberg;5;0.0096
no see ongi;5;0.0096
arvan et tegelikult;5;0.0096
intervjueeris ja monteeris;5;0.0096
maa on ümmargune;5;0.0096
räägime väga olulisest;5;0.0096
siim sander vene;5;0.0096
eesti puuete inimeste;5;0.0096
kuus neli seitse;5;0.0096
neli seitse kaheksa;5;0.0096
seitse kaheksa null;5;0.0096
kaheksa null viis;5;0.0096
soome ralli võit;4;0.0077
tõnu toompark kinnisvaraanalüütik;4;0.0077
lihtsalt ei tea;4;0.0077
puuetega inimeste organisatsioonide;4;0.0077
mõtlesin et äkki;4;0.0077
puust ja punaseks;4;0.0077
öö ja päev;4;0.0077
mõtlesin et kurat;4;0.0077
aru et okei;4;0.0077
kindlasti ma arvan;4;0.0077
eesti mälu instituut;4;0.0077
monteeris jakob rosi;4;0.0077
neli või viis;4;0.0077
tõde ja õigus;4;0.0077
kuus üks viis;4;0.0077
olulisest asjast nimelt;4;0.0077
vana kooli rubriik;4;0.0077
kasumile mulle eesmärgiks;4;0.0077
anna mulle andeks;4;0.0077
koha juurde number;4;0.0077
onu jopska tasku;4;0.0077
95 pluss miinus;4;0.0077
pluss miinus kaks;4;0.0077
kinnisvaraanalüütik ja kinnisvarakooli;4;0.0077
kohalike omavalitsuste sotsiaalvaldkonna;4;0.0077
aasta pärast uuesti;4;0.0077
hea ja halb;4;0.0077
tallinna kõrgeimal mäel;4;0.0077
sõna on rahu;4;0.0077
armastus on rahu;4;0.0077
tean kelleks tahan;4;0.0077
plussid ja miinused;3;0.0058
tegelikult minu arust;3;0.0058
vastust sellele küsimusele;3;0.0058
delfist eesti päevalehest;3;0.0058
no ei tea;3;0.0058
küsimus number seitse;3;0.0058
inimestel on vaja;3;0.0058
lõunast tere õhtust;3;0.0058
üldiselt ma arvan;3;0.0058
täpselt ei mäleta;3;0.0058
kolm või neli;3;0.0058
tegelikult väga hästi;3;0.0058
aastat vana lugu;3;0.0058
üro puuetega inimeste;3;0.0058
puuetega inimeste koda;3;0.0058
asi mis inimestel;3;0.0058
tea ma arvan;3;0.0058
no see kõlab;3;0.0058
head kinnisvarahuvilised heidame;3;0.0058
kinnisvarahuvilised heidame täna;3;0.0058
lihtsalt ei suuda;3;0.0058
lihtsalt ei viitsi;3;0.0058
mõttes on hästi;3;0.0058
hästi suur asi;3;0.0058
öelda ma arvan;3;0.0058
tead ma arvan;3;0.0058
elu on näidanud;3;0.0058
avaliku elu tegelane;3;0.0058
lihtsalt selles mõttes;3;0.0058
hästi suur probleem;3;0.0058
urmas eero liiv;3;0.0058
mõttes on hea;3;0.0058
inimesed kes elavad;3;0.0058
ongi see vaata;3;0.0058
tänavani teed viivad;3;0.0058
inimesed on tegelikult;3;0.0058
kaks aastat hiljem;3;0.0058
lihtsalt ma tahtsin;3;0.0058
viis või kuus;3;0.0058
täpselt ei tea;3;0.0058
uuspõld läheb tartusse;3;0.0058
koha peale vaatama;3;0.0058
häda ja viletsus;3;0.0058
vaata see ongi;3;0.0058
the sound track;3;0.0058
head uut aastat;3;0.0058
eesmärgiks olla paljutahuline;3;0.0058
kolm korda nädalas;3;0.0058
sapka mägi onu;3;0.0058
tuulelohena hõljuda kaugele;3;0.0058
tegelikult on võimalik;3;0.0058
no minu arust;3;0.0058
tea ma lihtsalt;3;0.0058
inimeste kojas eesti;3;0.0058
puuete inimeste koda;3;0.0058
telekas tuleb muretseda;3;0.0058
vaeva teistele laena;3;0.0058
vaeva teistele laenad;3;0.0058
tea ei no;3;0.0058
hinda pole räägivad;3;0.0058
räägivad et hindamatu;3;0.0058
mees vormis sinise;3;0.0058
