ngram;count;freq_per_100_n-gramms
tartu noorsootöö keskuse;10;0.0242
vaatasite vaadake teinekord;9;0.0218
teinekord ikka jälle;8;0.0193
no ma arvan;8;0.0193
hästi palju erinevaid;7;0.0169
head uut aastat;7;0.0169
no selles mõttes;6;0.0145
aru et okei;6;0.0145
varem või hiljem;6;0.0145
hästi kuulmiseni nägemiseni;6;0.0145
mehe ja naise;6;0.0145
täpselt ei tea;6;0.0145
ema ja isa;6;0.0145
arko vara kinnisvarabüroo;6;0.0145
turg on aktiivne;6;0.0145
sõna otseses mõttes;6;0.0145
eesti noorte vaimse;5;0.0121
noorte vaimse tervise;5;0.0121
head sõbrad suur;5;0.0121
no ma ütleks;5;0.0121
grete ning tänases;4;0.0097
tartu noorsootöö keskus;4;0.0097
ilusat päeva jätku;4;0.0097
inimene kes oskab;4;0.0097
hea või halb;4;0.0097
stuudiosse head sõbrad;4;0.0097
sõbrad suur rõõm;4;0.0097
hea meel tervitada;4;0.0097
head sõbrad täna;4;0.0097
kindlasti ma arvan;4;0.0097
inimesed kes täna;4;0.0097
puuduta mind saade;4;0.0097
2000 seitsmeteistkümnendal aastal;4;0.0097
aitame inimestel kodusid;4;0.0097
nullist ma arvan;4;0.0097
tahan midagi rohkemat;4;0.0097
müüa vahetada üürida;4;0.0097
tänases saates räägime;4;0.0097
ütles et elari;4;0.0097
aru et tegelikult;4;0.0097
vaimse tervise mured;4;0.0097
eesti elu paremaks;4;0.0097
tunne et okei;4;0.0097
selga roosa kleidi;4;0.0097
kolm korda päevas;4;0.0097
puuduta mind saatesse;3;0.0073
tallinnas ja tartus;3;0.0073
tahan seda asja;3;0.0073
inimesed kes töötavad;3;0.0073
laps on väärtus;3;0.0073
aeg on piiratud;3;0.0073
hästi palju inimesi;3;0.0073
suurima hea meelega;3;0.0073
õpetajate keskmine palk;3;0.0073
jälle olge terved;3;0.0073
grete ning tänaseks;3;0.0073
ütleb et kuule;3;0.0073
tahan koolis käia;3;0.0073
sobib ühte tüüpi;3;0.0073
tegelikult ei tea;3;0.0073
mees ja naine;3;0.0073
rõõm teid jälle;3;0.0073
no kõige olulisem;3;0.0073
müüs selle hinnaga;3;0.0073
100 kuni 150000;3;0.0073
äri selle suure;3;0.0073
täna arko vara;3;0.0073
inimesed kes tegelikult;3;0.0073
õhtust armsad vaatajad;3;0.0073
tea mis asi;3;0.0073
nimi on elari;3;0.0073
osta müüa vahetada;3;0.0073
täpselt sama hästi;3;0.0073
räägi natuke lähemalt;3;0.0073
erinevaid muid asju;3;0.0073
täna ei jõua;3;0.0073
60 minuti tööaja;3;0.0073
kuulama järjekordset noorte;3;0.0073
no sa ütlesid;3;0.0073
noored on hukas;3;0.0073
vene keelt kõnelevad;3;0.0073
vaba aega veeta;3;0.0073
eesmärke ellu viia;3;0.0073
noorte vaimset tervist;3;0.0073
näha et tegelikult;3;0.0073
tegelikult väga paljud;3;0.0073
vaimset tervist hoida;3;0.0073
mõtled et issand;3;0.0073
inimene kes tegeleb;3;0.0073
otsad kokku tõmbame;3;0.0073
viimase paari aasta;3;0.0073
mõtlesin et okei;3;0.0073
järjekordset noorte akna;3;0.0073
noorte akna episoodi;3;0.0073
paneb selga roosa;3;0.0073
aasta ema tiitlit;3;0.0073
rahulolu uuringu tulemused;3;0.0073
kinnisvara väärtust tõsta;3;0.0073
võimalikult palju mineraalaineid;3;0.0073
söön kolm korda;3;0.0073
vaimse tervise liikumise;2;0.0048
hästi-hästi meelde jäänud;2;0.0048
tuletada et kindlasti;2;0.0048
hea edasi liikuda;2;0.0048
silma peal hoida;2;0.0048
hea meel öelda;2;0.0048
informatsiooni edasi anda;2;0.0048
20 30 aastat;2;0.0048
kahjuks või õnneks;2;0.0048
tegelikult ka aasta;2;0.0048
mõte ja tunne;2;0.0048
lõpuks ümber häälestatud;2;0.0048
inimesed saavad aru;2;0.0048
70 80 protsenti;2;0.0048
räägime üle maailma;2;0.0048
mõtleb ta tahab;2;0.0048
tahab ja vajab;2;0.0048
kuulajad ja vaatajad;2;0.0048
no ma kujutan;2;0.0048
suur tänu kuulamast;2;0.0048
18 kuni 30;2;0.0048
ongi kõige olulisem;2;0.0048
tekkis kohe küsimus;2;0.0048
võimalikult kiiresti tegeleda;2;0.0048
lihtne kaks asja;2;0.0048
keskmise pensioni tulumaksuvabastus;2;0.0048
makse ei tõsta;2;0.0048
no tänasel päeval;2;0.0048
esimest korda elus;2;0.0048
viis korda päevas;2;0.0048
rõõm teid näha;2;0.0048
asi jõuab kohtusse;2;0.0048
haridus ja teadusministeerium;2;0.0048
lapsevanemad annavad nõusoleku;2;0.0048
õpetaja on vaktsineeritud;2;0.0048
keelduvad oma last;2;0.0048
tulebki võtta aega;2;0.0048
tegutseme selle nimel;2;0.0048
räägime mõne sõnaga;2;0.0048
räägime paar sõna;2;0.0048
sotsiaaldemokraatliku erakonna fraktsioon;2;0.0048
erakonna fraktsioon lakkas;2;0.0048
kontekstist välja rebitud;2;0.0048
kaks aastat hiljem;2;0.0048
terved kuulmiseni nägemiseni;2;0.0048
räägime noorte kaasamisest;2;0.0048
tartu noorsoote keskuse;2;0.0048
asju välja mõelda;2;0.0048
õpid saad aru;2;0.0048
no see ongi;2;0.0048
pane ennast kirja;2;0.0048
kuule ma vaatasin;2;0.0048
noorte iga päev;2;0.0048
kevad oli huvitav;2;0.0048
asju on võimalik;2;0.0048
võimalik selles mõttes;2;0.0048
lahendusi ja võimalusi;2;0.0048
tartu noorsootöökeskuse kodulehelt;2;0.0048
leiad rohkem infot;2;0.0048
vaata kui hästi;2;0.0048
tunned ennast halvasti;2;0.0048
24 tunni seadus;2;0.0048
inimesed on erinevad;2;0.0048
hästi ei tunne;2;0.0048
kaks väikest last;2;0.0048
oskad nagu öelda;2;0.0048
jälle järgmisel neljapäeval;2;0.0048
seniks kõike head;2;0.0048
avalikkus ei tea;2;0.0048
nimelt jüri ratase;2;0.0048
leppima see tähendab;2;0.0048
asja et esiteks;2;0.0048
ongi väga raske;2;0.0048
signe kivi samm;2;0.0048
ekre mis tähendab;2;0.0048
inimesed kes vajavad;2;0.0048
südamest selle jutuajamise;2;0.0048
paljud inimesed täpselt;2;0.0048
hommikul või õhtul;2;0.0048
õhtul kell 11;2;0.0048
inimene ei pane;2;0.0048
hästi oluline asi;2;0.0048
leiab selle õige;2;0.0048
peabki tegema tööd;2;0.0048
üldse ei meeldi;2;0.0048
ütleme et no;2;0.0048
olukorda ei tohi;2;0.0048
vaata see ongi;2;0.0048
hind ja tegelikult;2;0.0048
viis kuni 10;2;0.0048
tegelikult päris hea;2;0.0048
hind on õige;2;0.0048
eesmärk on paigas;2;0.0048
paned hinna valeks;2;0.0048
tegemine on tegelikult;2;0.0048
