ngram;count;freq_per_60_min
eesti puuetega inimeste;22;0.5095
mehed ei nuta;18;0.4169
no selles mõttes;17;0.3937
jutud rohelises stuudios;10;0.2316
no ma arvan;9;0.2084
puuetega inimeste kojas;8;0.1853
puuetega inimeste koja;8;0.1853
no ma ütlen;8;0.1853
konsultant ja koolitaja;6;0.1390
tegelikult ma arvan;6;0.1390
tegelikult selles mõttes;6;0.1390
täpselt sama asi;6;0.1390
tegelikult ei tea;6;0.1390
sõna otseses mõttes;6;0.1390
tahtsin seda öelda;6;0.1390
varem või hiljem;6;0.1390
aega terve päeva;6;0.1390
terve päeva vaeva;6;0.1390
küsimus kas eesti;5;0.1158
koolitaja tõnu toomberg;5;0.1158
no see ongi;5;0.1158
arvan et tegelikult;5;0.1158
intervjueeris ja monteeris;5;0.1158
maa on ümmargune;5;0.1158
räägime väga olulisest;5;0.1158
siim sander vene;5;0.1158
eesti puuete inimeste;5;0.1158
kuus neli seitse;5;0.1158
neli seitse kaheksa;5;0.1158
seitse kaheksa null;5;0.1158
kaheksa null viis;5;0.1158
soome ralli võit;4;0.0926
tõnu toompark kinnisvaraanalüütik;4;0.0926
lihtsalt ei tea;4;0.0926
puuetega inimeste organisatsioonide;4;0.0926
mõtlesin et äkki;4;0.0926
puust ja punaseks;4;0.0926
öö ja päev;4;0.0926
mõtlesin et kurat;4;0.0926
aru et okei;4;0.0926
kindlasti ma arvan;4;0.0926
eesti mälu instituut;4;0.0926
monteeris jakob rosi;4;0.0926
neli või viis;4;0.0926
tõde ja õigus;4;0.0926
kuus üks viis;4;0.0926
olulisest asjast nimelt;4;0.0926
vana kooli rubriik;4;0.0926
kasumile mulle eesmärgiks;4;0.0926
anna mulle andeks;4;0.0926
koha juurde number;4;0.0926
onu jopska tasku;4;0.0926
95 pluss miinus;4;0.0926
pluss miinus kaks;4;0.0926
kinnisvaraanalüütik ja kinnisvarakooli;4;0.0926
kohalike omavalitsuste sotsiaalvaldkonna;4;0.0926
aasta pärast uuesti;4;0.0926
hea ja halb;4;0.0926
tallinna kõrgeimal mäel;4;0.0926
sõna on rahu;4;0.0926
armastus on rahu;4;0.0926
tean kelleks tahan;4;0.0926
plussid ja miinused;3;0.0695
tegelikult minu arust;3;0.0695
vastust sellele küsimusele;3;0.0695
delfist eesti päevalehest;3;0.0695
no ei tea;3;0.0695
küsimus number seitse;3;0.0695
inimestel on vaja;3;0.0695
lõunast tere õhtust;3;0.0695
üldiselt ma arvan;3;0.0695
täpselt ei mäleta;3;0.0695
kolm või neli;3;0.0695
tegelikult väga hästi;3;0.0695
aastat vana lugu;3;0.0695
üro puuetega inimeste;3;0.0695
puuetega inimeste koda;3;0.0695
asi mis inimestel;3;0.0695
tea ma arvan;3;0.0695
no see kõlab;3;0.0695
head kinnisvarahuvilised heidame;3;0.0695
kinnisvarahuvilised heidame täna;3;0.0695
lihtsalt ei suuda;3;0.0695
lihtsalt ei viitsi;3;0.0695
mõttes on hästi;3;0.0695
hästi suur asi;3;0.0695
öelda ma arvan;3;0.0695
tead ma arvan;3;0.0695
elu on näidanud;3;0.0695
avaliku elu tegelane;3;0.0695
lihtsalt selles mõttes;3;0.0695
hästi suur probleem;3;0.0695
urmas eero liiv;3;0.0695
mõttes on hea;3;0.0695
inimesed kes elavad;3;0.0695
ongi see vaata;3;0.0695
tänavani teed viivad;3;0.0695
inimesed on tegelikult;3;0.0695
kaks aastat hiljem;3;0.0695
lihtsalt ma tahtsin;3;0.0695
viis või kuus;3;0.0695
täpselt ei tea;3;0.0695
uuspõld läheb tartusse;3;0.0695
koha peale vaatama;3;0.0695
häda ja viletsus;3;0.0695
vaata see ongi;3;0.0695
the sound track;3;0.0695
head uut aastat;3;0.0695
eesmärgiks olla paljutahuline;3;0.0695
kolm korda nädalas;3;0.0695
sapka mägi onu;3;0.0695
tuulelohena hõljuda kaugele;3;0.0695
tegelikult on võimalik;3;0.0695
no minu arust;3;0.0695
tea ma lihtsalt;3;0.0695
inimeste kojas eesti;3;0.0695
puuete inimeste koda;3;0.0695
telekas tuleb muretseda;3;0.0695
vaeva teistele laena;3;0.0695
vaeva teistele laenad;3;0.0695
tea ei no;3;0.0695
hinda pole räägivad;3;0.0695
räägivad et hindamatu;3;0.0695
mees vormis sinise;3;0.0695
näed tallinna kõrgeimal;3;0.0695
sõnad rahuks valatud;3;0.0695
tahan saada armastuseks;3;0.0695
lõppenud tahaks teada;3;0.0695
jõudnud õhtu tund;3;0.0695
tund see laul;3;0.0695
head vana aasta;3;0.0695
õppida vene keelt;3;0.0695
esimene armastus jääb;3;0.0695
värvi on armastus;3;0.0695
head kuulamist jutud;2;0.0463
kuulamist jutud rohelises;2;0.0463
esimest korda elus;2;0.0463
vaatasin seda filmi;2;0.0463
mets võetakse maha;2;0.0463
täpselt sel hetkel;2;0.0463
jaa selles mõttes;2;0.0463
ongi sa tahad;2;0.0463
mõtlesin et tahaks;2;0.0463
ongi väga hea;2;0.0463
ongi minu koht;2;0.0463
nuta tere teisipäeva;2;0.0463
jaan martinson delfist;2;0.0463
martinson delfist eesti;2;0.0463
öelda et pensionärid;2;0.0463
õige või vale;2;0.0463
jõudnud üle-eelmise aasta;2;0.0463
üle-eelmise aasta tasemele;2;0.0463
no mina ütlen;2;0.0463
paar päeva hiljem;2;0.0463
hea kolleeg madis;2;0.0463
ütleme 50 aasta;2;0.0463
võtta eelmise aasta;2;0.0463
tõsta ei absoluutselt;2;0.0463
küsimus kas anett;2;0.0463
kolm väga head;2;0.0463
täpselt nii kaua;2;0.0463
juhkami ja keit;2;0.0463
küsimus number viis;2;0.0463
bc kalev cramo;2;0.0463
tegelikult päris hea;2;0.0463
eesti kergejõustiklased võidavad;2;0.0463
arvan et kindlasti;2;0.0463
küsimus number kaheksa;2;0.0463
tea mis asjade;2;0.0463
küsimus number üheksa;2;0.0463
küsimus number 10;2;0.0463
kristina šmigun vähi;2;0.0463
hommikust tere lõunast;2;0.0463
öelda ma tean;2;0.0463
arust on hästi;2;0.0463
vanasti oli vaja;2;0.0463
arvan et asi;2;0.0463
vaja rohkem talenti;2;0.0463
15 aastat harjutanud;2;0.0463
mõttes ja samamoodi;2;0.0463
kaks kolm neli;2;0.0463
nojah selles mõttes;2;0.0463
maailm on tegelikult;2;0.0463
lihtsalt ei jõua;2;0.0463
lihtsalt peaks jätkama;2;0.0463
kõla nii hästi;2;0.0463
kuule ma tahaks;2;0.0463
arvan ja okei;2;0.0463
raadiost või kuskilt;2;0.0463
kirjutad selle nimel;2;0.0463
ongi hästi lihtne;2;0.0463
muusika ei kõla;2;0.0463
kõlab nagu valmis;2;0.0463
spotify top 10;2;0.0463
inimene kes teab;2;0.0463
lihtsalt see vend;2;0.0463
hästi hea näide;2;0.0463
spotify top 10.;2;0.0463
kõlab väga hästi;2;0.0463
näiteks et tulebki;2;0.0463
20 aastat hiljem;2;0.0463
arvad kui vanad;2;0.0463
ongi see platvorm;2;0.0463
otsi kokku tõmbama;2;0.0463
puuetega inimeste komitee;2;0.0463
puuetega inimeste õiguste;2;0.0463
inimeste õiguste konventsiooni;2;0.0463
elu ja kogukonda;2;0.0463
lumi on sadanud;2;0.0463
normaalse elu osa;2;0.0463
annab sulle teada;2;0.0463
tea kas üldse;2;0.0463
paned konna vette;2;0.0463
tea mis asja;2;0.0463
natuke teine teema;2;0.0463
suunas selles mõttes;2;0.0463
kasutavad seda uut;2;0.0463
asi ma arvan;2;0.0463
inimesed saaksid aru;2;0.0463
maakera on lapik;2;0.0463
täna magasin vähe;2;0.0463
tean et osad;2;0.0463
heidame täna jälle;2;0.0463
täna jälle pilgu;2;0.0463
toimub siin vestlevad;2;0.0463
tehingute arv maha;2;0.0463
