ngram;count;freq_per_60_min
tartu noorsootöö keskuse;10;0.2984
vaatasite vaadake teinekord;9;0.2686
teinekord ikka jälle;8;0.2388
no ma arvan;8;0.2388
hästi palju erinevaid;7;0.2089
head uut aastat;7;0.2089
no selles mõttes;6;0.1791
aru et okei;6;0.1791
varem või hiljem;6;0.1791
hästi kuulmiseni nägemiseni;6;0.1791
mehe ja naise;6;0.1791
täpselt ei tea;6;0.1791
ema ja isa;6;0.1791
arko vara kinnisvarabüroo;6;0.1791
turg on aktiivne;6;0.1791
sõna otseses mõttes;6;0.1791
eesti noorte vaimse;5;0.1492
noorte vaimse tervise;5;0.1492
head sõbrad suur;5;0.1492
no ma ütleks;5;0.1492
grete ning tänases;4;0.1194
tartu noorsootöö keskus;4;0.1194
ilusat päeva jätku;4;0.1194
inimene kes oskab;4;0.1194
hea või halb;4;0.1194
stuudiosse head sõbrad;4;0.1194
sõbrad suur rõõm;4;0.1194
hea meel tervitada;4;0.1194
head sõbrad täna;4;0.1194
kindlasti ma arvan;4;0.1194
inimesed kes täna;4;0.1194
puuduta mind saade;4;0.1194
2000 seitsmeteistkümnendal aastal;4;0.1194
aitame inimestel kodusid;4;0.1194
nullist ma arvan;4;0.1194
tahan midagi rohkemat;4;0.1194
müüa vahetada üürida;4;0.1194
tänases saates räägime;4;0.1194
ütles et elari;4;0.1194
aru et tegelikult;4;0.1194
vaimse tervise mured;4;0.1194
eesti elu paremaks;4;0.1194
tunne et okei;4;0.1194
selga roosa kleidi;4;0.1194
kolm korda päevas;4;0.1194
puuduta mind saatesse;3;0.0895
tallinnas ja tartus;3;0.0895
tahan seda asja;3;0.0895
inimesed kes töötavad;3;0.0895
laps on väärtus;3;0.0895
aeg on piiratud;3;0.0895
hästi palju inimesi;3;0.0895
suurima hea meelega;3;0.0895
õpetajate keskmine palk;3;0.0895
jälle olge terved;3;0.0895
grete ning tänaseks;3;0.0895
ütleb et kuule;3;0.0895
tahan koolis käia;3;0.0895
sobib ühte tüüpi;3;0.0895
tegelikult ei tea;3;0.0895
mees ja naine;3;0.0895
rõõm teid jälle;3;0.0895
no kõige olulisem;3;0.0895
müüs selle hinnaga;3;0.0895
100 kuni 150000;3;0.0895
äri selle suure;3;0.0895
täna arko vara;3;0.0895
inimesed kes tegelikult;3;0.0895
õhtust armsad vaatajad;3;0.0895
tea mis asi;3;0.0895
nimi on elari;3;0.0895
osta müüa vahetada;3;0.0895
täpselt sama hästi;3;0.0895
räägi natuke lähemalt;3;0.0895
erinevaid muid asju;3;0.0895
täna ei jõua;3;0.0895
60 minuti tööaja;3;0.0895
kuulama järjekordset noorte;3;0.0895
no sa ütlesid;3;0.0895
noored on hukas;3;0.0895
vene keelt kõnelevad;3;0.0895
vaba aega veeta;3;0.0895
eesmärke ellu viia;3;0.0895
noorte vaimset tervist;3;0.0895
näha et tegelikult;3;0.0895
tegelikult väga paljud;3;0.0895
vaimset tervist hoida;3;0.0895
mõtled et issand;3;0.0895
inimene kes tegeleb;3;0.0895
otsad kokku tõmbame;3;0.0895
viimase paari aasta;3;0.0895
mõtlesin et okei;3;0.0895
järjekordset noorte akna;3;0.0895
noorte akna episoodi;3;0.0895
paneb selga roosa;3;0.0895
aasta ema tiitlit;3;0.0895
rahulolu uuringu tulemused;3;0.0895
kinnisvara väärtust tõsta;3;0.0895
võimalikult palju mineraalaineid;3;0.0895
söön kolm korda;3;0.0895
vaimse tervise liikumise;2;0.0597
hästi-hästi meelde jäänud;2;0.0597
tuletada et kindlasti;2;0.0597
hea edasi liikuda;2;0.0597
silma peal hoida;2;0.0597
hea meel öelda;2;0.0597
informatsiooni edasi anda;2;0.0597
20 30 aastat;2;0.0597
kahjuks või õnneks;2;0.0597
tegelikult ka aasta;2;0.0597
mõte ja tunne;2;0.0597
