episode_id,section_index,gender,minutes,tunnus,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,no,"Ja vanaema õpetas tegelikult mind lugema ka , aga aga kokkuvõttes , no ma ei kahetse ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,no,"Meil nüüd hullult plaanid , viskame mingi kondoome lavalt , no see see õnneks ei läinud niimoodi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,no,"Et mingit natsiembleeniga oli kõik meil riiete küljes ja aga no see oli kunst ikkagi , see oli ju päris elu või mitte päris elu , aga ju kõigest on ju tehtud filme ja miks mitte siis teha muusikali , et see oli selline , kui mul pärast seda pilatust millegipärast ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,no,"Et aga no mul oli ka selline loll oinakus , et tegin lõpuni juba tagantjärgi , ma ei oleks teinud lõpuni ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,no,"Ma tegin ja see ese põhjal ei võetud mind , no ma sobisin väga hästi sinna kaitseväkke , ses mõttes Et tervislikke probleeme mul ei olnud nii-öelda , aga eks onu Heino oleks minu juures kindlasti õigus natukene ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,no,"Et esimene nädal oli kuidagi väga kurb No kuidagi kodust eemal aga siis harjusin ära ja mind seal Tallinna Tartu , Valgamaa vahelt liikumine hoidis alati kuidagi vormis ja mind see suur linn kuidagi nagu ei häirinud , et ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,no,"Lihtne , et sul seal tegelikult tõesti vist vedasid , täpselt , sel hetkel tekkis selline vaba töökoht ja , ja sai , sai sinna keskkonnaspetsialistiks ja tõrva , et no kas sa kujutasid ette , et ühe keskkonnaspetsialisti töö võib olla selline nagu sul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,no,"Vald oli väga hästi enne mind juba pakendi konteineritega ära ära kaetud , mis nüüd selgus , et või no mida ma veidi juba teadsin siis , et väga vähe tegelikult , et töödetakse ümber , neid asju on ju , see on hoopis teine teema ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,no,"Ja ja eks väga palju asju niimoodi , et , No mida mina ka õppisin ametniku töökohal , et tegelikult alati on ju hea öelda , et ma ei tea , sellega tegeleb hoopis keskkonnaamet , selle teelõiguga tegeleb hoopis maa-amet ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,no,"Nii et Eestis on ind räpp hetkel , et ma isegi vahepeal mõtlesin , et tahaks kuulata mingit head popmuusikat , aga no nii vähe on lihtsalt aukarit ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Lühikese aja jooksul see Eesti 200 suutis teha teise niiuguse idiootse asja nagu järjest , et palju õnne neile ja ma loodan , et nad ei ületa seda viie protsendi künnist , et no see on mingi mingi koomikute ja , ja , ja mujal läbi kukkunud inimeste ühendus Ja ja see oli järve taseme nende taseme näitaja oligi see loll ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Tegelikult ma tunnistan ausalt täpselt , et võibolla seal on mingid kahtlased asju küll , aga , aga ma ütlen veelkord , et see nagu ei , ei vähenda sugugi seda poolt , et ütleme , poliitiliselt on neil nagu asjas nagu õigus , et kui nende kõrvale panna mingid õiged ja tugevad majandusmehed , siis , siis ma arvan , see on ikkagi okei variant , aga ma ütleks praktikas siiski , aitas see projekt suust , ma arvan Loe eilset Leo Kunnase intervjuud , no ainult puhas kuld oli seal kõik kõikide asjade sisuliselt kirjutas kahe käega alla ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Nagu meil on tähtsad , et inimesed arvasid , meil on tähtsad aasta ennustused ja teha täna see aasta , no just mina muidugi olen kõige parem ennustaja ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Et mis see möödapanek saab olla , mis sellise augu No no seal ei olnud , seal ei olnud plaani , sa ei saa , terviseprobleemid saavad olla , aga ükski uuring ei näidanud ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Et mis see möödapanek saab olla , mis sellise augu No no seal ei olnud , seal ei olnud plaani , sa ei saa , terviseprobleemid saavad olla , aga ükski uuring ei näidanud ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Nojah , no no põhimõtteliselt sa , sa ei saanud lihtsalt treenida nii nagu vaja , võib-olla sa treenisid natuke liiga ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Nojah , no no põhimõtteliselt sa , sa ei saanud lihtsalt treenida nii nagu vaja , võib-olla sa treenisid natuke liiga ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"No ja no see võibki nii-öelda haamer tulla , aga , aga tõesti ei oska meie siin öelda ja , ja ilvesed ise ei oska seda enam , aga tähtis on nüüd siit kenasti edasi minna , nagu ma ütlesin ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Ei , seda muidugi , aga no ütleme praegu , et arvestades kõike seda , neid asjaolusid , hooaja alguse probleeme , siis praegu see Otepää võistlus oli kokkuvõttes ikkagi pigem positiivne , näitas , et ütleme see hooaeg päris raisus ei ole , näiteks mina olin enne seda võistlus absoluutselt kindel , et see hooaeg on täiesti raisus ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Ei , no pigem oli tunne juba , et , et miks ta üldse ronib sinna ja ja nii edasi ja nii edasi , eks see emotsioon oli selline , et uh ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Ja , ja kusjuures , kui me vaatame , kui palju neid on osalejaid , siis no ütleme niimoodi , et , et väga see vigursuusatamisega või , või siis priistall suusatamisega ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Üsna piiri peal muidugi on , kui hakata kõrvuti seadma noh kindlasti harrastajate osas muidugi okei , no suusatamine on jällegi osa kahevõistlusest , aga noh , kui sa puhta kahevõistluse hüpped võtad , siis siis muidugi võrdluses vigursuusatajaid ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,no,"Täna koos naiskonnaga siis üle lahe Soome , kus siis homme otsustav mäng toimub , et , et ma arvan küll , et see on nagu , ütleme Eesti pallimängude mõttes üks viimaste aegade suuremaid mänge nii-öelda kindlasti , et niisugust elu ja surma peale mängu sellisel tasemel Tuleb väga harva ette ja , ja erakordset see , et , et ega naised ei ole ju kunagi midagi saanud , et no nüüd ükskord võimalik , tõesti see naiskond saabki sinna finaalturniiri ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,no,"Ei , no ma arvan , et see on nii väike , tühine , tühine ke ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,no,"Ja aga no selge see , et see oli suur asi ja , ja selles suhtes ma väga nagu ei , kuigi ma ise panin ka oti esimest , ma väga ei vaidlustanud ka Magnus Kirdi seda , seda võitu nii , aga , ja nüüd sinule väike nähvakas ja ma arvan , see on ka õigustatud muidugi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,no,"Ja kui ta veel võidab , no vot siis siis hakkame üldse arutama , et kas ta võiks olla üldse Eesti parim sportlane ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,no,"Ja mulle meeldib ka anda mänge vist natuke rohkem olla ja kalender , no nüüd viimane kuu on muidugi kuidagi väga hõredaks ."
