episode_id;section_index;gender;minutes;absolut_freq;freq_per_1000_tokens
20190101;2;M;38.38016666666667;1;0.002855951517367041
20190102;4;M;4.514666666666669;1;0.002855951517367041
20190108;1;M;24.004166666666663;1;0.002855951517367041
20190108;5;M;20.710666666666665;1;0.002855951517367041
20190109;1;F;41.34983333333333;1;0.0034804035876000185
20190115;2;M;14.613833333333332;1;0.002855951517367041
20190115;3;M;8.922666666666665;1;0.002855951517367041
20190823;0;F;9.627666666666666;1;0.0034804035876000185
20190823;1;F;23.29866666666667;1;0.0034804035876000185
20190904;0;M;10.242;1;0.002855951517367041
20190904;1;M;19.144999999999996;1;0.002855951517367041
20190908;0;M;21.2325;3;0.008567854552101123
20190908;2;M;20.148166666666665;2;0.005711903034734082
20200105;6;M;5.688999999999998;1;0.002855951517367041
20200105;54;M;0.8953333333333375;1;0.002855951517367041
20200112;7;M;5.909833333333334;1;0.002855951517367041
20200112;69;M;3.1498333333333375;1;0.002855951517367041
20200116;1;F;53.22666666666667;1;0.0034804035876000185
20200124;2;F;28.689000000000004;1;0.0034804035876000185
20200319;0;M;8.516166666666667;1;0.002855951517367041
20200408;0;M;14.914666666666667;2;0.005711903034734082
20200413;3;M;2.255333333333333;1;0.002855951517367041
20200505;15;M;7.989833333333339;1;0.002855951517367041
20200505;18;M;10.637833333333331;1;0.002855951517367041
20200524;6;M;7.1306666666666665;1;0.002855951517367041
20200608;0;F;24.0745;2;0.006960807175200037
20200730;3;M;4.040999999999999;1;0.002855951517367041
20200827;0;F;24.511333333333333;2;0.006960807175200037
20200920;3;M;1.2746666666666668;1;0.002855951517367041
20201108;10;M;2.2346666666666652;1;0.002855951517367041
20201203;10;F;2.0106666666666646;1;0.0034804035876000185
20201213;4;F;9.696999999999996;1;0.0034804035876000185
20201213;5;F;10.43616666666666;2;0.006960807175200037
20201231;6;M;13.087999999999996;2;0.005711903034734082
20210106;0;F;24.734166666666667;1;0.0034804035876000185
20210112;0;F;18.557333333333336;1;0.0034804035876000185
20210131;3;M;20.593;1;0.002855951517367041
20210131;5;M;20.441;1;0.002855951517367041
20210208;4;M;5.677833333333333;2;0.005711903034734082
20210220;2;F;48.436166666666665;1;0.0034804035876000185
20210220;4;F;37.53383333333333;1;0.0034804035876000185
20210313;0;M;54.761;4;0.011423806069468164
20210318;0;F;25.348166666666668;1;0.0034804035876000185
20210318;2;F;19.540166666666664;1;0.0034804035876000185
20210321;0;M;41.82983333333333;4;0.011423806069468164
20210321;1;M;21.388166666666667;2;0.005711903034734082
20210322;1;F;29.687333333333335;1;0.0034804035876000185
20210404;0;M;52.372166666666665;2;0.005711903034734082
20210405;3;F;28.698666666666668;1;0.0034804035876000185
20210413;1;M;3.460166666666667;1;0.002855951517367041
20210413;2;M;24.133833333333335;1;0.002855951517367041
20210413;3;M;17.469833333333334;1;0.002855951517367041
20210413;5;M;46.16899999999999;5;0.014279757586835206
20210416;2;F;12.289000000000003;1;0.0034804035876000185
20210416;3;M;0.55783333333333;1;0.002855951517367041
20210416;5;M;17.14183333333333;1;0.002855951517367041
20210419;2;F;20.404166666666665;1;0.0034804035876000185
20210422;0;M;83.633;4;0.011423806069468164
20210519;4;F;3.9178333333333337;2;0.006960807175200037
20210519;5;F;21.693833333333338;1;0.0034804035876000185
20210603;0;F;33.215333333333334;2;0.006960807175200037
20210614;3;F;13.800833333333332;1;0.0034804035876000185
20210620;1;F;44.687333333333335;1;0.0034804035876000185
20210701;0;F;25.375;1;0.0034804035876000185
20210727;1;F;26.025333333333332;1;0.0034804035876000185
20210729;0;F;31.861333333333334;1;0.0034804035876000185
20210908;0;F;25.0925;1;0.0034804035876000185
20210912;12;M;1.800999999999999;1;0.002855951517367041
20210927;4;M;2.7818333333333336;1;0.002855951517367041
20211018;10;M;11.049;1;0.002855951517367041
20220104;3;M;25.564166666666665;1;0.002855951517367041
20220104;4;M;2.4730000000000016;1;0.002855951517367041
20220203;0;F;23.404166666666665;2;0.006960807175200037
20220206;2;M;14.377;1;0.002855951517367041
20220206;18;M;40.13216666666667;2;0.005711903034734082
20220217;3;F;21.296;2;0.006960807175200037
20220220;2;F;32.540166666666664;1;0.0034804035876000185
20220222;0;F;26.673;1;0.0034804035876000185
20220223;0;F;25.137;1;0.0034804035876000185
20220308;0;F;17.593000000000004;2;0.006960807175200037
20220308;2;F;15.383333333333333;1;0.0034804035876000185
