episode_id;section_index;gender;minutes;absolut_freq;freq_per_1000_tokens
20190101;2;M;38.38016666666667;3;0.008567854552101123
20190101;4;M;70.77066666666666;4;0.011423806069468164
20190102;0;M;4.7108333333333325;2;0.005711903034734082
20190102;2;M;37.60733333333334;2;0.005711903034734082
20190102;5;M;2.9161666666666664;1;0.002855951517367041
20190102;8;M;0.4810000000000002;1;0.002855951517367041
20190102;13;M;14.116166666666665;2;0.005711903034734082
20190102;16;M;1.425;1;0.002855951517367041
20190108;1;M;24.004166666666663;2;0.005711903034734082
20190108;2;M;21.29866666666667;2;0.005711903034734082
20190108;5;M;20.710666666666665;1;0.002855951517367041
20190109;1;F;41.34983333333333;8;0.027843228700800148
20190115;1;M;4.868166666666666;1;0.002855951517367041
20190115;6;M;20.665000000000003;3;0.008567854552101123
20190115;8;M;5.863333333333336;2;0.005711903034734082
20190117;0;F;41.64533333333333;7;0.024362825113200128
20190204;0;F;36.162;5;0.017402017938000093
20190204;1;F;6.474666666666667;1;0.0034804035876000185
20190307;3;F;12.514666666666669;1;0.0034804035876000185
20190408;0;F;39.77;1;0.0034804035876000185
20190408;2;F;11.229833333333334;2;0.006960807175200037
20190408;5;F;12.764166666666664;1;0.0034804035876000185
20190417;1;F;12.842666666666668;2;0.006960807175200037
20190417;2;F;4.082666666666667;2;0.006960807175200037
20190904;7;M;5.0089999999999995;1;0.002855951517367041
20190908;0;M;21.2325;1;0.002855951517367041
20200112;4;M;2.353;1;0.002855951517367041
20200112;69;M;3.1498333333333375;1;0.002855951517367041
20200116;1;F;53.22666666666667;3;0.010441210762800055
20200124;1;F;31.314666666666668;2;0.006960807175200037
20200124;2;F;28.689000000000004;2;0.006960807175200037
20200413;1;M;3.7433333333333336;1;0.002855951517367041
20200505;12;M;2.129;1;0.002855951517367041
20200524;34;M;13.362666666666662;1;0.002855951517367041
20200807;1;M;5.0169999999999995;1;0.002855951517367041
20201130;1;F;9.525833333333331;1;0.0034804035876000185
20210112;2;F;1.3129999999999995;1;0.0034804035876000185
20210124;7;M;8.882666666666667;3;0.008567854552101123
20210131;3;M;20.593;1;0.002855951517367041
20210131;11;M;3.49216666666667;1;0.002855951517367041
20210208;8;M;4.639333333333331;1;0.002855951517367041
20210313;0;M;54.761;4;0.011423806069468164
20210318;1;F;6.0778333333333325;2;0.006960807175200037
20210321;0;M;41.82983333333333;1;0.002855951517367041
20210405;3;F;28.698666666666668;2;0.006960807175200037
20210413;2;M;24.133833333333335;1;0.002855951517367041
20210413;5;M;46.16899999999999;1;0.002855951517367041
20210419;2;F;20.404166666666665;1;0.0034804035876000185
20210419;5;F;23.804166666666664;1;0.0034804035876000185
20210422;0;M;83.633;9;0.025703563656303368
20210502;63;M;1.1353333333333315;1;0.002855951517367041
20210614;1;F;27.909833333333335;2;0.006960807175200037
20210614;3;F;13.800833333333332;1;0.0034804035876000185
20210620;1;F;44.687333333333335;1;0.0034804035876000185
20210727;1;F;26.025333333333332;1;0.0034804035876000185
20210908;0;F;25.0925;1;0.0034804035876000185
20210912;21;M;10.868166666666667;2;0.005711903034734082
20210928;0;M;20.077333333333335;1;0.002855951517367041
20210928;3;M;1.908499999999996;1;0.002855951517367041
20211018;4;M;9.509833333333331;1;0.002855951517367041
20211018;8;M;7.345000000000004;1;0.002855951517367041
20211018;22;M;2.9658333333333453;1;0.002855951517367041
20220104;0;M;6.2645;1;0.002855951517367041
20220106;11;M;10.21866666666667;4;0.011423806069468164
20220204;1;F;40.18816666666667;2;0.006960807175200037
20220206;6;M;15.423333333333334;1;0.002855951517367041
20220206;18;M;40.13216666666667;3;0.008567854552101123
20220217;3;F;21.296;1;0.0034804035876000185
20220222;0;F;26.673;3;0.010441210762800055
20220223;0;F;25.137;1;0.0034804035876000185
20220308;2;F;15.383333333333333;1;0.0034804035876000185
