lemma;raw_count;freq_per_60_min
siis;4050;93.801
ka;3319;76.870
nii;1944;45.024
seal;1757;40.693
ju;1601;37.080
väga;1573;36.432
noh;1526;35.343
kas;1466;33.954
nüüd;1395;32.309
siin;1282;29.692
lihtsalt;1266;29.321
tegelikult;1264;29.275
kuidas;946;21.910
ikkagi;934;21.632
jah;933;21.609
ära;925;21.424
palju;874;20.242
võib-olla;871;20.173
veel;784;18.158
välja;758;17.556
juba;755;17.486
kus;738;17.093
mitte;733;16.977
ikka;656;15.193
praegu;645;14.939
just;623;14.429
hästi;613;14.197
küll;576;13.341
eks;575;13.317
niimoodi;540;12.507
rohkem;536;12.414
nii-öelda;535;12.391
vist;480;11.117
sinna;474;10.978
edasi;440;10.191
üldse;438;10.144
isegi;437;10.121
ei;431;9.982
päris;429;9.936
miks;427;9.890
täna;406;9.403
kuidagi;377;8.732
muidugi;373;8.639
natuke;372;8.616
kõige;366;8.477
täpselt;366;8.477
kindlasti;365;8.454
sellepärast;359;8.315
sealt;334;7.736
enam;318;7.365
kohe;315;7.296
onju;299;6.925
läbi;295;6.832
kokku;292;6.763
ainult;285;6.601
kuskil;282;6.531
alati;280;6.485
jälle;277;6.416
põhimõtteliselt;262;6.068
vaja;260;6.022
täiesti;258;5.975
ette;254;5.883
äkki;253;5.860
tõesti;251;5.813
kunagi;247;5.721
pigem;246;5.698
näiteks;224;5.188
tagasi;210;4.864
vahepeal;206;4.771
natukene;204;4.725
kusjuures;198;4.586
sisse;191;4.424
ühesõnaga;183;4.238
vähemalt;182;4.215
lõpuks;180;4.169
üle;167;3.868
ehk;167;3.868
siia;162;3.752
samamoodi;162;3.752
peale;160;3.706
või;160;3.706
maha;152;3.520
üles;148;3.428
enne;147;3.405
ilmselt;143;3.312
liiga;143;3.312
absoluutselt;138;3.196
siit;137;3.173
muidu;134;3.104
iganes;134;3.104
eriti;133;3.080
umbes;133;3.080
kaasa;126;2.918
koos;120;2.779
kinni;118;2.733
lahti;117;2.710
täitsa;113;2.617
alles;111;2.571
üsna;111;2.571
vastu;107;2.478
juurde;107;2.478
loomulikult;103;2.386
vähe;102;2.362
sees;101;2.339
alla;101;2.339
varem;98;2.270
ega;91;2.108
päriselt;91;2.108
nõus;90;2.084
jaa;89;2.061
kaua;89;2.061
samas;86;1.992
hoopis;85;1.969
kuskilt;82;1.899
vaid;81;1.876
kuhu;81;1.876
uuesti;80;1.853
ise;79;1.830
siiski;79;1.830
hiljem;75;1.737
võibolla;71;1.644
paremini;71;1.644
järjest;67;1.552
siiamaani;65;1.505
kuskile;64;1.482
suhteliselt;63;1.459
ringi;62;1.436
kust;62;1.436
ükskõik;61;1.413
teistmoodi;61;1.413
väga-väga;59;1.366
jällegi;59;1.366
vähem;58;1.343
millal;58;1.343
korraks;57;1.320
kuhugi;57;1.320
otsa;56;1.297
tõenäoliselt;56;1.297
ees;53;1.228
valesti;53;1.228
üldiselt;52;1.204
vaikselt;50;1.158
kõvasti;49;1.135
ausalt;49;1.135
täis;49;1.135
kahjuks;49;1.135
nimelt;49;1.135
omavahel;47;1.089
eile;47;1.089
kiiresti;47;1.089
tavaliselt;47;1.089
valmis;46;1.065
kõigepealt;46;1.065
esiteks;43;0.996
tihti;43;0.996
varsti;42;0.973
eraldi;42;0.973
vahel;42;0.973
vanasti;41;0.950
õigesti;41;0.950
otseselt;41;0.950
halvasti;40;0.926
ammu;40;0.926
piisavalt;40;0.926
ennem;40;0.926
vahele;39;0.903
taga;39;0.903
pihta;39;0.903
ilmselgelt;39;0.903
korraga;39;0.903
enam-vähem;38;0.880
nagunii;38;0.880
igatahes;38;0.880
peal;36;0.834
sisuliselt;36;0.834
küllaltki;36;0.834
iseenesest;36;0.834
kõrvale;36;0.834
järsku;36;0.834
kasvõi;35;0.811
ümber;35;0.811
kaasas;35;0.811
niisama;35;0.811
niikuinii;35;0.811
reaalselt;34;0.787
seega;34;0.787
pikalt;33;0.764
pärast;33;0.764
vastupidi;33;0.764
las;33;0.764
niivõrd;33;0.764
