lemma;raw_count;freq_per_60_min
asi;1927;44.631
inimene;1272;29.460
aeg;995;23.045
aasta;981;22.721
mõte;946;21.910
lugu;822;19.038
aru;512;11.858
teema;444;10.283
näide;415;9.612
elu;407;9.426
kord;385;8.917
küsimus;371;8.593
saade;349;8.083
hetk;342;7.921
päev;337;7.805
muusika;332;7.689
mees;325;7.527
koht;319;7.388
osa;298;6.902
maailm;298;6.902
töö;287;6.647
käsi;265;6.138
nimi;236;5.466
tunne;227;5.257
mina;218;5.049
film;209;4.841
raha;208;4.817
kurat;203;4.702
mäng;200;4.632
tee;191;4.424
jutt;181;4.192
kool;175;4.053
pea;173;4.007
algus;173;4.007
kodu;170;3.937
vend;170;3.937
meel;167;3.868
keel;160;3.706
probleem;159;3.683
lõpp;158;3.659
võimalus;158;3.659
sõna;158;3.659
kuu;158;3.659
juht;144;3.335
naine;141;3.266
number;141;3.266
pilt;140;3.242
laps;136;3.150
suht;136;3.150
nädal;134;3.104
värk;132;3.057
armastus;131;3.034
tund;130;3.011
olukord;129;2.988
pool;128;2.965
sõber;125;2.895
maa;123;2.849
laul;120;2.779
eestlane;120;2.779
kogemus;117;2.710
vahe;115;2.663
kuulaja;110;2.548
räpp;108;2.501
silm;108;2.501
siuke;102;2.362
poiss;101;2.339
bakter;100;2.316
auto;99;2.293
raamat;98;2.270
tase;98;2.270
klubi;98;2.270
kiri;95;2.200
muusik;95;2.200
idee;94;2.177
kell;93;2.154
punkt;93;2.154
toode;92;2.131
protsent;91;2.108
jumal;90;2.084
rahvas;87;2.015
onu;87;2.015
süda;87;2.015
riik;86;1.992
õhtu;85;1.969
tüüp;85;1.969
põhjus;84;1.945
stuudio;83;1.922
tänapäev;83;1.922
tervis;83;1.922
pluss;83;1.922
keha;82;1.899
video;81;1.876
tegemine;79;1.830
internet;78;1.807
nägu;77;1.783
turg;76;1.760
ala;76;1.760
bänd;76;1.760
linn;75;1.737
vastus;75;1.737
plaan;75;1.737
ema;74;1.714
album;74;1.714
arst;74;1.714
hooaeg;72;1.668
vesi;71;1.644
huvi;71;1.644
venelane;71;1.644
ööklubi;71;1.644
näitleja;70;1.621
veits;70;1.621
artist;70;1.621
õnn;69;1.598
plaat;69;1.598
täis;68;1.575
telefon;68;1.575
toit;68;1.575
tükk;65;1.505
valik;64;1.482
arvamus;64;1.482
tudeng;63;1.459
hind;61;1.413
mängija;61;1.413
ülikool;60;1.390
variant;60;1.390
tulevik;60;1.390
kokkuvõte;59;1.366
otsus;59;1.366
minut;59;1.366
eesmärk;59;1.366
pidu;59;1.366
küla;58;1.343
hääl;58;1.343
ettevõte;58;1.343
emotsioon;57;1.320
suvi;57;1.320
hommik;57;1.320
klass;57;1.320
info;57;1.320
tähelepanu;56;1.297
projekt;56;1.297
ensüüm;56;1.297
vanem;55;1.274
uudis;55;1.274
enamus;55;1.274
roll;54;1.251
arvuti;54;1.251
laud;54;1.251
samm;54;1.251
piir;54;1.251
medal;54;1.251
maja;53;1.228
euro;53;1.228
koostöö;53;1.228
seltskond;53;1.228
kriis;53;1.228
tulemus;52;1.204
tere;52;1.204
üritus;52;1.204
õigus;51;1.181
lahendus;51;1.181
korter;51;1.181
isa;51;1.181
tüdruk;51;1.181
koroona;51;1.181
pank;51;1.181
kultuur;51;1.181
vinüül;51;1.181
võit;50;1.158
puue;50;1.158
raadio;49;1.135
soovitus;49;1.135
lava;48;1.112
nali;48;1.112
vorm;48;1.112
ruum;48;1.112
lisa;48;1.112
top;48;1.112
süsteem;48;1.112
telekas;47;1.089
suu;47;1.089
sportlane;47;1.089
lood;47;1.089
abi;46;1.065
kõrv;46;1.065
suund;46;1.065
häda;46;1.065
noor;45;1.042
seis;45;1.042
külg;45;1.042
point;45;1.042
live;45;1.042
viga;44;1.019
valitsus;44;1.019
episood;44;1.019
kõne;44;1.019
mets;43;0.996
hirm;43;0.996
soov;43;0.996
mure;43;0.996
viis;43;0.996
laen;43;0.996
aju;43;0.996
tipp;43;0.996
mask;43;0.996
alus;42;0.973
pood;42;0.973
leht;42;0.973
ots;42;0.973
surm;42;0.973
suhe;42;0.973
puu;42;0.973
meedia;42;0.973
muutus;41;0.950
energia;41;0.950
sport;41;0.950
meeskond;41;0.950
korvpall;41;0.950
kontsert;41;0.950
välismaa;41;0.950
pull;40;0.926
reklaam;40;0.926
mood;40;0.926
võistlus;40;0.926
tegevus;40;0.926
selg;39;0.903
auk;39;0.903
ralli;39;0.903
lause;39;0.903
ühiskond;39;0.903
november;39;0.903
tänav;38;0.880
kasu;38;0.880
värv;38;0.880
tiim;38;0.880
seisukoht;38;0.880
pere;37;0.857
valdkond;37;0.857
kommentaar;37;0.857
treener;37;0.857
protsess;37;0.857
paik;37;0.857
sitt;37;0.857
kassett;37;0.857
taust;36;0.834
jalgpall;36;0.834
klient;36;0.834
sõnum;36;0.834
heli;36;0.834
koda;36;0.834
tasku;35;0.811
sein;35;0.811
märk;35;0.811
artikkel;35;0.811
ajalugu;35;0.811
öö;35;0.811
uks;35;0.811
formaat;35;0.811
pakkumine;35;0.811
haigus;34;0.787
teater;34;0.787
jalg;34;0.787
keskkond;34;0.787
naiskond;34;0.787
finaal;34;0.787
vaev;34;0.787
värav;34;0.787
soolestik;34;0.787
tõde;33;0.764
jama;33;0.764
teadmine;33;0.764
sound;33;0.764
hiphop;33;0.764
kõht;33;0.764
puhastus;33;0.764
ring;32;0.741
intervjuu;32;0.741
toon;32;0.741
paber;32;0.741
tegelane;32;0.741
sisu;32;0.741
vestlus;32;0.741
olemus;32;0.741
õpilane;32;0.741
leping;32;0.741
tuba;32;0.741
vana;32;0.741
nurk;32;0.741
kiirabi;32;0.741
omanik;32;0.741
periood;31;0.718
kinnisvara;31;0.718
perspektiiv;31;0.718
loom;30;0.695
minek;30;0.695
kana;30;0.695
teenus;30;0.695
miinus;30;0.695
hing;30;0.695
toetus;30;0.695
reegel;30;0.695
stiil;30;0.695
lennuk;30;0.695
erivajadus;30;0.695
mulje;29;0.672
lootus;29;0.672
žanr;29;0.672
biit;29;0.672
plaadifirma;29;0.672
vaktsiin;29;0.672
valgus;29;0.672
päike;29;0.672
palk;28;0.648
loodus;28;0.648
kahju;28;0.648
sõda;28;0.648
olümpia;28;0.648
võistkond;28;0.648
saal;28;0.648
tõenäosus;28;0.648
viirus;28;0.648
rahu;28;0.648
tekst;28;0.648
vaataja;28;0.648
kevad;28;0.648
mõistus;28;0.648
kuulamine;27;0.625
põhi;27;0.625
rütm;27;0.625
arve;27;0.625
teekond;27;0.625
jõud;27;0.625
kivi;27;0.625
koer;27;0.625
kuju;27;0.625
programm;27;0.625
koondis;27;0.625
oskus;27;0.625
stress;27;0.625
fakt;27;0.625
poodkast;27;0.625
lind;27;0.625
mikrobioom;27;0.625
tegu;26;0.602
valu;26;0.602
hoog;26;0.602
vale;26;0.602
kraam;26;0.602
uuring;26;0.602
punt;26;0.602
liiga;26;0.602
staar;26;0.602
kast;26;0.602
mägi;26;0.602
väljakutse;26;0.602
kaader;26;0.602
laine;26;0.602
sügis;25;0.579
õpetaja;25;0.579
tuli;25;0.579
firma;25;0.579
moment;25;0.579
hull;25;0.579
kurss;25;0.579
rida;25;0.579
õhk;25;0.579
trenn;25;0.579
alaliit;25;0.579
sündmus;25;0.579
meeter;25;0.579
liige;25;0.579
määr;25;0.579
platvorm;25;0.579
politsei;25;0.579
tänu;25;0.579
müür;25;0.579
duubel;25;0.579
lõhn;25;0.579
