lemma;raw_count;freq_per_60_min
hea;805;18.644
suur;508;11.766
kogu;471;10.909
uus;407;9.426
vana;314;7.272
väike;271;6.277
erinev;255;5.906
huvitav;239;5.535
järgmine;211;4.887
õige;199;4.609
eelmine;187;4.331
viimane;176;4.076
kõva;155;3.590
tehtud;151;3.497
võimalik;148;3.428
halb;147;3.405
raske;143;3.312
tore;128;2.965
terve;124;2.872
ilus;120;2.779
pikk;117;2.710
kindel;113;2.617
äge;109;2.525
lihtne;105;2.432
tänane;95;2.200
korralik;95;2.200
selge;94;2.177
oluline;88;2.038
positiivne;86;1.992
puhas;82;1.899
noor;82;1.899
naljakas;67;1.552
tähtis;61;1.413
täis;60;1.390
praegune;59;1.366
lahe;57;1.320
normaalne;57;1.320
tavaline;57;1.320
mõnus;55;1.274
tugev;54;1.251
põnev;53;1.228
kiire;51;1.181
keeruline;50;1.158
sarnane;50;1.158
ainuke;47;1.089
tubli;45;1.042
valmis;45;1.042
antud;45;1.042
vale;44;1.019
seotud;43;0.996
teatud;43;0.996
aus;43;0.996
konkreetne;42;0.973
päris;41;0.950
hull;40;0.926
vaba;39;0.903
kallis;38;0.880
tõsine;38;0.880
loll;37;0.857
vägev;37;0.857
tühi;37;0.857
must;36;0.834
kohalik;36;0.834
jube;33;0.764
imelik;32;0.741
värske;32;0.741
soe;32;0.741
kerge;31;0.718
vajalik;31;0.718
kollane;31;0.718
külm;30;0.695
mõttetu;30;0.695
aastane;29;0.672
negatiivne;29;0.672
tohutu;29;0.672
keskmine;29;0.672
sisuline;29;0.672
kõrge;29;0.672
valge;28;0.648
kurb;28;0.648
aktiivne;28;0.648
tark;28;0.648
kole;28;0.648
roheline;27;0.625
lai;27;0.625
isiklik;27;0.625
täielik;27;0.625
eri;26;0.602
eriline;25;0.579
loogiline;25;0.579
surnud;24;0.556
haige;24;0.556
mõistlik;24;0.556
füüsiline;24;0.556
reaalne;24;0.556
oma;23;0.533
segane;23;0.533
legendaarne;23;0.533
kuulus;23;0.533
ühine;22;0.510
õnnelik;22;0.510
ainus;22;0.510
tervislik;21;0.486
klassikaline;21;0.486
kasulik;21;0.486
põhiline;21;0.486
eestikeelne;21;0.486
jõhker;21;0.486
valus;20;0.463
suvaline;20;0.463
kehv;20;0.463
elus;20;0.463
sinine;20;0.463
punane;20;0.463
lame;20;0.463
sügav;20;0.463
ülejäänud;19;0.440
tehniline;19;0.440
lõbus;19;0.440
populaarne;18;0.417
üldine;18;0.417
tuttav;18;0.417
kvaliteetne;18;0.417
valitud;18;0.417
võimas;18;0.417
avatud;17;0.394
rumal;17;0.394
paha;17;0.394
rahvusvaheline;17;0.394
kogenud;17;0.394
mega;17;0.394
vaimne;17;0.394
igav;17;0.394
ainukene;17;0.394
avalik;16;0.371
hall;16;0.371
räige;16;0.371
ideaalne;16;0.371
vaene;16;0.371
ümmargune;16;0.371
kaunis;16;0.371
endine;15;0.347
aktuaalne;15;0.347
edukas;15;0.347
rõõmus;15;0.347
teadlik;15;0.347
meeldiv;15;0.347
päikseline;15;0.347
otsene;14;0.324
madal;14;0.324
arenenud;14;0.324
rikas;14;0.324
spetsiifiline;14;0.324
suurepärane;14;0.324
pime;14;0.324
kuum;14;0.324
meelelahutuslik;14;0.324
pidev;14;0.324
tuntud;13;0.301
kummaline;13;0.301
loomulik;13;0.301
piinlik;13;0.301
olev;13;0.301
homne;13;0.301
julm;13;0.301
vaikne;13;0.301
kaine;12;0.278
võõras;12;0.278
igapäevane;12;0.278
müstiline;12;0.278
tulevane;12;0.278
sisemine;11;0.255
rahulik;11;0.255
kitsas;11;0.255
lühike;11;0.255
täpne;11;0.255
vastav;11;0.255
karm;11;0.255
tänapäevane;11;0.255
loodud;11;0.255
intuitiivne;11;0.255
kuri;10;0.232
üksik;10;0.232
nõrk;10;0.232
vahva;10;0.232
psühholoogiline;10;0.232
üleüldine;10;0.232
võimeline;10;0.232
erakordne;10;0.232
terav;10;0.232
ilmunud;10;0.232
ropp;10;0.232
emotsionaalne;10;0.232
professionaalne;10;0.232
kuiv;10;0.232
ülikõva;10;0.232
metsik;10;0.232
arusaadav;10;0.232
võimatu;10;0.232
sitt;10;0.232
järjekordne;9;0.208
kena;9;0.208
loominguline;9;0.208
paras;9;0.208
ülihea;9;0.208
saadud;9;0.208
rahaline;9;0.208
meeletu;9;0.208
õrn;9;0.208
kriitiline;9;0.208
veider;9;0.208
õudne;9;0.208
senine;9;0.208
vihane;9;0.208
lõputu;9;0.208
taimne;9;0.208
hindamatu;9;0.208
vaheline;8;0.185
uskumatu;8;0.185
rõve;8;0.185
eilne;8;0.185
kodune;8;0.185
täiskasvanud;8;0.185
odav;8;0.185
võrreldav;8;0.185
võrdne;8;0.185
truu;8;0.185
traditsiooniline;8;0.185
hapu;8;0.185
peamine;8;0.185
kaasaegne;8;0.185
elektrooniline;8;0.185
sõbralik;8;0.185
levinud;8;0.185
magus;8;0.185
eelnev;8;0.185
iseseisev;8;0.185
individuaalne;8;0.185
paindlik;8;0.185
vastik;8;0.185
pikaajaline;8;0.185
väikene;8;0.185
ametlik;8;0.185
seitsmene;8;0.185
lõpp;8;0.185
nõme;8;0.185
geniaalne;8;0.185
spirituaalne;8;0.185
väärikas;8;0.185
praktiline;8;0.185
pehme;8;0.185
sportlik;8;0.185
perfektne;8;0.185
ühepoolne;8;0.185
kihvt;8;0.185
lähedane;7;0.162
paks;7;0.162
armas;7;0.162
uhke;7;0.162
kauge;7;0.162
kaetud;7;0.162
üle-eelmine;7;0.162
tihe;7;0.162
mängitud;7;0.162
esmane;7;0.162
hommikune;7;0.162
õhtune;7;0.162
vahepealne;7;0.162
vähene;7;0.162
teaduslik;7;0.162
tavapärane;7;0.162
sugune;7;0.162
analüütiline;7;0.162
lapik;7;0.162
haruldane;7;0.162
tegelik;7;0.162
turuosaline;7;0.162
ebaõnnestunud;7;0.162
pisike;7;0.162
muusikaline;7;0.162
üllatav;7;0.162
arusaamatu;7;0.162
mainitud;7;0.162
väärt;7;0.162
asjalik;7;0.162
roosa;7;0.162
tänulik;7;0.162
taoline;7;0.162
lastud;7;0.162
kuldne;7;0.162
väline;7;0.162
kujutatud;7;0.162
vanune;7;0.162
värviline;7;0.162
mittefüüsiline;7;0.162
mehaaniline;7;0.162
suvine;6;0.139
igavene;6;0.139
lahtine;6;0.139
andekas;6;0.139
ekstra;6;0.139
stabiilne;6;0.139
tõeline;6;0.139
absoluutne;6;0.139
põhjalik;6;0.139
toores;6;0.139
hirmus;6;0.139
olemasolev;6;0.139
paratamatu;6;0.139
romantiline;6;0.139
kange;6;0.139
vastupidine;6;0.139
poliitiline;6;0.139
paljas;6;0.139
vinge;6;0.139
tundmatu;6;0.139
inglisekeelne;6;0.139
silgune;6;0.139
visuaalne;6;0.139
unikaalne;6;0.139
kõlanud;6;0.139
venekeelne;6;0.139
paljutahuline;6;0.139
imeline;6;0.139
pahane;5;0.116
sotsiaalne;5;0.116
majanduslik;5;0.116
humoorikas;5;0.116
popp;5;0.116
kirju;5;0.116
jätkusuutlik;5;0.116
järgnev;5;0.116
tühine;5;0.116
arvestatav;5;0.116
leebe;5;0.116
absurdne;5;0.116
saadetud;5;0.116
lühiajaline;5;0.116
osaline;5;0.116
mugav;5;0.116
põhine;5;0.116
pädev;5;0.116
jäetud;5;0.116
totaalne;5;0.116
piisav;5;0.116
akustiline;5;0.116
skeptiline;5;0.116
ülbe;5;0.116
piiratud;5;0.116
suunatud;5;0.116
tobe;5;0.116
töötatud;5;0.116
kohutav;5;0.116
läbimõeldud;5;0.116
personaalne;5;0.116
lubatud;5;0.116
purjus;5;0.116
kaval;5;0.116
korraldatud;5;0.116
poolik;5;0.116
üllatunud;5;0.116
tegutsev;5;0.116
räme;5;0.116
alasti;5;0.116
maru;5;0.116
siiras;5;0.116
riskantne;5;0.116
kunstiline;5;0.116
teisene;5;0.116
nähtamatu;5;0.116
ettearvamatu;5;0.116
teretulnud;5;0.116
jäme;5;0.116
hullumeelne;5;0.116
olematu;5;0.116
ingliskeelne;5;0.116
neutraalne;5;0.116
ebameeldiv;5;0.116
depressiivne;5;0.116
spetsiaalne;5;0.116
tundlik;5;0.116
vasak;5;0.116
viisakas;4;0.093
ajutine;4;0.093
alternatiivne;4;0.093
potentsiaalne;4;0.093
kahetine;4;0.093
täiendav;4;0.093
ühepäevane;4;0.093
keskne;4;0.093
kolmene;4;0.093
ohtlik;4;0.093
suuteline;4;0.093
ebareaalne;4;0.093
toimuv;4;0.093
harjutanud;4;0.093
vali;4;0.093
hingeline;4;0.093
pettunud;4;0.093
segune;4;0.093
küsitud;4;0.093
passiivne;4;0.093
meditsiiniline;4;0.093
põhimõtteline;4;0.093
rohke;4;0.093
filosoofiline;4;0.093
tüütu;4;0.093
raskekujuline;4;0.093
stressirohke;4;0.093
optimistlik;4;0.093
peen;4;0.093
eelolev;4;0.093
segav;4;0.093
helge;4;0.093
samaväärne;4;0.093
alumine;4;0.093
ühtlane;4;0.093
suhteline;4;0.093
lõtv;4;0.093
ehe;4;0.093
tuline;4;0.093
skandaalne;4;0.093
pakutud;4;0.093
sealne;4;0.093
arg;4;0.093
kunagine;4;0.093
lahke;4;0.093
audio;4;0.093
oodatud;4;0.093
viidud;4;0.093
tundunud;4;0.093
laisk;4;0.093
tekitav;4;0.093
tsiteeritav;4;0.093
totter;4;0.093
