lemma;raw_count;freq_per_60_min
hea;631;18.832
suur;469;13.997
erinev;387;11.550
uus;359;10.714
kogu;299;8.924
oluline;283;8.446
võimalik;274;8.177
noor;239;7.133
õige;193;5.760
väike;183;5.462
viimane;166;4.954
raske;151;4.507
tore;150;4.477
järgmine;133;3.969
eelmine;130;3.880
selge;128;3.820
seotud;118;3.522
vaimne;116;3.462
lihtne;113;3.372
põnev;112;3.343
ilus;107;3.193
huvitav;105;3.134
vana;104;3.104
tänane;98;2.925
äge;93;2.776
tehtud;93;2.776
keeruline;89;2.656
aktiivne;84;2.507
vaba;80;2.388
kindel;78;2.328
terve;74;2.209
pikk;72;2.149
vabatahtlik;69;2.059
keskmine;63;1.880
teatud;63;1.880
tugev;61;1.821
halb;60;1.791
praegune;58;1.731
valmis;55;1.641
konkreetne;55;1.641
positiivne;53;1.582
õnnelik;53;1.582
puhas;49;1.462
vajalik;47;1.403
avalik;45;1.343
suurepärane;44;1.313
tähtis;43;1.283
sisemine;43;1.283
tavaline;43;1.283
edukas;43;1.283
mõnus;43;1.283
tervislik;39;1.164
teadlik;39;1.164
kohalik;39;1.164
tühi;38;1.134
mõistlik;38;1.134
aus;37;1.104
füüsiline;36;1.074
antud;35;1.045
kiire;35;1.045
kõrge;34;1.015
isiklik;33;0.985
arusaadav;31;0.925
lai;31;0.925
peamine;30;0.895
armas;29;0.865
täis;29;0.865
lahe;28;0.836
avatud;28;0.836
tõsine;27;0.806
jube;27;0.806
üldine;27;0.806
üksik;27;0.806
ainuke;27;0.806
praktiline;26;0.776
vale;26;0.776
tubli;26;0.776
sarnane;26;0.776
suunatud;25;0.746
värske;25;0.746
põhiline;24;0.716
ideaalne;24;0.716
punane;24;0.716
pisike;23;0.686
negatiivne;23;0.686
kuum;23;0.686
toksiline;23;0.686
päris;22;0.657
kasulik;22;0.657
pikaajaline;22;0.657
aastane;22;0.657
soe;21;0.627
roheline;21;0.627
reaalne;20;0.597
kurb;20;0.597
eriline;20;0.597
kättesaadav;20;0.597
olev;20;0.597
ühine;20;0.597
kerge;19;0.567
paha;19;0.567
valge;19;0.567
tõeline;19;0.567
rahvusvaheline;19;0.567
toetav;19;0.567
mugav;19;0.567
tark;19;0.567
eri;18;0.537
lühike;18;0.537
korralik;18;0.537
traditsiooniline;18;0.537
kallis;17;0.507
sobiv;17;0.507
magus;17;0.507
populaarne;17;0.507
must;17;0.507
poliitiline;17;0.507
väsinud;16;0.478
eelnev;16;0.478
endine;16;0.478
sügav;16;0.478
hull;16;0.478
imelik;16;0.478
turvaline;16;0.478
lühiajaline;16;0.478
elus;16;0.478
naljakas;16;0.478
vastav;16;0.478
meeldiv;16;0.478
erakorraline;16;0.478
rõõmus;15;0.448
külm;15;0.448
tohutu;15;0.448
otsene;15;0.448
järjekordne;15;0.448
individuaalne;15;0.448
loomne;15;0.448
loodud;15;0.448
rumal;15;0.448
energeetiline;15;0.448
rahulik;15;0.448
emotsionaalne;15;0.448
vahva;14;0.418
haige;14;0.418
sisuline;14;0.418
loogiline;14;0.418
imeline;13;0.388
normaalne;13;0.388
võõras;13;0.388
tuttav;13;0.388
valitud;13;0.388
levinud;13;0.388
täpne;13;0.388
tavapärane;13;0.388
julge;13;0.388
libe;13;0.388
õhtune;12;0.358
tegelik;12;0.358
madal;12;0.358
tuntud;12;0.358
igav;12;0.358
ainus;12;0.358
roosa;12;0.358
alustav;12;0.358
kõikvõimalik;12;0.358
sooline;12;0.358
esmane;12;0.358
kohutav;11;0.328
lähedane;11;0.328
vaheline;11;0.328
oma;11;0.328
olemasolev;11;0.328
täiskasvanud;11;0.328
teatav;11;0.328
professionaalne;11;0.328
sotsiaalne;11;0.328
võimas;11;0.328
loomulik;11;0.328
omavaheline;11;0.328
vähene;11;0.328
uhke;10;0.298
paks;10;0.298
stabiilne;10;0.298
arenenud;10;0.298
võimeline;10;0.298
kohustuslik;10;0.298
igapäevane;10;0.298
pidev;10;0.298
aktuaalne;10;0.298
ettevaatlik;10;0.298
rikas;10;0.298
toores;10;0.298
valus;10;0.298
leitav;10;0.298
kummaline;10;0.298
kole;10;0.298
kogenud;10;0.298
väline;10;0.298
range;10;0.298
ülejäänud;10;0.298
nõrk;9;0.269
juhtiv;9;0.269
möödunud;9;0.269
võimatu;9;0.269
tundlik;9;0.269
omane;9;0.269
suvaline;9;0.269
kehv;9;0.269
kvaliteetne;9;0.269
hirmus;9;0.269
kodune;9;0.269
nähtav;9;0.269
karm;8;0.239
vaikne;8;0.239
materiaalne;8;0.239
sobilik;8;0.239
taoline;8;0.239
elav;8;0.239
klassikaline;8;0.239
ohtlik;8;0.239
väärt;8;0.239
vaene;8;0.239
kahetoaline;8;0.239
atraktiivne;8;0.239
oodatud;8;0.239
tänulik;8;0.239
ilmunud;8;0.239
õiglane;8;0.239
kena;8;0.239
kaitstud;8;0.239
täielik;8;0.239
surnud;8;0.239
vastupidine;8;0.239
eakas;8;0.239
põhjendatud;8;0.239
väärtuslik;8;0.239
seksuaalne;8;0.239
süsteemne;8;0.239
märgiline;7;0.209
ostetud;7;0.209
kõva;7;0.209
alanud;7;0.209
ühekordne;7;0.209
psühholoogiline;7;0.209
juriidiline;7;0.209
lubatud;7;0.209
taimne;7;0.209
hommikune;7;0.209
järgnev;7;0.209
õudne;7;0.209
kevadine;7;0.209
veider;7;0.209
loll;7;0.209
ingliskeelne;7;0.209
tehniline;7;0.209
kolmetoaline;7;0.209
vägev;7;0.209
anonüümne;7;0.209
keerukas;7;0.209
ratsionaalne;7;0.209
armastav;7;0.209
mega;7;0.209
strateegiline;7;0.209
läänelik;7;0.209
südamelähedane;6;0.179
intensiivne;6;0.179
ebakindel;6;0.179
paras;6;0.179
virtuaalne;6;0.179
lõplik;6;0.179
soodne;6;0.179
nunnu;6;0.179
läbimõeldud;6;0.179
paratamatu;6;0.179
ebameeldiv;6;0.179
hooliv;6;0.179
riiklik;6;0.179
liberaalne;6;0.179
piiratud;6;0.179
tasakaalustatud;6;0.179
põhjalik;6;0.179
pingeline;6;0.179
puudutav;6;0.179
ühtne;6;0.179
personaalne;6;0.179
kutsunud;6;0.179
absoluutne;6;0.179
tegus;6;0.179
korrektne;6;0.179
eestikeelne;6;0.179
romantiline;6;0.179
juhtinud;6;0.179
püsiv;6;0.179
rahulolematu;6;0.179
kriitiline;6;0.179
loominguline;6;0.179
peen;6;0.179
hoitud;6;0.179
tulevane;6;0.179
eeskujulik;6;0.179
nõutav;6;0.179
haavatav;6;0.179
