lemma;raw_count;freq_per_60_min
no;1169;27.075
noh;498;11.534
okei;391;9.056
vot;157;3.636
tere;96;2.223
kurat;92;2.131
aitäh;85;1.969
jah;79;1.830
nojah;75;1.737
oh;49;1.135
aa;40;0.926
oi;36;0.834
issand;30;0.695
oot;24;0.556
vaat;19;0.440
vabandust;18;0.417
ai;11;0.255
ahah;8;0.185
tervist;8;0.185
nojaa;7;0.162
ah;7;0.162
oo;6;0.139
jajah;5;0.116
oot-oot;5;0.116
ahaa;5;0.116
aint;4;0.093
jee;4;0.093
halloo;4;0.093
plaks;3;0.069
oi-oi;3;0.069
appi;3;0.069
hou;3;0.069
oot-oot-oot-oot;2;0.046
tšau;2;0.046
raisk;2;0.046
aha;2;0.046
jess;2;0.046
kuss;2;0.046
hia;2;0.046
ata;2;0.046
aoi;2;0.046
hurraa;1;0.023
uh;1;0.023
eii;1;0.023
nägemiseni;1;0.023
oot-?;1;0.023
ohohoo;1;0.023
laksaki;1;0.023
hauha;1;0.023
nätaki;1;0.023
oot-,;1;0.023
ohoo;1;0.023
voh;1;0.023
hie;1;0.023
hõissa;1;0.023
oot-oot-;1;0.023
tsahh;1;0.023
kõll;1;0.023
uhi;1;0.023
oi-oi-oi;1;0.023
oot-oot-oot-oot-oot-oot-oot-oot;1;0.023
hooa;1;0.023
huu;1;0.023
ooohoo;1;0.023
ohh;1;0.023
ahhaa;1;0.023
pumm;1;0.023
kill;1;0.023
aah;1;0.023
hallo;1;0.023
hüvasti;1;0.023
äh;1;0.023
jep;1;0.023
hip;1;0.023
piraki;1;0.023
näh;1;0.023
pöörd;1;0.023
mhm;1;0.023
soo;1;0.023
