lemma;raw_count;freq_per_60_min
no;598;17.847
noh;319;9.520
okei;230;6.864
aitäh;108;3.223
vot;104;3.104
tere;98;2.925
jah;47;1.403
issand;29;0.865
oi;26;0.776
oh;23;0.686
vaat;19;0.567
aa;18;0.537
vabandust;15;0.448
nägemiseni;12;0.358
nojah;8;0.239
ahah;7;0.209
ai;6;0.179
oo;6;0.179
oot;6;0.179
ahaa;5;0.149
kuulmiseni;4;0.119
oot-oot-oot;3;0.090
tervist;3;0.090
huh;2;0.060
jess;2;0.060
hei;2;0.060
ahhaa;2;0.060
st;2;0.060
huu;2;0.060
oot-oot-oot-oot-oot;2;0.060
ha;1;0.030
aha;1;0.030
oot-oot-oot-oot;1;0.030
uh-uh;1;0.030
hops;1;0.030
mhm;1;0.030
raisk;1;0.030
aaa;1;0.030
ühi;1;0.030
kõll;1;0.030
oi-oi-oi-oi;1;0.030
oi-oi-oi;1;0.030
jee;1;0.030
plaks;1;0.030
uhuu;1;0.030
appikene;1;0.030
appi;1;0.030
puh;1;0.030
ohoh;1;0.030
tšau;1;0.030
oih;1;0.030
voh;1;0.030
uh;1;0.030
ooo;1;0.030
ohoo;1;0.030
