lemma;raw_count;freq_per_60_min
olema;23375;541.381
ei;6639;153.764
saama;3100;71.798
tegema;2540;58.828
ütlema;2303;53.339
tulema;1776;41.133
vaatama;1677;38.840
minema;1602;37.103
teadma;1501;34.764
pidama;1254;29.043
rääkima;1105;25.593
tahtma;1097;25.407
võima;1078;24.967
hakkama;925;21.424
arvama;914;21.169
võtma;860;19.918
panema;838;19.409
nägema;736;17.046
mõtlema;723;16.745
käima;702;16.259
andma;524;12.136
jääma;475;11.001
kuulama;451;10.445
kuulma;451;10.445
jõudma;352;8.153
meeldima;324;7.504
küsima;316;7.319
mängima;312;7.226
tunduma;256;5.929
tooma;252;5.836
mäletama;251;5.813
tekkima;243;5.628
oskama;227;5.257
elama;223;5.165
tundma;223;5.165
kirjutama;213;4.933
laskma;211;4.887
toimuma;209;4.841
tähendama;206;4.771
ootama;204;4.725
lugema;198;4.586
juhtuma;187;4.331
leidma;186;4.308
suutma;184;4.262
näitama;166;3.845
uskuma;164;3.798
töötama;161;3.729
võitma;157;3.636
kasutama;156;3.613
muutuma;155;3.590
proovima;153;3.544
ostma;148;3.428
ära;147;3.405
aitama;142;3.289
hoidma;142;3.289
tõmbama;140;3.242
õppima;139;3.219
tegelema;131;3.034
lõpetama;130;3.011
viima;128;2.965
sõitma;128;2.965
sööma;127;2.941
saatma;124;2.872
pakkuma;122;2.826
valima;110;2.548
alustama;109;2.525
jätma;109;2.525
lootma;107;2.478
kujutama;106;2.455
ajama;104;2.409
liikuma;102;2.362
istuma;102;2.362
muutma;97;2.247
üritama;96;2.223
lööma;95;2.200
kutsuma;92;2.131
otsima;91;2.108
vastama;90;2.084
kõlama;88;2.038
soovima;87;2.015
maksma;85;1.969
tekitama;82;1.899
paluma;79;1.830
viskama;77;1.783
jagama;77;1.783
otsustama;71;1.644
kartma;68;1.575
magama;67;1.552
müüma;66;1.529
jätkama;65;1.505
toimima;63;1.459
suhtlema;61;1.413
tohtima;61;1.413
kukkuma;60;1.390
seisma;60;1.390
mõistma;60;1.390
algama;59;1.366
huvitama;59;1.366
kasvama;58;1.343
astuma;57;1.320
kandma;57;1.320
mainima;57;1.320
jooksma;56;1.297
nautima;56;1.297
surema;55;1.274
võrdlema;55;1.274
jälgima;55;1.274
julgema;54;1.251
pääsema;53;1.228
ehitama;53;1.228
kaduma;51;1.181
lahendama;51;1.181
vahetama;51;1.181
lubama;49;1.135
looma;49;1.135
helistama;48;1.112
nutma;48;1.112
eksima;48;1.112
viitsima;48;1.112
sattuma;47;1.089
unustama;47;1.089
sobima;47;1.089
paistma;47;1.089
jooma;47;1.089
kaotama;46;1.065
uurima;46;1.065
tootma;46;1.065
soovitama;45;1.042
hüppama;45;1.042
tõusma;45;1.042
lendama;45;1.042
kestma;44;1.019
laulma;42;0.973
lõppema;41;0.950
kogema;41;0.950
lükkama;40;0.926
keerama;40;0.926
sõltuma;39;0.903
toetama;39;0.903
armastama;38;0.880
arutama;38;0.880
segama;38;0.880
pöörama;38;0.880
salvestama;38;0.880
mõjutama;37;0.857
vajama;37;0.857
seletama;37;0.857
esitama;36;0.834
tasuma;36;0.834
eeldama;36;0.834
vedama;35;0.811
tõstma;35;0.811
päästma;35;0.811
avama;34;0.787
lahkuma;34;0.787
puudutama;33;0.764
sündima;32;0.741
arvestama;32;0.741
avastama;32;0.741
püüdma;32;0.741
asuma;31;0.718
parandama;31;0.718
leppima;31;0.718
lisama;31;0.718
harjuma;30;0.695
vaidlema;30;0.695
tegutsema;30;0.695
märkama;29;0.672
võitlema;29;0.672
eksisteerima;29;0.672
häirima;28;0.648
nimetama;28;0.648
käituma;28;0.648
hindama;28;0.648
kirjeldama;28;0.648
väitma;28;0.648
kannatama;28;0.648
puutuma;27;0.625
karjuma;27;0.625
lõikama;27;0.625
pärima;26;0.602
teenima;25;0.579
täitma;25;0.579
meenutama;25;0.579
tellima;25;0.579
nõudma;25;0.579
kuuluma;25;0.579
ärkama;25;0.579
mõjuma;25;0.579
õpetama;24;0.556
pruukima;24;0.556
õnnestuma;24;0.556
tänama;24;0.556
kontrollima;24;0.556
langema;23;0.533
tabama;23;0.533
vajuma;23;0.533
peksma;23;0.533
põlema;23;0.533
hingama;23;0.533
nõustuma;23;0.533
olenema;22;0.510
jalutama;22;0.510
muretsema;22;0.510
suunama;22;0.510
tunnistama;22;0.510
püsima;22;0.510
puuduma;22;0.510
avaldama;22;0.510
esinema;22;0.510
tarbima;22;0.510
räppima;22;0.510
naerma;21;0.486
arendama;21;0.486
ilmuma;21;0.486
keskenduma;21;0.486
tõestama;21;0.486
usaldama;20;0.463
vabandama;20;0.463
arenema;20;0.463
tapma;20;0.463
kolima;19;0.440
selguma;19;0.440
jätkuma;19;0.440
kiitma;18;0.417
juhtima;18;0.417
kõndima;18;0.417
panustama;18;0.417
kohtuma;18;0.417
korjama;18;0.417
guugeldama;18;0.417
fermenteerima;18;0.417
seadma;17;0.394
harjutama;17;0.394
kinnitama;17;0.394
toimetama;17;0.394
kahtlema;17;0.394
osalema;17;0.394
kütma;17;0.394
tuletama;17;0.394
tajuma;16;0.371
tagama;16;0.371
peatuma;16;0.371
vähenema;15;0.347
lähenema;15;0.347
mahtuma;15;0.347
reageerima;15;0.347
tervitama;15;0.347
vajutama;15;0.347
selgitama;15;0.347
valetama;15;0.347
mööduma;14;0.324
hoolima;14;0.324
vestlema;14;0.324
kinkima;14;0.324
imestama;14;0.324
saavutama;14;0.324
ronima;14;0.324
kippuma;14;0.324
piisama;14;0.324
suhtuma;14;0.324
mõõtma;14;0.324
katsetama;14;0.324
puhkama;14;0.324
suruma;14;0.324
tutvustama;14;0.324
lindistama;14;0.324
murdma;13;0.301
treenima;13;0.301
karistama;13;0.301
omama;13;0.301
kordama;13;0.301
katma;13;0.301
väljendama;13;0.301
täpsustama;13;0.301
jaksama;13;0.301
heitma;13;0.301
kajastama;13;0.301
korraldama;13;0.301
kahtlustama;13;0.301
tiksuma;13;0.301
plaanima;13;0.301
unistama;13;0.301
suitsetama;13;0.301
näitlema;12;0.278
kohanema;12;0.278
loobuma;12;0.278
koguma;12;0.278
laenama;12;0.278
koosnema;12;0.278
õigustama;12;0.278
kaaluma;12;0.278
väljuma;12;0.278
ennustama;12;0.278
valmistama;12;0.278
meenuma;12;0.278
kommenteerima;12;0.278
katkestama;12;0.278
valama;12;0.278
pesema;12;0.278
tähistama;12;0.278
esindama;12;0.278
manipuleerima;12;0.278
ületama;11;0.255
asendama;11;0.255
kerkima;11;0.255
pöörduma;11;0.255
liigutama;11;0.255
varastama;11;0.255
haarama;11;0.255
tunnetama;11;0.255
kavatsema;11;0.255
veetma;10;0.232
rikkuma;10;0.232
kaitsma;10;0.232
võistlema;10;0.232
hääletama;10;0.232
saabuma;10;0.232
kulgema;10;0.232
töötlema;10;0.232
keelama;10;0.232
postitama;10;0.232
kõnetama;10;0.232
tutvuma;10;0.232
määrama;10;0.232
analüüsima;10;0.232
põhjustama;10;0.232
laskuma;10;0.232
jaurama;10;0.232
möllama;9;0.208
sekkuma;9;0.208
kohtama;9;0.208
vähendama;9;0.208
hõiskama;9;0.208
testima;9;0.208
peatama;9;0.208
erinema;9;0.208
miksima;9;0.208
paigutama;9;0.208
planeerima;9;0.208
levima;9;0.208
käskima;9;0.208
avanema;9;0.208
hoolitsema;9;0.208
kehtima;9;0.208
pingutama;9;0.208
kustuma;9;0.208
kuluma;9;0.208
kaklema;9;0.208
kerima;9;0.208
konkureerima;9;0.208
katsuma;9;0.208
näima;9;0.208
matma;9;0.208
taotlema;9;0.208
suhestuma;8;0.185
tantsima;8;0.185
filmima;8;0.185
läbima;8;0.185
kumama;8;0.185
pakkima;8;0.185
viitama;8;0.185
vehklema;8;0.185
välistama;8;0.185
vältima;8;0.185
lahkama;8;0.185
sundima;8;0.185
võimaldama;8;0.185
sadama;8;0.185
pärinema;8;0.185
viibima;8;0.185
kuduma;8;0.185
kasvatama;8;0.185
kujundama;8;0.185
väänama;8;0.185
lõhkuma;8;0.185
vastutama;8;0.185
kostma;8;0.185
ründama;8;0.185
kiskuma;8;0.185
kallistama;8;0.185
noppima;8;0.185
rahunema;8;0.185
trahvima;8;0.185
hirmutama;7;0.162
kahetsema;7;0.162
sõnastama;7;0.162
koristama;7;0.162
lagunema;7;0.162
finantseerima;7;0.162
suurendama;7;0.162
põdema;7;0.162
lähtuma;7;0.162
argumenteerima;7;0.162
ujuma;7;0.162
voolama;7;0.162
aktsepteerima;7;0.162
oletama;7;0.162
veenma;7;0.162
piirama;7;0.162
nakatuma;7;0.162
veenduma;7;0.162
toppima;7;0.162
vihkama;7;0.162
märkima;7;0.162
puhastama;7;0.162
kattuma;7;0.162
üllatama;7;0.162
siduma;7;0.162
petma;7;0.162
sittuma;7;0.162
vinguma;7;0.162
põletama;7;0.162
organiseerima;7;0.162
põgenema;7;0.162
särama;7;0.162
rändama;7;0.162
sümboliseerima;7;0.162
nokitsema;7;0.162
kraapima;7;0.162
valutama;7;0.162
ravima;7;0.162
sukelduma;7;0.162
toituma;7;0.162
kihutama;7;0.162
hävitama;6;0.139
piirduma;6;0.139
soetama;6;0.139
kaebama;6;0.139
motiveerima;6;0.139
suusatama;6;0.139
äratama;6;0.139
eraldama;6;0.139
ammendama;6;0.139
tiirlema;6;0.139
austama;6;0.139
loopima;6;0.139
liituma;6;0.139
mõtestama;6;0.139
kulutama;6;0.139
inspireerima;6;0.139
suurenema;6;0.139
uppuma;6;0.139
süvenema;6;0.139
järeldama;6;0.139
intervjueerima;6;0.139
optimeerima;6;0.139
uuendama;6;0.139
täiendama;6;0.139
kogunema;6;0.139
lappama;6;0.139
tingima;6;0.139
pugema;6;0.139
vahtima;6;0.139
naeratama;6;0.139
riskima;6;0.139
viitma;6;0.139
rullima;6;0.139
lahutama;6;0.139
tsiteerima;6;0.139
kuulutama;6;0.139
alistuma;6;0.139
värisema;6;0.139
süüdistama;6;0.139
laiendama;6;0.139
lagundama;6;0.139
lõhnama;6;0.139
juhendama;5;0.116
passima;5;0.116
moodustama;5;0.116
väsima;5;0.116
hammustama;5;0.116
tungima;5;0.116
peituma;5;0.116
suunduma;5;0.116
tõdema;5;0.116
tulistama;5;0.116
venitama;5;0.116
üürima;5;0.116
mälestama;5;0.116
sulama;5;0.116
laadima;5;0.116
plahvatama;5;0.116
defineerima;5;0.116
garanteerima;5;0.116
domineerima;5;0.116
halama;5;0.116
eristama;5;0.116
monteerima;5;0.116
keema;5;0.116
keerlema;5;0.116
vaktsineerima;5;0.116
valmima;5;0.116
köitma;5;0.116
sõlmima;5;0.116
teatama;5;0.116
katkema;5;0.116
propageerima;5;0.116
kruvima;5;0.116
arutlema;5;0.116
kaasama;5;0.116
rabama;5;0.116
meelitama;5;0.116
lüpsma;5;0.116
kiirendama;5;0.116
iseloomustama;5;0.116
seostama;5;0.116
sõimama;5;0.116
valitsema;5;0.116
mässama;5;0.116
kujunema;5;0.116
raiskama;5;0.116
painutama;5;0.116
tõlkima;5;0.116
nokkima;5;0.116
rebima;5;0.116
külastama;5;0.116
õhutama;5;0.116
aretama;5;0.116
sättima;5;0.116
eemaldama;5;0.116
eksperimenteerima;5;0.116
hõõruma;5;0.116
ignoreerima;5;0.116
rõõmustama;5;0.116
isoleerima;5;0.116
haldama;5;0.116
naima;5;0.116
pahandama;5;0.116
süstima;5;0.116
seedima;5;0.116
samastuma;5;0.116
peitma;5;0.116
libisema;5;0.116
haisema;5;0.116
näppima;5;0.116
joonistama;5;0.116
abielluma;5;0.116
värvima;5;0.116
lõdvestuma;5;0.116
armuma;5;0.116
visualiseerima;5;0.116
rulluma;5;0.116
külmkuivatama;5;0.116
digima;5;0.116
ühendama;4;0.093
maanduma;4;0.093
palkama;4;0.093
vaagima;4;0.093
langetama;4;0.093
pooldama;4;0.093
trükkima;4;0.093
kindlustama;4;0.093
kusema;4;0.093
rõhutama;4;0.093
realiseerima;4;0.093
lisanduma;4;0.093
prognoosima;4;0.093
ühinema;4;0.093
lülitama;4;0.093
palvetama;4;0.093
sisenema;4;0.093
aktiveerima;4;0.093
juurutama;4;0.093
tõmblema;4;0.093
esitlema;4;0.093
osutama;4;0.093
toonitama;4;0.093
rakendama;4;0.093
sisaldama;4;0.093
väärima;4;0.093
raputama;4;0.093
röökima;4;0.093
kahjustama;4;0.093
mölisema;4;0.093
põhjendama;4;0.093
laamendama;4;0.093
laienema;4;0.093
värbama;4;0.093
harrastama;4;0.093
rõhuma;4;0.093
jäädvustama;4;0.093
elustama;4;0.093
pistma;4;0.093
siginema;4;0.093
lavastama;4;0.093
täituma;4;0.093
manustama;4;0.093
sügelema;4;0.093
eristuma;4;0.093
kõikuma;4;0.093
