lemma;raw_count;freq_per_60_min
olema;19517;582.481
ei;4782;142.718
saama;2577;76.910
tegema;1893;56.496
ütlema;1778;53.064
tulema;1660;49.542
pidama;1339;39.962
minema;1326;39.574
võima;1207;36.023
tahtma;1153;34.411
teadma;1052;31.397
rääkima;1000;29.845
vaatama;866;25.846
võtma;756;22.563
hakkama;710;21.190
nägema;653;19.489
panema;534;15.937
mõtlema;523;15.609
arvama;516;15.400
käima;429;12.803
andma;415;12.386
küsima;411;12.266
tundma;371;11.072
jääma;365;10.893
leidma;326;9.729
jõudma;298;8.894
aitama;255;7.610
tooma;238;7.103
tähendama;233;6.954
õppima;232;6.924
tegelema;229;6.834
sööma;221;6.596
meeldima;217;6.476
elama;217;6.476
alustama;214;6.387
tekkima;202;6.029
ostma;195;5.820
kuulma;193;5.760
tunduma;172;5.133
toimuma;171;5.103
oskama;170;5.074
pakkuma;166;4.954
kuulama;156;4.656
müüma;155;4.626
kirjutama;152;4.536
töötama;146;4.357
juhtuma;143;4.268
muutuma;142;4.238
otsima;142;4.238
kasutama;139;4.148
uskuma;132;3.940
ootama;130;3.880
lugema;130;3.880
liikuma;126;3.760
sobima;124;3.701
näitama;114;3.402
toetama;113;3.372
suutma;113;3.372
valima;109;3.253
hoidma;106;3.164
kasvama;98;2.925
looma;98;2.925
jätma;98;2.925
soovima;94;2.805
püüdma;94;2.805
vastama;93;2.776
muutma;93;2.776
mäletama;92;2.746
viima;92;2.746
soovitama;91;2.716
paluma;89;2.656
hingama;89;2.656
vajama;84;2.507
puudutama;82;2.447
maksma;82;2.447
kujutama;79;2.358
kutsuma;77;2.298
istuma;74;2.209
tohtima;74;2.209
saatma;74;2.209
mainima;74;2.209
proovima;73;2.179
otsustama;72;2.149
toimima;72;2.149
suhtlema;69;2.059
lõpetama;68;2.029
ära;67;2.000
julgema;67;2.000
mõjutama;66;1.970
lubama;66;1.970
lootma;66;1.970
pöörduma;64;1.910
õpetama;63;1.880
nimetama;63;1.880
laskma;63;1.880
tõusma;62;1.850
astuma;61;1.821
jälgima;61;1.821
