episode_id,section_index,gender,minutes,pos,inetnsiivistaja,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,üldse,ei,"Tere , head taskuhäälingu kuulajad on käes järjekordse osa aeg ja see on järjekorras neljas ja minul on täna saate külaliseks taas üks inimene , kes on ühtepidi noorsootööga väga oluliselt seotud , aga kelle taust noorsootöötajana üldse ei ole noorsootöötaja , aga sellest me kõigest saame täna rääkida , aga võib vist öelda , et elupõline Valgamaa inimene , Valgamaa armastaja ja nüüd on ilmselt õppinud ka armastama tõrvata tõrva , valda ja siinseid inimesi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,olema,"No ennist arutasime siin nii-öelda eetriväliselt , et kumb siis roll parem on , kas on olla intervjueerija või siis intervjueeritav ja minu arust mõlemad vist jõudsime konsensusele , et et küsimusi küsida , ehk siis see positsioon , kus mina olen , on märksa lihtsam kui , kui olla see , kes peab vastama ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,ei,"Väga ei armasta nii pikalt endast rääkida , aga samas olen ka , olen ka meelitatud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,töötama,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,palju,avama,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,tõesti,rääkima,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,meeldima,"Et mulle väga meeldis millegipärast võib-olla võib-olla paljud sellega nagu ei suhestu , aga mulle lihtsalt meeldis väga , ma ei tea loomadele lehmale näiteks süüa ette viia ja ja mingi viie-kuue aastaselt mind juba usaldati nii-öelda siis lehma edasi panema , ehk siis võta ketist lahti ja ta teise kohta viia ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,hästi,suhtlema,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,nii,olema,"Aga oma lastele ma kindlasti soovin lasteaeda ja nii on palju kergem , lastevanemate muidugi ka ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,palju,muutuma,"Aga ses mõttes see maaelu väga palju muutunud , et kui üheksakümnendatel ikkagi see andis kõik Juurviljade kasvatamine loomapidamine andis sissetuleku ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,olema,"Mis missugune see Valgas õppimine oli , et kas sinu aega jäi ka see , kui oli väga suur muutuste aeg Valga hariduselus ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,olema,"Ma ei ütleks küll , et midagi väga oleks muutunud , et ja pandi see Lembitu , Lembitu tänava pood , pood Lembitu tänava kool pandi küll kinni vahepeal , jah ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,tõesti,olema,"Et see oli , kui seda poleks olnud , siis tõesti oleks palju vähem rääkida oma elust võib-olla kooliajast ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,üldse,rääkima,"Et aga sellegipoolest väga fun Mis , mis seal millised lavastused või siis muusikalid sulle endale kõige rohkem meelde on jäänud , et mina nägin sind laval ühes teatud kostüümis , millest ma ei teagi , kas tohibki tänapäeval üldse rääkida ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,ei,"Kuna mul ei olnud Kuna keegi veel ei teadnud , et ma suudan laulda , siis ise väga ei julgenud ka ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,meeldima,"Aga sellegipoolest , esimene ja muidu jah , mulle ei , väga meeldis mulle , võib-olla see ei ole väga tuntud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,meeldima,Rahvas naeris ja see mulle väga meeldis .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,mängima,"Ja mulle meeldis ka see , kui mängisime Etendust Aruks blondiin , kus ma mängisin , professor Kallahani , kus oli ka mul kaks laulu , täpselt samamoodi , et rääkida rütmis , siis laulda rütmis ja niimoodi , et oleks , et ma jääks hiljaks ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,enam-vähem,saama,"Aga no tantsupool on mul hästi nõrk on selles mõttes Ja ma olen sinuga nõus , sellepärast et minul oli ka see kõige nõrgem , et laulmisega enam-vähem sai , sai hakkama ja , ja näitlemine ka , olenes ju rollist ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,nii,mõtlema,"Aga sa tõid tegelikult väga ühe huvitava aspekti , et ei noh , nii suurt rolli ei saanud , aga samas kui nii mõelda , siis tihti need väiksemad rollid võivad väga-väga palju juurde anda ja nad jäävadki väga hästi meelde ja ja võib-olla kiiretaksegi , et , et see ilmselt selline muusikali kokkuvõttes on ju iga roll ju tähtis , et kui keegi nagu halvasti tantsib , seal see jääb meelde ja võib kogu selle üldpildi ära rikkuda , nii et see nagu ikkagi õpetab väga palju meeskonnatööd ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,enam-vähem,tegema,"Või enam-vähem teen midagi ära , aga ses mõttes nüüd ma oleks muidugi palju targem ."
