failinimi,test_norm,p_norm,sum_m,sum_n,r_rb,p_norm_holm,signif_norm_holm,chi2_stat,p_chi2,cramer_v,signif_chi2
nii_sections.csv,Mann–Whitney U,0.039784306127200894,498,483,0.1505695301376364,0.31827444901760715,False,,,,False
üldse_sections.csv,Mann–Whitney U,0.20264559156008444,60,71,0.15555555555555545,1.0,False,,,,False
tõesti_sections.csv,Mann–Whitney U,0.36713654801748896,44,74,0.1203208556149733,1.0,False,,,,False
kui_sections.csv,Mann–Whitney U,0.018023108930377264,504,458,0.17139561707035766,0.16220798037339537,False,,,,False
palju_sections.csv,Mann–Whitney U,0.2680913574374516,117,131,0.1142573273720815,1.0,False,,,,False
natuke_sections.csv,Mann–Whitney U,0.0003733452525821083,94,67,0.41871921182266014,0.004853488283567408,True,4.527950310559007,0.033345533423937125,0.16770186335403728,True
päris_sections.csv,Mann–Whitney U,0.0020744199004073386,130,134,0.3025641025641026,0.024893038804888065,True,0.06060606060606061,0.8055405886674938,0.015151515151515152,False
täiesti_sections.csv,Mann–Whitney U,0.23895973158929162,63,55,0.1567567567567567,1.0,False,,,,False
üsna_sections.csv,Mann–Whitney U,0.5268808686189279,32,22,0.1298701298701299,1.0,False,,,,False
hästi_sections.csv,Mann–Whitney U,0.06348711859529431,157,221,0.18152480839048013,0.44440983016706015,False,,,,False
natukene_sections.csv,Mann–Whitney U,0.12201008452201943,47,78,0.20048309178743962,0.7320605071321166,False,,,,False
liiga_sections.csv,Mann–Whitney U,0.0032842352610596417,78,43,0.41384615384615375,0.03612658787165606,True,10.12396694214876,0.0014635366447851826,0.2892561983471074,True
väga_sections.csv,Mann–Whitney U,0.01451167048794855,357,554,-0.18185467683661183,0.1451167048794855,False,,,,False
